,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,837951165203.0,1095635806456.0,1237458291016.0,813372380289.0,986587974150.0,1075286722079.0,1214115447325.0,1156805132051.0,1100785080441.0,1129697284671.0
1,Các khoản giảm trừ,0.0,0.0,-3859680.0,3859680.0,-7903830.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,837951165203.0,1095635806456.0,1237454431336.0,813376239969.0,986580070320.0,1075286722079.0,1214115447325.0,1156805132051.0,1100785080441.0,1129697284671.0
3,Giá vốn hàng bán,-754551209533.0,-980038357629.0,-1130841683762.0,-696878164045.0,-899532821197.0,-969597314144.0,-1125701304683.0,-1073374928364.0,-1013733355197.0,-1004054623097.0
4,Lãi gộp,83399955670.0,115597448827.0,106612747574.0,116498075924.0,87047249123.0,105689407935.0,88414142642.0,83430203687.0,87051725244.0,125642661574.0
5,Thu nhập tài chính,2596647546.0,2976081335.0,1856502784.0,4305742631.0,4876643603.0,7016464971.0,6708077057.0,6260034767.0,6364300851.0,6057311457.0
6,Chi phí tài chính,-392937386.0,-2365931147.0,-108507817.0,-9264661.0,-3998561.0,-2135614.0,-702321.0,-2589942.0,0.0,-9701379.0
7,Trong đó: Chi phí lãi vay,-223243131.0,-916033640.0,-24332601.0,0.0,0.0,0.0,0.0,0.0,0.0,-9698630.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-74756531133.0,-102431134808.0,-89506437372.0,-98123720033.0,-77248501157.0,-91171579065.0,-81795511468.0,-77352384979.0,-71126642722.0,-100837860780.0
10,Chi phí quản lý doanh  nghiệp,-11848677951.0,-10187248533.0,-12664785149.0,-16746547547.0,-12381408707.0,-17626990594.0,-10625048061.0,-7486901909.0,-17436310592.0,-24179417708.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1001543254.0,3589215674.0,6189520020.0,5924286314.0,2289984301.0,3905167633.0,2700957849.0,4848361624.0,4853072781.0,6672993164.0
12,Thu nhập khác,4162657.0,5990394300.0,16901608.0,140176659.0,1039328.0,169805140.0,1057485005.0,1765533.0,569972909.0,-79105850.0
13,Chi phí khác,-569208.0,0.0,-110003.0,-77402.0,-15436792.0,-1053270.0,-1.0,1.0,0.0,0.0
14,"Thu nhập khác, ròng",3593449.0,5990394300.0,16791605.0,140099257.0,-14397464.0,168751870.0,1057485004.0,1765534.0,569972909.0,-79105850.0
16,Lãi/(lỗ) ròng trước thuế,-997949805.0,9579609974.0,6206311625.0,6064385571.0,2275586837.0,4073919503.0,3758442853.0,4850127158.0,5423045690.0,6593887314.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-400000000.0,-125400000.0,-1241262325.0,-273137675.0,-1390000000.0,-1872613659.0,-751688571.0,-1012085631.0,-1135874564.0,-1401373684.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-400000000.0,-125400000.0,-1241262325.0,-273137675.0,-1390000000.0,-1872613659.0,-751688571.0,-1012085631.0,-1135874564.0,-1401373684.0
20,Lãi/(lỗ) thuần sau thuế,-1397949805.0,9454209974.0,4965049300.0,5791247896.0,885586837.0,2201305844.0,3006754282.0,3838041527.0,4287171126.0,5192513630.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-1397949805.0,9454209974.0,4965049300.0,5791247896.0,885586837.0,2201305844.0,3006754282.0,3838041527.0,4287171126.0,5192513630.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
