,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,4695579300.0,-39548574737.0,2016901556.0,2188653623.0,1737220100.0,-24467232838.0,2047079764.0,1519127993.0,1395419328.0,2633540947.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,4695579300.0,-39548574737.0,2016901556.0,2188653623.0,1737220100.0,-24467232838.0,2047079764.0,1519127993.0,1395419328.0,2633540947.0
3,Giá vốn hàng bán,-3510644371.0,13865411898.0,-2144820759.0,-11573966682.0,-1179153994.0,7938481375.0,-1463995550.0,-1027494631.0,-369626807.0,-2072539842.0
4,Lãi gộp,1184934929.0,-25683162839.0,-127919203.0,-9385313059.0,558066106.0,-16528751463.0,583084214.0,491633362.0,1025792521.0,561001105.0
5,Thu nhập tài chính,485592427.0,410974526.0,346784449.0,319984853.0,319958372.0,316448817.0,312941616.0,319876644.0,319881435.0,108639357.0
6,Chi phí tài chính,-412134249.0,-367166815.0,-359445208.0,-414308897.0,-95825341.0,-11972604.0,-11712330.0,-11842467.0,-11972604.0,-11972604.0
7,Trong đó: Chi phí lãi vay,-412134249.0,-367166815.0,-359445208.0,-402636632.0,-95825341.0,-11972604.0,-11712330.0,-11842467.0,-11972604.0,-11972604.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-3503041245.0,-4309268533.0,-2289959765.0,-1207036853.0,-654718769.0,-2848027054.0,-2229198420.0,-3618874924.0,-757681620.0,-1520195802.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-2244648138.0,-29948623661.0,-2430539727.0,-10686673956.0,127480368.0,-19072302304.0,-1344884920.0,-2819207385.0,576019732.0,-862527944.0
12,Thu nhập khác,827623225.0,4614776280.0,3433645437.0,2295542629.0,22353389.0,661637434.0,197059742.0,4742693580.0,155764384.0,111278859.0
13,Chi phí khác,-536664805.0,-2237409348.0,-1140786183.0,13650594.0,-3130907465.0,-407876975.0,-389349848.0,-479511180.0,-2679710176.0,-2084308846.0
14,"Thu nhập khác, ròng",290958420.0,2377366932.0,2292859254.0,2309193223.0,-3108554076.0,253760459.0,-192290106.0,4263182400.0,-2523945792.0,-1973029987.0
16,Lãi/(lỗ) ròng trước thuế,-1953689718.0,-27571256729.0,-137680473.0,-8377480733.0,-2981073708.0,-18818541845.0,-1537175026.0,1443975015.0,-1947926060.0,-2835557931.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-347361184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-347361184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-2301050902.0,-27571256729.0,-137680473.0,-8377480733.0,-2981073708.0,-18818541845.0,-1537175026.0,1443975015.0,-1947926060.0,-2835557931.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-2301050902.0,-27571256729.0,-137680473.0,-8377480733.0,-2981073708.0,-18818541845.0,-1537175026.0,1443975015.0,-1947926060.0,-2835557931.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
