,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,68541139255.0,75220942662.0,64758192191.0,75015801966.0,57381955121.0,80236793702.0,82107685171.0,72043317935.0,67222359437.0,83558059038.0
1,Các khoản giảm trừ,-1218503869.0,-1395265933.0,-696203640.0,-986312480.0,-637900500.0,-1595379230.0,-1389388300.0,-409879500.0,-921045953.0,-1298251594.0
2,Doanh số thuần,67322635386.0,73825676729.0,64061988551.0,74029489486.0,56744054621.0,78641414472.0,80718296871.0,71633438435.0,66301313484.0,82259807444.0
3,Giá vốn hàng bán,-50671636134.0,-59361977210.0,-54116651436.0,-66433208720.0,-49292953491.0,-68016205083.0,-69366858624.0,-61816142898.0,-57169833657.0,-64167385033.0
4,Lãi gộp,16650999252.0,14463699519.0,9945337115.0,7596280766.0,7451101130.0,10625209389.0,11351438247.0,9817295537.0,9131479827.0,18092422411.0
5,Thu nhập tài chính,2968629.0,3647435.0,4438685.0,3459772.0,2538348.0,4712479.0,4672490.0,6269752.0,4343621.0,4958416.0
6,Chi phí tài chính,858919433.0,-142475327.0,-136112466.0,-272454642.0,-293838061.0,-430670183.0,-163666105.0,-419994366.0,-469108382.0,-336502414.0
7,Trong đó: Chi phí lãi vay,-141080567.0,-142475327.0,-136112466.0,-272454642.0,-293838061.0,-430670183.0,-163666105.0,-419994366.0,-469108382.0,-336502414.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1631629733.0,-2149320279.0,-2439194178.0,-2362596624.0,-1949892202.0,-2386855728.0,-2318148066.0,-2166925927.0,-2204347148.0,-2863577981.0
10,Chi phí quản lý doanh  nghiệp,-2652841337.0,-3284396422.0,-2321380569.0,-3231240288.0,-1826238335.0,-2919380456.0,-2502666551.0,-3659461293.0,-2971077872.0,-5486090713.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,13228416244.0,8891154926.0,5053088587.0,1733448984.0,3383670880.0,4893015501.0,6371630015.0,3577183703.0,3491290046.0,9411209719.0
12,Thu nhập khác,688001143.0,0.0,-1010617717.0,1066933717.0,0.0,177970828.0,0.0,0.0,0.0,69202000.0
13,Chi phí khác,-10000000.0,-10000000.0,0.0,-20000000.0,-10000000.0,-432314100.0,-10000000.0,-10000000.0,-10000000.0,-10912000.0
14,"Thu nhập khác, ròng",678001143.0,-10000000.0,-1010617717.0,1046933717.0,-10000000.0,-254343272.0,-10000000.0,-10000000.0,-10000000.0,58290000.0
16,Lãi/(lỗ) ròng trước thuế,13906417387.0,8881154926.0,4042470870.0,2780382701.0,3373670880.0,4638672229.0,6361630015.0,3567183703.0,3481290046.0,9469499719.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2683283477.0,-1678230985.0,0.0,-1368570714.0,-676734176.0,-1014197266.0,-1274326003.0,-715436741.0,-698258009.0,-1896082343.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-2683283477.0,-1678230985.0,0.0,-1368570714.0,-676734176.0,-1014197266.0,-1274326003.0,-715436741.0,-698258009.0,-1896082343.0
20,Lãi/(lỗ) thuần sau thuế,11223133910.0,7202923941.0,4042470870.0,1411811987.0,2696936704.0,3624474963.0,5087304012.0,2851746962.0,2783032037.0,7573417376.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,11223133910.0,7202923941.0,4042470870.0,1411811987.0,2696936704.0,3624474963.0,5087304012.0,2851746962.0,2783032037.0,7573417376.0
23,Lãi cơ bản trên cổ phiếu,2031.0,1304.0,730.0,257.0,488.0,656.0,921.0,516.0,504.0,1371.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
