,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,1025503901070.0,1864508647480.0,1536197106158.0,1145007572660.0,776414738150.0,2262212425989.0,1784427744223.0,1353635918934.0,978476025078.0,2811723198120.0
1,Các khoản giảm trừ,-1986558669.0,-1720588529.0,-3990156825.0,-1726449299.0,-1484470618.0,-3562931327.0,-2420153527.0,-7685407396.0,-3062053342.0,-5159648799.0
2,Doanh số thuần,1023517342401.0,1862788058951.0,1532206949333.0,1143281123361.0,774930267532.0,2258649494662.0,1782007590696.0,1345950511538.0,975413971736.0,2806563549321.0
3,Giá vốn hàng bán,-686592593720.0,-1358775879508.0,-1076685889895.0,-842228860673.0,-520935412781.0,-1587519149745.0,-1262346252105.0,-992822359338.0,-654458631648.0,-2164928157862.0
4,Lãi gộp,336924748681.0,504012179443.0,455521059438.0,301052262688.0,253994854751.0,671130344917.0,519661338591.0,353128152200.0,320955340088.0,641635391459.0
5,Thu nhập tài chính,550980280.0,3360984909.0,1444668676.0,1209512619.0,2706368424.0,533581042.0,1627812051.0,808659984.0,1821341527.0,16004941860.0
6,Chi phí tài chính,-14702923347.0,-11834434576.0,-11468997971.0,-12978180471.0,-15264928943.0,-15281504441.0,-14999456556.0,-17443811851.0,-30029281925.0,-37789854710.0
7,Trong đó: Chi phí lãi vay,-14382833794.0,-11676633392.0,-11281226716.0,-12791573656.0,-14805987994.0,-14009191669.0,-14637116007.0,-16472343745.0,-15898445508.0,-37590728089.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-204987750506.0,-250909956171.0,-266135428691.0,-161068939287.0,-156492732720.0,-336852698485.0,-322713558001.0,-204208132478.0,-190326442791.0,-279407774526.0
10,Chi phí quản lý doanh  nghiệp,-29896128512.0,-71816026011.0,-38519210144.0,-27576571408.0,-31818871758.0,-112135865469.0,-20936937497.0,-18699166578.0,-28074788933.0,-79394771041.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,87888926596.0,172812747594.0,140842091308.0,100638084141.0,53124689754.0,207393857564.0,162639198588.0,113585701277.0,74346167966.0,261047933042.0
12,Thu nhập khác,36752405.0,-11548211961.0,5376399.0,52581813.0,254546112.0,651500000.0,113900000.0,92945175.0,37476829.0,40628030.0
13,Chi phí khác,0.0,0.0,-1341059494.0,0.0,0.0,0.0,0.0,-1779033190.0,0.0,-582700738.0
14,"Thu nhập khác, ròng",36752405.0,-11548211961.0,-1335683095.0,52581813.0,254546112.0,651500000.0,113900000.0,-1686088015.0,37476829.0,-542072708.0
16,Lãi/(lỗ) ròng trước thuế,87925679001.0,161264535633.0,139506408213.0,100690665954.0,53379235866.0,208045357564.0,162753098588.0,111899613262.0,74383644795.0,260505860334.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-18240416272.0,-32864194643.0,-29518683467.0,-20738100681.0,-11207846093.0,-42032002569.0,-34219635993.0,-22679022340.0,-15256883873.0,-50999797189.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-18240416272.0,-32864194643.0,-29518683467.0,-20738100681.0,-11207846093.0,-42032002569.0,-34219635993.0,-22679022340.0,-15256883873.0,-50999797189.0
20,Lãi/(lỗ) thuần sau thuế,69685262729.0,128400340990.0,109987724746.0,79952565273.0,42171389773.0,166013354995.0,128533462595.0,89220590922.0,59126760922.0,209506063145.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,69685262729.0,128400340990.0,109987724746.0,79952565273.0,42171389773.0,166013354995.0,128533462595.0,89220590922.0,59126760922.0,209506063145.0
23,Lãi cơ bản trên cổ phiếu,6059.59,11165.0,9107.71,6999.0,3492.0,13748.0,10645.0,3774.0,2577.0,9130.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
