,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,2687480300991.0,2217829651684.0,2215306768803.0,2310739959482.0,2316837736071.0,2226947531715.0,2281019112048.0,2310290315753.0,2532451913503.0,2464609636897.0
1,TÀI SẢN NGẮN HẠN,1712483766082.0,1253014739261.0,1247967566289.0,1357203886623.0,1399103509743.0,1322937688975.0,1384757068055.0,1432254034608.0,1601945755651.0,1542030773972.0
2,Tiền và tương đương tiền,74531922017.0,26100272785.0,24603705523.0,22988818155.0,40389803896.0,28601023268.0,25085521339.0,25679049459.0,31291981937.0,50759688506.0
3,Tiền,74531922017.0,26100272785.0,24603705523.0,22988818155.0,40389803896.0,28601023268.0,23301521339.0,23749049459.0,31291981937.0,50759688506.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,1784000000.0,1930000000.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,3480000000.0,0.0,3480000000.0,3480000000.0,3480000000.0,35457000000.0,33527000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,3480000000.0,0.0,3480000000.0,3480000000.0,3480000000.0,35457000000.0,33527000000.0
9,Các khoản phải thu,971135598313.0,591968516640.0,557166380190.0,618078375815.0,618680409129.0,530720316165.0,571844609373.0,554674934473.0,605834480920.0,520808874035.0
10,Phải thu khách hàng,612980400746.0,454879465583.0,453733483241.0,508754931842.0,484376252782.0,426197207120.0,482581516607.0,428953519114.0,408068193839.0,379200193104.0
11,Trả trước người bán,310193590823.0,88993383856.0,75373015820.0,89805921929.0,112747291976.0,85368837511.0,61851454084.0,75674433954.0,78769380692.0,59631876264.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,49213900514.0,49347960971.0,29312174899.0,20769815814.0,22809158141.0,20406565304.0,28663932452.0,51299275175.0,120249200159.0,83229098437.0
16,Dự phòng nợ khó đòi,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0,-1252293770.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",618667720343.0,587944711947.0,628486730035.0,672529992722.0,706679024478.0,727623119149.0,749739733371.0,808387310505.0,884966310602.0,893038951433.0
19,Hàng tồn kho,618667720343.0,587944711947.0,628486730035.0,672529992722.0,706679024478.0,727623119149.0,749739733371.0,808387310505.0,884966310602.0,893038951433.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,48148525409.0,47001237889.0,37710750541.0,40126699931.0,33354272240.0,32513230393.0,34607203972.0,40032740171.0,44395982192.0,43896259998.0
22,Trả trước ngắn hạn,7535031864.0,11731447211.0,4974970876.0,9209491260.0,3437546751.0,3662100211.0,5918211769.0,5948219987.0,4690867127.0,4270446943.0
23,Thuế VAT phải thu,40190715064.0,35207376508.0,32304762660.0,30915404856.0,29791342216.0,28745028287.0,28448749007.0,33778009544.0,38807177473.0,39625813055.0
24,Phải thu thuế khác,337586215.0,46557670.0,148427922.0,1803815.0,30098149.0,29568371.0,119723196.0,306510640.0,897937592.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,85192266.0,15856500.0,282589083.0,0.0,95285124.0,76533524.0,120520000.0,0.0,0.0,0.0
