,CHỈ TIÊU,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q1 2016,Q2 2016,Q3 2016
0,TỔNG TÀI SẢN,117751847975.0,118632999310.0,120594686663.0,118246785081.0,115743885481.0,117523833637.0,115637113779.0,109939238674.0,109300680028.0,110272948692.0
1,TÀI SẢN NGẮN HẠN,86892664981.0,88604421461.0,91177975217.0,88973874627.0,93121569484.0,95473278360.0,94181398782.0,83560840353.0,83567618766.0,85192288989.0
2,Tiền và tương đương tiền,151941150.0,39232416.0,358695714.0,57942186.0,45560438.0,28441300.0,42470948.0,43083697.0,74633247.0,20790752.0
3,Tiền,151941150.0,39232416.0,358695714.0,57942186.0,45560438.0,28441300.0,42470948.0,43083697.0,74633247.0,20790752.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,44109101767.0,44966368466.0,46879112347.0,50516658708.0,48400398371.0,51487462174.0,51108490052.0,49117097931.0,48846150767.0,49771349918.0
10,Phải thu khách hàng,15467981122.0,14924279116.0,14455548314.0,18648012014.0,15297931675.0,15840466817.0,16458363045.0,16109846066.0,15671292823.0,16465474351.0
11,Trả trước người bán,737383160.0,922383160.0,2142383160.0,849661633.0,749661633.0,749661633.0,749661633.0,478178920.0,471618520.0,471618520.0
12,Phải thu nội bộ,26751473756.0,27981544187.0,28987576670.0,29585564329.0,30828839279.0,30908566275.0,29960855500.0,28388757148.0,28413956004.0,28577360397.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643093813.0,414661745.0,414661745.0
15,Phải thu khác,1291412437.0,1277310711.0,1432752911.0,1560220857.0,1650765909.0,4115567574.0,4066409999.0,3624022109.0,4001421800.0,3969035030.0
16,Dự phòng nợ khó đòi,-139148708.0,-139148708.0,-139148708.0,-126800125.0,-126800125.0,-126800125.0,-126800125.0,-126800125.0,-126800125.0,-126800125.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",39771101844.0,40658623469.0,41114908376.0,35505642253.0,35866653786.0,37870427365.0,37068305763.0,34255157990.0,34501334017.0,35254647584.0
19,Hàng tồn kho,39771101844.0,40658623469.0,41114908376.0,35505642253.0,35866653786.0,37870427365.0,37068305763.0,34255157990.0,34501334017.0,35254647584.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,2860520220.0,2940197110.0,2825258780.0,2893631480.0,8808956889.0,6086947521.0,5962132019.0,145500735.0,145500735.0,145500735.0
22,Trả trước ngắn hạn,254458145.0,238166735.0,265166735.0,253381335.0,6171755044.0,6086947521.0,5962132019.0,145500735.0,145500735.0,145500735.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,2606062075.0,2702030375.0,2560092045.0,2640250145.0,2637201845.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,30859182994.0,30028577849.0,29416711446.0,29272910454.0,22622315997.0,22050555277.0,21455714997.0,26378398321.0,25733061262.0,25080659703.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,22054808017.0,21434097748.0,20831667331.0,20229236914.0,19622315997.0,18588502287.0,17993662007.0,16816708730.0,16234595735.0,15652482740.0
37,GTCL TSCĐ hữu hình,21592755027.0,20972044758.0,20369614341.0,19767183924.0,19160263007.0,18588502287.0,17993662007.0,16816708730.0,16234595735.0,15652482740.0
38,Nguyên giá TSCĐ hữu hình,34660213179.0,34660213179.0,34660213179.0,34660213179.0,34612117179.0,34643844452.0,34643844452.0,33728004349.0,33728004349.0,33728004349.0
39,Khấu hao lũy kế TSCĐ hữu hình,-13067458152.0,-13688168421.0,-14290598838.0,-14893029255.0,-15451854172.0,-16055342165.0,-16650182445.0,-16911295619.0,-17493408614.0,-18075521609.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,462052990.0,462052990.0,774199873.0,774199873.0,774199873.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,462052990.0,462052990.0,462052990.0,462052990.0,462052990.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,5804374977.0,5594480101.0,5585044115.0,6043673540.0,0.0,0.0,0.0,5787489718.0,5724265654.0,5653977090.0
59,Trả trước dài hạn,5804374977.0,5594480101.0,5585044115.0,6043673540.0,0.0,0.0,0.0,5787489718.0,5724265654.0,5653977090.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,135549486970.0,137335422018.0,139898341865.0,137431058559.0,135658429877.0,138085986302.0,136853252307.0,133087596670.0,133518392883.0,135957413102.0
65,Nợ ngắn hạn,118009265670.0,119795200718.0,122358120565.0,119890837259.0,135658429877.0,138085986302.0,136853252307.0,120647375370.0,118358171583.0,120797191802.0
66,Phải trả người bán,12751321667.0,12813441328.0,12570013651.0,15142476536.0,14159132247.0,15422972534.0,14709295991.0,14701574395.0,14592518941.0,15298058051.0
67,Người mua trả tiền trước,3264051000.0,3468862950.0,5846283950.0,2506870900.0,3656847546.0,2543341050.0,2484400000.0,2123185000.0,1703950000.0,1630523500.0
