,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,330593231263.0,313370736105.0,301557809786.0,298548446550.0,250245692141.0,215071974874.0,257755892353.0,294962434212.0,284811022815.0,341268445319.0
1,TÀI SẢN NGẮN HẠN,139787124459.0,114269726694.0,112841291896.0,115326484333.0,76474443541.0,53312372911.0,92760514937.0,131494844458.0,127519098980.0,164700053139.0
2,Tiền và tương đương tiền,4649383290.0,10301922571.0,3518161804.0,13371645438.0,9307924547.0,1267325829.0,4217590450.0,6676219466.0,14657994999.0,52907470412.0
3,Tiền,4649383290.0,10301922571.0,3518161804.0,13371645438.0,9307924547.0,1267325829.0,4217590450.0,6676219466.0,14657994999.0,17907470412.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,84876187675.0,46376434825.0,60810039382.0,29985729480.0,46321423473.0,38188622759.0,70584579599.0,101312968026.0,76459461166.0,57824053179.0
10,Phải thu khách hàng,83377626488.0,45264265679.0,59597481677.0,20427033050.0,36683414612.0,27644466828.0,57360254293.0,88013371712.0,57472198588.0,30728904558.0
11,Trả trước người bán,1512082838.0,1703309434.0,1285351010.0,8608205545.0,765137407.0,407500000.0,803807648.0,632395000.0,6328447427.0,13719409420.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,103966266.0,125984465.0,644331448.0,1588079829.0,14358726636.0,16197484486.0,18476874023.0,18723557679.0,18715171516.0,19432095566.0
16,Dự phòng nợ khó đòi,-117487917.0,-717124753.0,-717124753.0,-637588944.0,-5485855182.0,-6060828555.0,-6056356365.0,-6056356365.0,-6056356365.0,-6056356365.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",49816474291.0,56881984820.0,48513090710.0,71377194483.0,20842229828.0,13581135861.0,14702591805.0,14667886045.0,20217675986.0,26966342983.0
19,Hàng tồn kho,49816474291.0,56881984820.0,48513090710.0,71377194483.0,20842229828.0,13581135861.0,14702591805.0,14667886045.0,20217675986.0,26966342983.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,445079203.0,709384478.0,0.0,591914932.0,2865693.0,275288462.0,3255753083.0,8837770921.0,16183966829.0,27002186565.0
22,Trả trước ngắn hạn,0.0,101932225.0,0.0,0.0,0.0,157382897.0,439481854.0,964792489.0,0.0,3684126461.0
23,Thuế VAT phải thu,0.0,0.0,0.0,591914932.0,2865693.0,117905565.0,2810947297.0,7825954533.0,16183966829.0,23318060104.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,5323932.0,47023899.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,445079203.0,607452253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,190806106804.0,199101009411.0,188716517890.0,183221962217.0,173771248600.0,161759601963.0,164995377416.0,163467589754.0,157291923835.0,176568392180.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7683831030.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7683831030.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,185791541469.0,193424182080.0,172490504709.0,162333513848.0,160041569541.0,148350574936.0,138728455660.0,138198030543.0,128477412174.0,125882429711.0
37,GTCL TSCĐ hữu hình,170317688481.0,161139086689.0,159898928309.0,150248871784.0,148459608896.0,137113060972.0,127835388376.0,127649409939.0,118273238250.0,116022702467.0
38,Nguyên giá TSCĐ hữu hình,215861085221.0,221360198395.0,230842602865.0,219864407558.0,230109961750.0,227832606772.0,222853885226.0,239205613120.0,247061496561.0,234476503908.0
39,Khấu hao lũy kế TSCĐ hữu hình,-45543396740.0,-60221111706.0,-70943674556.0,-69615535774.0,-81650352854.0,-90719545800.0,-95018496850.0,-111556203181.0,-128788258311.0,-118453801441.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,13605445072.0,13098510736.0,12591576400.0,12084642064.0,11581960645.0,11237513964.0,10893067284.0,10548620604.0,10204173924.0,9859727244.0
44,Nguyên giá TSCĐ vô hình,15650050399.0,15650050399.0,15650050399.0,15650050399.0,15650050399.0,15650050399.0,15650050399.0,15650050399.0,15650050399.0,15650050399.0
45,Khấu hao lũy kế TSCĐ vô hình,-2044605327.0,-2551539663.0,-3058473999.0,-3565408335.0,-4068089754.0,-4412536435.0,-4756983115.0,-5101429795.0,-5445876475.0,-5790323155.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,9769003742.0,6881025291.0,0.0,0.0,12682940297.0,679206082.0,2808536191.0,19740887268.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,2530000000.0,3330000000.0,3330000000.0,11730000000.0,11730000000.0,11800300000.0,11800300000.0,22621900000.0,23191900000.0,21124399419.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000000.0,1200000000.0,1200000000.0
55,Đầu tư dài hạn khác,2530000000.0,3330000000.0,3330000000.0,11730000000.0,11730000000.0,11800300000.0,11800300000.0,21421900000.0,21991900000.0,21991900000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2067500581.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,2484565335.0,2346827331.0,3127009439.0,2277423078.0,1999679059.0,1608727027.0,1783681459.0,1968453129.0,2814075470.0,2136844752.0
59,Trả trước dài hạn,2484565335.0,2346827331.0,3127009439.0,2277423078.0,1999679059.0,1608727027.0,1783681459.0,1968453129.0,2814075470.0,2136844752.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,184455514643.0,169283324130.0,153824094103.0,119843672660.0,81658585898.0,60589442773.0,107710482901.0,119839254337.0,107318934785.0,132379403348.0
65,Nợ ngắn hạn,121655326346.0,123860048999.0,129889512625.0,109843672660.0,81658585898.0,60589442773.0,107710482901.0,119839254337.0,107318934785.0,132379403348.0
66,Phải trả người bán,39137544478.0,18658159764.0,32711154965.0,8179567884.0,10658061699.0,10293138204.0,38812128658.0,49543686062.0,38286950417.0,45667395468.0
67,Người mua trả tiền trước,10676867762.0,10768446202.0,10781048832.0,19568181189.0,28231088.0,32101618.0,23108455.0,65335925.0,316348810.0,121608296.0
68,Thuế và các khoản phải trả Nhà nước,3267338839.0,3398442523.0,3116006164.0,443991192.0,6167193858.0,212610970.0,89445500.0,411725625.0,604620831.0,2705229703.0
69,Phải trả người lao động,2746867645.0,2993779490.0,1372679253.0,1047332470.0,434284189.0,549692416.0,978117948.0,3000156728.0,3310925376.0,2164119512.0
70,Chi phí phải trả,141908904.0,140711658.0,174517783.0,100179209.0,91237443.0,48718479.0,71195616.0,46592010.0,31023987.0,82394920.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,8549159159.0,23023276655.0,2020018525.0,11979072276.0,16144956600.0,16394363797.0,20076434952.0,20141480518.0,19959902788.0,19091106868.0
75,Vay ngắn hạn,53793431541.0,59486746189.0,74960868965.0,64810034853.0,44908661906.0,30649098174.0,46404285657.0,45795015354.0,41177292461.0,57099771266.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",3342208018.0,5390486518.0,4753218138.0,3715313587.0,3225959115.0,2409719115.0,1255766115.0,835262115.0,3631870115.0,5447777315.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,62800188297.0,45423275131.0,23934581478.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,62800188297.0,45423275131.0,23934581478.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,146137716620.0,144087411975.0,147733715683.0,178704773890.0,168587106243.0,154482532101.0,150045409452.0,175123179875.0,177492088030.0,208889041971.0
96,Vốn và các quỹ,146137716620.0,144087411975.0,147733715683.0,178704773890.0,168587106243.0,154482532101.0,150045409452.0,175123179875.0,177492088030.0,208889041971.0
97,Vốn góp,90000000000.0,90000000000.0,108899730000.0,138899730000.0,138899730000.0,138899730000.0,138899730000.0,138899730000.0,138899730000.0,172788880000.0
98,Cổ phiếu phổ thông,90000000000.0,90000000000.0,108899730000.0,138899730000.0,138899730000.0,138899730000.0,138899730000.0,138899730000.0,138899730000.0,172788880000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,4913000000.0,4913000000.0,4869583333.0,4804928341.0,4804928341.0,4804928341.0,4804928341.0,4804928341.0,4804928341.0,4804928341.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,18696464964.0,21544461964.0,30014117574.0,30084078574.0,30238558366.0,30238558366.0,10777873760.0,10777873760.0,11809905760.0,12908781960.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,28479968046.0,22157668401.0,3950284776.0,4916036975.0,-5356110464.0,-19460684606.0,-4437122649.0,20640647774.0,21977523929.0,18386451670.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,3483874985.0,0.0,4642769838.0,0.0,0.0,-4158046725.0,1590514774.0,2418719444.0
112,LNST chưa phân phối kỳ này,28479968046.0,22157668401.0,466409791.0,4916036975.0,-9998880302.0,-19460684606.0,-4437122649.0,24798694499.0,20387009155.0,15967732226.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,330593231263.0,313370736105.0,301557809786.0,298548446550.0,250245692141.0,215071974874.0,257755892353.0,294962434212.0,284811022815.0,341268445319.0
