,Unnamed: 0,Q2 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,2916347946.0,50137281338.0,12199839558.0,11835892654.0,-12012375002.0,1513709567.0,-6232540385.0,10658443724.0,7066868301.0,-5262366121.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-10995542315.0,-2391531483.0,71704376.0,-4239522840.0,3862250113.0,-632000000.0,-1850000000.0,-4031447633.0,992084941.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1371041271.0,-1389090909.0,-3300000.0,-4239813227.0,3862540500.0,-62000000.0,-1850000000.0,-4090939868.0,998347276.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,13343000.0,-1213000.0,1213000.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-9621600000.0,-1200000000.0,0.0,0.0,0.0,-570000000.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,-2901044.0,197559426.0,61661376.0,1503387.0,-1503387.0,0.0,0.0,59492235.0,-6262335.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,5571841544.0,-48003376055.0,-13757525906.0,8929645502.0,-1871099590.0,2081257101.0,8038478338.0,-12527091675.0,25661092142.0,14750000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000000.0,15000000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,43051396628.0,0.0,78488907926.0,77056226607.0,47286666683.0,57043118967.0,59416784329.0,62895006166.0,71244603119.0,51899394981.0
33,Tiển trả các khoản đi vay,-37479555084.0,-48003376055.0,-92246433832.0,-68126581105.0,-49157766273.0,-54961861866.0,-51378305991.0,-74562545841.0,-51443062977.0,-52149394981.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-859552000.0,859552000.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-2507352825.0,-257626200.0,-1485981972.0,16526015316.0,-10021224479.0,2962966668.0,-44062047.0,-5900095584.0,33720045384.0,9487633879.0
38,Tiền và tương đương tiền đầu kỳ,6115568690.0,6933845666.0,6676219466.0,5190237494.0,21938021487.0,11695028331.0,14657994999.0,14635920676.0,9010279045.0,43021509493.0
39,Ảnh hưởng của chênh lệch tỷ giá,44997377.0,0.0,0.0,221768677.0,-221768677.0,0.0,21987724.0,274453953.0,291185064.0,398327040.0
40,Tiền và tương đương tiền cuối kỳ,3653213242.0,6676219466.0,5190237494.0,21938021487.0,11695028331.0,14657994999.0,14635920676.0,9010279045.0,43021509493.0,52907470412.0
