,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,69009100633.0,104202590682.0,115048939983.0,56453366268.0,63408263509.0,75977482620.0,71357517784.0,83911644167.0,85244756422.0,98227599564.0
1,Các khoản giảm trừ,0.0,-17309546679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,69009100633.0,86893044003.0,115048939983.0,56453366268.0,63408263509.0,75977482620.0,71357517784.0,83911644167.0,85244756422.0,98227599564.0
3,Giá vốn hàng bán,-24316469534.0,-33830065218.0,-49691923235.0,-30932559247.0,-35432126436.0,-39650622895.0,-39247299849.0,-36759524827.0,-46008890146.0,-50918222055.0
4,Lãi gộp,44692631099.0,53062978785.0,65357016748.0,25520807021.0,27976137073.0,36326859725.0,32110217935.0,47152119340.0,39235866276.0,47309377509.0
5,Thu nhập tài chính,1406026.0,147323864.0,61661376.0,223549982.0,6668639.0,190328437.0,78358457.0,450153129.0,592227759.0,112443666.0
6,Chi phí tài chính,-511509115.0,-686088245.0,-507318770.0,-658896943.0,-520424746.0,-938640127.0,-773503471.0,-765700519.0,-723021748.0,-1496925810.0
7,Trong đó: Chi phí lãi vay,-511509115.0,-686088245.0,-507318770.0,-648079494.0,-520424746.0,-528526324.0,-720814096.0,-720489319.0,-722127608.0,-1174483497.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-36345172716.0,-57636684749.0,-59971621092.0,-23862284980.0,-22120441344.0,-32454875025.0,-25974020895.0,-38864283787.0,-30732150261.0,-36347975494.0
10,Chi phí quản lý doanh  nghiệp,-2044330490.0,-3924550163.0,-2482684520.0,-2386625757.0,-2045383130.0,-3386194027.0,-2454177417.0,-2928172944.0,-4318306735.0,-3706001276.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,5793024804.0,-9037020508.0,2457053742.0,-1163450677.0,3296556492.0,-262521017.0,2986874609.0,5044115219.0,4054615291.0,5870918595.0
12,Thu nhập khác,308309120.0,17444240082.0,13884574175.0,4383947265.0,1278802413.0,451228509.0,100659040.0,1296682640.0,386194801.0,285607899.0
13,Chi phí khác,-1084788063.0,-1049390309.0,-1184829562.0,-9623384.0,-21753384.0,-24909465.0,0.0,-43506768.0,-21753384.0,-1575514287.0
14,"Thu nhập khác, ròng",-776478943.0,16394849773.0,12699744613.0,4374323881.0,1257049029.0,426319044.0,100659040.0,1253175872.0,364441417.0,-1289906388.0
16,Lãi/(lỗ) ròng trước thuế,5016545861.0,7357829265.0,15156798355.0,3210873204.0,4553605521.0,163798027.0,3087533649.0,6297291091.0,4419056708.0,4581012207.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-339073385.0,-466728555.0,-1652886180.0,-357870824.0,-526434944.0,-147867665.0,-365605577.0,-752632100.0,-657043942.0,-823685003.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-339073385.0,-466728555.0,-1652886180.0,-357870824.0,-526434944.0,-147867665.0,-365605577.0,-752632100.0,-657043942.0,-823685003.0
20,Lãi/(lỗ) thuần sau thuế,4677472476.0,6891100710.0,13503912175.0,2853002380.0,4027170577.0,15930362.0,2721928072.0,5544658991.0,3762012766.0,3757327204.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,4677472476.0,6891100710.0,13503912175.0,2853002380.0,4027170577.0,15930362.0,2721928072.0,5544658991.0,3762012766.0,3757327204.0
23,Lãi cơ bản trên cổ phiếu,336.75,496.12,972.21,206.0,289.0,1.0,196.0,399.0,238.0,217.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0
