,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,1338274178302.0,1299082648612.0,1400795509537.0,1453489843632.0,1475050677080.0,1491929033384.0,1464507901066.0,1353517018834.0,1260147050591.0,1304042985322.0
1,TÀI SẢN NGẮN HẠN,974676368804.0,1004167984403.0,896165970244.0,983608447320.0,1172999115290.0,1176776685303.0,1169654957936.0,1070252853603.0,988713520844.0,1014636000790.0
2,Tiền và tương đương tiền,159336095652.0,72867327524.0,67585713638.0,25593846922.0,28882887093.0,17731966118.0,37435021080.0,11662074968.0,7688609818.0,10139927513.0
3,Tiền,159336095652.0,72867327524.0,51585713638.0,25593846922.0,28882887093.0,17731966118.0,7435021080.0,11662074968.0,7688609818.0,10139927513.0
4,Các khoản tương đương tiền,0.0,0.0,16000000000.0,0.0,0.0,0.0,30000000000.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,449918810845.0,454609451666.0,415714891466.0,439380957930.0,652874568064.0,551273470681.0,549023632245.0,498908324618.0,333421598883.0,320170372390.0
10,Phải thu khách hàng,423590450845.0,444618131905.0,409862293707.0,444870834155.0,661669070805.0,535829077783.0,562884837712.0,519285045239.0,355083604459.0,305945960637.0
11,Trả trước người bán,26590276255.0,12068753685.0,20392319442.0,10423085523.0,13935159298.0,41801342315.0,12074459694.0,4832698969.0,3289136505.0,1051775138.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,5672991021.0,5053510677.0,8783068341.0,9726634761.0,13185909012.0,9266647103.0,9743173426.0,8542864020.0,9151549016.0,46653731122.0
16,Dự phòng nợ khó đòi,-5934907276.0,-7130944601.0,-23322790024.0,-25639596509.0,-35915571051.0,-35623596520.0,-35678838587.0,-35202691097.0,-34102691097.0,-33481094507.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450407487.0,0.0,0.0
18,"Hàng tồn kho, ròng",357412626302.0,463166704784.0,409451996673.0,510893112033.0,488774340015.0,602921313479.0,578540876394.0,559296747787.0,646349932438.0,676521021947.0
19,Hàng tồn kho,358054590749.0,463166704784.0,409451996673.0,510893112033.0,488774340015.0,602921313479.0,578540876394.0,559296747787.0,646349932438.0,676521021947.0
20,Dự phòng giảm giá HTK,-641964447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,8008836005.0,13524500429.0,3413368467.0,7740530435.0,2467320118.0,4849935025.0,4655428217.0,385706230.0,1253379705.0,7804678940.0
22,Trả trước ngắn hạn,21831495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,2116894101.0,10039311539.0,3413368467.0,7740530435.0,2467320118.0,4849935025.0,4655428217.0,385706230.0,1253379705.0,7804678940.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,5870110409.0,3485188890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,363597809498.0,294914664209.0,504629539293.0,469881396312.0,302051561790.0,315152348081.0,294852943130.0,283264165231.0,271433529747.0,289406984532.0
28,Phải thu dài hạn,0.0,0.0,241375720978.0,253358048319.0,168112347625.0,199306350618.0,176673312164.0,187340741315.0,191625517028.0,183292652692.0
29,Phải thu khách hàng dài hạn,0.0,0.0,241375720978.0,253358048319.0,168112347625.0,199306350618.0,176673312164.0,185934541315.0,190701817028.0,183292652692.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406200000.0,923700000.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,236977578551.0,217718864383.0,189427854783.0,169119839402.0,109845509461.0,85936434651.0,91223852325.0,79657683891.0,63039192025.0,54643850453.0
37,GTCL TSCĐ hữu hình,233545549945.0,217373339718.0,189129825368.0,169119839402.0,109845509461.0,85936434651.0,66104443687.0,48996740226.0,35680520152.0,37124177175.0
