,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,102069370401.0,95976035729.0,92237328934.0,92156421326.0,89601420385.0,88340230802.0,84146485069.0,88850379783.0,92567822996.0,89391745689.0
1,TÀI SẢN NGẮN HẠN,81804678838.0,75499041359.0,72278330615.0,70242403544.0,67520885987.0,67883840852.0,63897346835.0,68900936582.0,73138404736.0,69967010501.0
2,Tiền và tương đương tiền,2631018203.0,3296707623.0,3227089603.0,3035505335.0,4711849701.0,3784932363.0,4224859389.0,2136431184.0,1499563243.0,1999188860.0
3,Tiền,2631018203.0,2596707623.0,2527089603.0,2335505335.0,4011849701.0,3084932363.0,3524859389.0,1436431184.0,799563243.0,1299188860.0
4,Các khoản tương đương tiền,0.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0
5,Giá trị thuần đầu tư ngắn hạn,4000000000.0,4000000000.0,4360000000.0,4100000000.0,4100000000.0,4100000000.0,4100000000.0,4000000000.0,4100000000.0,4100000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,4000000000.0,4000000000.0,4360000000.0,4100000000.0,4100000000.0,4100000000.0,4100000000.0,4000000000.0,4100000000.0,4100000000.0
9,Các khoản phải thu,52918257792.0,46724215366.0,41926672104.0,44944110307.0,40687537972.0,42244224893.0,35115921023.0,36315209562.0,42011735823.0,41993197779.0
10,Phải thu khách hàng,63527428606.0,56461947778.0,50800166732.0,53389833142.0,48982387121.0,52332335506.0,45588053608.0,46527310063.0,51883653499.0,51931840649.0
11,Trả trước người bán,154960435.0,129960435.0,509486077.0,443328435.0,170710435.0,214960435.0,75985435.0,74710435.0,87210435.0,74710435.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0
15,Phải thu khác,6720609409.0,7297606043.0,7345938845.0,7648040510.0,8071532196.0,8034075019.0,7789028047.0,7782480005.0,8110162830.0,8905731152.0
16,Dự phòng nợ khó đòi,-24518784898.0,-24199343130.0,-23762963790.0,-23571136020.0,-23571136020.0,-25371190307.0,-25371190307.0,-25103335181.0,-25103335181.0,-25953128697.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",21747143136.0,20900579500.0,22135724827.0,17560097607.0,17363484616.0,16981261910.0,19642145849.0,25909898903.0,24871221688.0,21345487651.0
19,Hàng tồn kho,21747143136.0,20900579500.0,22135724827.0,17560097607.0,17363484616.0,16981261910.0,19642145849.0,25909898903.0,24871221688.0,21345487651.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,508259707.0,577538870.0,628844081.0,602690295.0,658013698.0,773421686.0,814420574.0,539396933.0,655883982.0,529136211.0
22,Trả trước ngắn hạn,92858820.0,162203158.0,213732527.0,182584927.0,240481411.0,354512994.0,400209450.0,127380959.0,245989489.0,124701111.0
23,Thuế VAT phải thu,415400887.0,415335712.0,415111554.0,420105368.0,417532287.0,418908692.0,414211124.0,412015974.0,409894493.0,404435100.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
