,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,187531314295.0,163634161844.0,128478845252.0,135058743663.0,130318272055.0,102356892900.0,108183007378.0,95865086850.0,87937030802.0,89310273353.0
1,TÀI SẢN NGẮN HẠN,146933056629.0,93673078499.0,104164264386.0,109980892232.0,101285441510.0,76312792675.0,80485064164.0,75720759020.0,67480640852.0,69773173870.0
2,Tiền và tương đương tiền,5555758776.0,6520439381.0,8001661015.0,4245085156.0,5838367818.0,6228360930.0,2799275038.0,3299747381.0,3784932363.0,1999188860.0
3,Tiền,5555758776.0,6520439381.0,5001661015.0,3245085156.0,5248176968.0,2228360930.0,738210809.0,2599747381.0,3084932363.0,1299188860.0
4,Các khoản tương đương tiền,0.0,0.0,3000000000.0,1000000000.0,590190850.0,4000000000.0,2061064229.0,700000000.0,700000000.0,700000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,4360000000.0,4100000000.0,4237955573.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,4360000000.0,4100000000.0,4237955573.0
9,Các khoản phải thu,98572553366.0,52312358743.0,62767447231.0,69711794294.0,64848471732.0,51159769849.0,50829549926.0,46550826729.0,41841024893.0,41679194270.0
10,Phải thu khách hàng,99154686484.0,55638733216.0,60173765552.0,70686373802.0,66686411422.0,61132525320.0,61206172269.0,56288559141.0,51929135506.0,51837265049.0
11,Trả trước người bán,799011324.0,452725559.0,106380215.0,443768936.0,2366726307.0,184710435.0,482232435.0,129960435.0,214960435.0,74710435.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0,7034044240.0
15,Phải thu khác,9931211332.0,9409567085.0,17757071412.0,14503667245.0,11293173151.0,8016218347.0,6854224863.0,7297606043.0,8034075019.0,8686303243.0
16,Dự phòng nợ khó đòi,-11312355774.0,-20222711357.0,-22303814188.0,-22956059929.0,-22531883388.0,-25207728493.0,-24747123881.0,-24199343130.0,-25371190307.0,-25953128697.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",35395779683.0,34095239508.0,32360907053.0,35411962439.0,29652175988.0,18019753570.0,23173439524.0,20900579500.0,16981261910.0,21345487651.0
19,Hàng tồn kho,35395779683.0,34095239508.0,32360907053.0,35411962439.0,29652175988.0,18019753570.0,23173439524.0,20900579500.0,16981261910.0,21345487651.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,7408964804.0,745040867.0,1034249087.0,612050343.0,946425972.0,904908326.0,682799676.0,609605410.0,773421686.0,511347516.0
22,Trả trước ngắn hạn,0.0,292456237.0,608487069.0,197374643.0,537706374.0,130479552.0,262972345.0,194269698.0,354512994.0,106912416.0
23,Thuế VAT phải thu,476437608.0,452584630.0,425762018.0,414675700.0,408719598.0,774428774.0,419827331.0,415335712.0,418908692.0,404435100.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,6932527196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,40598257666.0,69961083345.0,24314580866.0,25077851431.0,29032830545.0,26044100225.0,27697943214.0,20144327830.0,20456389950.0,19537099483.0
28,Phải thu dài hạn,0.0,29236876649.0,14974165354.0,16307203638.0,18412129653.0,16225024069.0,17268591272.0,12355346668.0,14081905466.0,13759093917.0
29,Phải thu khách hàng dài hạn,0.0,28093285455.0,14176624580.0,15109660864.0,17355110241.0,16225024069.0,17268591272.0,12275346668.0,14061905466.0,13759093917.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,1143591194.0,797540774.0,1197542774.0,1057019412.0,0.0,0.0,80000000.0,20000000.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,6580430890.0,5527890118.0,5799982406.0,4895479462.0,7773752625.0,6441282259.0,6405047675.0,5987985186.0,5327798288.0,4702762524.0
37,GTCL TSCĐ hữu hình,6247496926.0,5527890118.0,5799982406.0,4895479462.0,7773752625.0,6441282259.0,6405047675.0,5987985186.0,5327798288.0,4702762524.0
38,Nguyên giá TSCĐ hữu hình,28482321984.0,28820489185.0,28169255489.0,26492581400.0,28273759744.0,25159043424.0,24142041876.0,23369435775.0,22983937538.0,22437391321.0
39,Khấu hao lũy kế TSCĐ hữu hình,-22234825058.0,-23292599067.0,-22369273083.0,-21597101938.0,-20500007119.0,-18717761165.0,-17736994201.0,-17381450589.0,-17656139250.0,-17734628797.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,446300864.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,-446300864.0,-50000000.0,-50000000.0,-50000000.0,-50000000.0,-50000000.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,1451878807.0,1305632745.0,1670403555.0,934745625.0,753697963.0,457464392.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,32559372696.0,33464366905.0,1877889647.0,1877889647.0,1500000000.0,1500000000.0,1781301323.0,792112200.0,550134564.0,550134564.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,25686562698.0,28964366902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,6900000003.0,6900000003.0,4374000000.0,4374000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,2950134564.0,2950134564.0
56,Dự phòng giảm giá đầu tư dài hạn,-27190005.0,-2400000000.0,-2496110353.0,-2496110353.0,-2400000000.0,-2400000000.0,-2478698677.0,-3107887800.0,-2400000000.0,-2400000000.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,360000000.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1458454080.0,280070866.0,356910714.0,326875129.0,412202642.0,1124095934.0,1785538552.0,1008883776.0,496551632.0,525108478.0
59,Trả trước dài hạn,1458454080.0,280070866.0,356910714.0,326875129.0,412202642.0,1124095934.0,1785538552.0,1008883776.0,496551632.0,525108478.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,134008356208.0,105041306180.0,74303777864.0,80885771975.0,75880143925.0,47047138185.0,54657249793.0,42958720383.0,34513077361.0,36344419553.0
65,Nợ ngắn hạn,132661869253.0,90919993257.0,64709039132.0,70293968901.0,66507280671.0,39887829784.0,49033646384.0,37909116376.0,29913805656.0,32127147848.0
66,Phải trả người bán,47036455250.0,4713361926.0,5916028392.0,5937200549.0,6671549174.0,3328975430.0,3008231239.0,2455969574.0,1267894019.0,2212053792.0
67,Người mua trả tiền trước,26317050815.0,10381185289.0,14160578960.0,19675407445.0,16938139495.0,8141083301.0,12737898677.0,8989491204.0,8084519642.0,7542417550.0
68,Thuế và các khoản phải trả Nhà nước,9837709275.0,9899812345.0,2061263584.0,1270273103.0,2620584422.0,1067629901.0,533292423.0,581202763.0,1427718066.0,645980225.0
69,Phải trả người lao động,22802878943.0,31745341947.0,23688363069.0,23945352762.0,14636344921.0,7267991148.0,8701080974.0,4939242074.0,6797817767.0,8595678076.0
70,Chi phí phải trả,258932000.0,722970083.0,289951875.0,854096269.0,1982066909.0,355383417.0,190800000.0,0.0,86818182.0,80009091.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55555556.0
74,Phải trả khác,16819063491.0,24270079032.0,15039343498.0,16654409609.0,15975580094.0,13742342950.0,12481121888.0,11567618109.0,8924928129.0,8152875891.0
75,Vay ngắn hạn,9276997049.0,8644451675.0,2653757329.0,1161579609.0,6999292855.0,5068287526.0,10244585072.0,8123918385.0,2114907584.0,3616075400.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",312782430.0,542790960.0,899752425.0,795649555.0,683722801.0,916136111.0,1136636111.0,1251674267.0,1209202267.0,1226502267.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,1346486955.0,14121312923.0,9594738732.0,10591803074.0,9372863254.0,7159308401.0,5623603409.0,5049604007.0,4599271705.0,4217271705.0
81,Phải trả nhà cung cấp dài hạn,0.0,9352632708.0,4751377293.0,4757614369.0,4256774969.0,4312022578.0,4286496986.0,3948497584.0,3580692409.0,3580692409.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,556449636.0,657119417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,3321523479.0,3174132054.0,4111994643.0,2926151559.0,1524179400.0,300000000.0,300000000.0,300000000.0,0.0
88,Vay dài hạn,0.0,0.0,305700000.0,421675320.0,1309417984.0,693000000.0,407000000.0,171000000.0,76000000.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,693117066.0,630106423.0,630106423.0,630106423.0,630106423.0,630106423.0,642579296.0,636579296.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,790037319.0,790037319.0,670412319.0,670412319.0,250412319.0,0.0,0.0,0.0,0.0,0.0
