,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,20182603866.0,12261575113.0,9474689134.0,17909267513.0,8760621619.0,12387189584.0,8607894833.0,8055996007.0,14137754244.0,16429494642.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,20182603866.0,12261575113.0,9474689134.0,17909267513.0,8760621619.0,12387189584.0,8607894833.0,8055996007.0,14137754244.0,16429494642.0
3,Giá vốn hàng bán,-16522749368.0,-10192565882.0,-7404855009.0,-14976848427.0,-6785733834.0,-8778860860.0,-6257615099.0,-5623900964.0,-11154265671.0,-13042898386.0
4,Lãi gộp,3659854498.0,2069009231.0,2069834125.0,2932419086.0,1974887785.0,3608328724.0,2350279734.0,2432095043.0,2983488573.0,3386596256.0
5,Thu nhập tài chính,68798797.0,327747377.0,65917224.0,7357590.0,39647198.0,1825533165.0,34038251.0,160565268.0,32005459.0,1004749344.0
6,Chi phí tài chính,-215853173.0,-123820704.0,-128889043.0,588404046.0,-103449957.0,-41563555.0,-46289060.0,-47709863.0,-74142481.0,-94170269.0
7,Trong đó: Chi phí lãi vay,-214349045.0,-170323376.0,-128889043.0,-119483754.0,-101361903.0,-37486730.0,-46289060.0,-47709863.0,-74142481.0,-92990700.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-20144280.0,-18787575.0,-17233415.0,-18404767.0,-18662361.0,-21269111.0,-14642963.0,-36287129.0,-23172500.0,-16400578.0
10,Chi phí quản lý doanh  nghiệp,-2469002042.0,-1980562843.0,-1587849575.0,-2578060619.0,-1679915108.0,-4204646245.0,-2031519148.0,-2017572748.0,-2270934589.0,-3584967153.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1023653800.0,273585486.0,401779316.0,931715336.0,212507557.0,1166382978.0,291866814.0,491090571.0,647244462.0,695807600.0
12,Thu nhập khác,5696755.0,4778686.0,22000000.0,9460849.0,1534664.0,18843376.0,10147874.0,3000000.0,13245442.0,15376614.0
13,Chi phí khác,-379210.0,-1148000.0,-5000.0,-28208455.0,-2255120.0,-913214.0,-122413.0,-7200000.0,-71805.0,-19085584.0
14,"Thu nhập khác, ròng",5317545.0,3630686.0,21995000.0,-18747606.0,-720456.0,17930162.0,10025461.0,-4200000.0,13173637.0,-3708970.0
16,Lãi/(lỗ) ròng trước thuế,1028971345.0,277216172.0,423774316.0,912967730.0,211787101.0,1184313140.0,301892275.0,486890571.0,660418099.0,692098630.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-129373952.0,-44035943.0,-84663643.0,-188175736.0,-42595998.0,-71120683.0,-62262411.0,-106463948.0,-139013613.0,-135642269.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,4000000.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-129373952.0,-44035943.0,-84663643.0,-188175736.0,-42595998.0,-71120683.0,-60262411.0,-102463948.0,-139013613.0,-135642269.0
20,Lãi/(lỗ) thuần sau thuế,899597393.0,233180229.0,339110673.0,724791994.0,169191103.0,1113192457.0,241629864.0,384426623.0,521404486.0,556456361.0
21,Lợi ích của cổ đông thiểu số,-882676.0,-6222458.0,120959.0,632651.0,528050.0,231428.0,153875.0,319591.0,-9189171.0,8763449.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,900480069.0,239402687.0,338989714.0,724159343.0,168663053.0,1112961029.0,241475989.0,384107032.0,530593657.0,547692912.0
23,Lãi cơ bản trên cổ phiếu,345.0,92.0,130.0,277.0,65.0,426.0,93.0,147.0,203.0,210.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
