,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,828061276175.0,727403713078.0,733901910177.0,866072140198.0,679375540782.0,568543446046.0,439798277824.0,351144562286.0,279432619906.0,253874563373.0
1,TÀI SẢN NGẮN HẠN,655604547205.0,555586162766.0,535725048779.0,702116848727.0,534467205132.0,454977848012.0,371692961481.0,298056994875.0,256746035774.0,233563146730.0
2,Tiền và tương đương tiền,71581063585.0,40376077381.0,42510380642.0,53066914595.0,40713735853.0,33642500196.0,4260309237.0,1124243805.0,325751439.0,3728915662.0
3,Tiền,71581063585.0,40376077381.0,42510380642.0,10566914595.0,6213735853.0,1104711741.0,4260309237.0,1124243805.0,325751439.0,3728915662.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,42500000000.0,34500000000.0,32537788455.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,4615539776.0,4587295304.0,4117828390.0,5813893506.0,2850511155.0,12629434290.0,1462288390.0,1049394390.0,59468981.0,59468981.0
6,Đầu tư ngắn hạn,7617950025.0,4401692800.0,6193479090.0,5838492363.0,3619268981.0,3469268981.0,3449268981.0,3427668981.0,59468981.0,59468981.0
7,Dự phòng đầu tư ngắn hạn,-3002410249.0,-1814397496.0,-2075650700.0,-2714011163.0,-1886546281.0,-2019834691.0,-1986980591.0,-2378274591.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,2000000000.0,0.0,2689412306.0,1117788455.0,11180000000.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,455722759045.0,419473018397.0,411414448447.0,478187599472.0,338132927190.0,288986131719.0,268615301866.0,241940797157.0,200193322559.0,185870577881.0
10,Phải thu khách hàng,401096882536.0,353592879064.0,362425219566.0,440692464960.0,316886939970.0,277026380995.0,277322229643.0,251257619364.0,232599003619.0,222548485907.0
11,Trả trước người bán,50895444101.0,48839540675.0,24309753645.0,23093947541.0,8090033650.0,8865861770.0,7842771545.0,9949014145.0,17269863416.0,16186685825.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,4386825803.0,17696992053.0,25335868631.0,15057580366.0,13812346965.0,13488711431.0,12832475659.0,12778732309.0,15867277350.0,15168516012.0
16,Dự phòng nợ khó đòi,-656393395.0,-656393395.0,-656393395.0,-656393395.0,-656393395.0,-10394822477.0,-29382174981.0,-32044568661.0,-65542821826.0,-68033109863.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",111486741374.0,81982922001.0,60454282007.0,144684210585.0,135499245172.0,111397238183.0,94588634763.0,52445144645.0,54294092884.0,40986151506.0
19,Hàng tồn kho,111742515905.0,82238696532.0,60710056538.0,146516905317.0,137331939904.0,115062627646.0,100490093420.0,58346603302.0,60195551541.0,46887610163.0
20,Dự phòng giảm giá HTK,-255774531.0,-255774531.0,-255774531.0,-1832694732.0,-1832694732.0,-3665389463.0,-5901458657.0,-5901458657.0,-5901458657.0,-5901458657.0
21,Tài sản lưu động khác,12198443425.0,9166849683.0,17228109293.0,20364230569.0,17270785762.0,8322543624.0,2766427225.0,1497414878.0,1873399911.0,2918032700.0
22,Trả trước ngắn hạn,2838603310.0,8922614995.0,15274511192.0,15185955906.0,8830330281.0,3516038488.0,2748338046.0,1479325699.0,1855310732.0,2360167189.0
23,Thuế VAT phải thu,527995183.0,244234688.0,1953598101.0,4944474707.0,8440455481.0,4806505136.0,18089179.0,18089179.0,18089179.0,557865511.0
24,Phải thu thuế khác,0.0,0.0,0.0,233799956.0,0.0,0.0,0.0,0.0,0.0,0.0
