,Unnamed: 0,Q2 2020,Q3 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,2378690721.0,2530455210.0,-534914762.0,-619140257.0,1968237749.0,-3463762389.0,2562977333.0,-2557278675.0,3057228857.0,108300054334.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-782032204.0,169295893.0,23044390.0,201003933.0,-57372547.0,120501317.0,22050878.0,3868591971.0,-3720620094.0,347723695.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-12810000.0,0.0,-110592000.0,110592000.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,-7272727.0,7272727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-129008189263.0,128200000000.0,0.0,-133000000000.0,133000000000.0,0.0,0.0,-142000000000.0,142000000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,123484246854.0,-123484246854.0,0.0,129000000000.0,-129000000000.0,0.0,0.0,141500000000.0,-141500000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,4749182932.0,-4540919980.0,23044390.0,4311595933.0,-4167964547.0,120501317.0,22050878.0,4368591971.0,-4220620094.0,347723695.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,-7286517960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-7286517960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,1596658517.0,-4586766857.0,-511870372.0,-418136324.0,1910865202.0,-3343261072.0,2585028211.0,1311313296.0,-663391237.0,108647778029.0
38,Tiền và tương đương tiền đầu kỳ,4808285478.0,6404943995.0,3094705443.0,2582301609.0,2164672039.0,4074236261.0,730957208.0,3317349224.0,4629421351.0,3968222513.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,-207262.0,-533462.0,506754.0,-1300980.0,-17981.0,1363805.0,758831.0,2192399.0,3412222.0
40,Tiền và tương đương tiền cuối kỳ,6404943995.0,1817969876.0,2582301609.0,2164672039.0,4074236261.0,730957208.0,3317349224.0,4629421351.0,3968222513.0,112619412764.0
