,CHỈ TIÊU,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018
0,TỔNG TÀI SẢN,237768927455.0,234676672757.0,232893472098.0,232155226692.0,252108072926.0,283148446013.0,289983377198.0,276562063110.0,266324942803.0,266326415344.0
1,TÀI SẢN NGẮN HẠN,118089301670.0,117000614020.0,134322958502.0,133590462746.0,61017548921.0,90954242320.0,97789173505.0,84371219519.0,74134099212.0,74135571753.0
2,Tiền và tương đương tiền,9498834864.0,78274723.0,240387037.0,77410168.0,28564230.0,16307629.0,15080814.0,25324488.0,25143955.0,29996300.0
3,Tiền,9498834864.0,78274723.0,240387037.0,77410168.0,28564230.0,16307629.0,15080814.0,13958686.0,25143955.0,29996300.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11365802.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,77428054111.0,84792050242.0,101871658747.0,100899439193.0,28426597703.0,58375547703.0,65212324903.0,51792890253.0,41951048635.0,41983214945.0
10,Phải thu khách hàng,38870317161.0,47610413765.0,49636841765.0,67417211625.0,20107087000.0,50056037000.0,56892814200.0,43458029550.0,30817837432.0,30850003742.0
11,Trả trước người bán,25507736950.0,25641636477.0,22718875567.0,22215399928.0,7136529498.0,7136529498.0,7136529498.0,7151879498.0,9950229998.0,9950229998.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,13050000000.0,11540000000.0,29515941415.0,11266827640.0,1182981205.0,1182981205.0,1182981205.0,1182981205.0,1182981205.0,1182981205.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",31126540702.0,32086124702.0,32153885474.0,32554164774.0,32516624477.0,32516624477.0,32516624477.0,32507381977.0,32142525354.0,32114173058.0
19,Hàng tồn kho,31126540702.0,32086124702.0,32153885474.0,32554164774.0,32516624477.0,32516624477.0,32516624477.0,32507381977.0,32142525354.0,32114173058.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,35871993.0,44164353.0,57027244.0,59448611.0,45762511.0,45762511.0,45143311.0,45622801.0,15381268.0,8187450.0
22,Trả trước ngắn hạn,2075758.0,1478032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,33412195.0,41264720.0,56643204.0,59064571.0,45378471.0,45378471.0,44759271.0,45622801.0,9881268.0,8187450.0
24,Phải thu thuế khác,384040.0,384040.0,384040.0,384040.0,384040.0,384040.0,384040.0,0.0,5500000.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,1037561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,119679625785.0,117676058737.0,98570513596.0,98564763946.0,191090524005.0,192194203693.0,192194203693.0,192190843591.0,192190843591.0,192190843591.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,GTCL TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Nguyên giá TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,4569654375.0,4569654375.0,4569654375.0,4569654375.0,4569654375.0,4569654375.0,4569654375.0,4569654375.0,4569654375.0,4569654375.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,115000000000.0,113000000000.0,93892960210.0,93892960210.0,186422960210.0,187530000000.0,187530000000.0,187530000000.0,187530000000.0,187530000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,95000000000.0,95000000000.0,95000000000.0,95000000000.0,187530000000.0,187530000000.0,187530000000.0,187530000000.0,187530000000.0,187530000000.0
55,Đầu tư dài hạn khác,20000000000.0,18000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,-1107039790.0,-1107039790.0,-1107039790.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,109971410.0,106404362.0,107899011.0,102149361.0,97909420.0,94549318.0,94549318.0,91189216.0,91189216.0,91189216.0
59,Trả trước dài hạn,109971410.0,106404362.0,107899011.0,102149361.0,97909420.0,94549318.0,94549318.0,91189216.0,91189216.0,91189216.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,8229950721.0,5204947754.0,4449120329.0,3830476914.0,23758760437.0,53909258395.0,60747412478.0,47653819392.0,37459417102.0,37451213342.0
65,Nợ ngắn hạn,8229950721.0,5204947754.0,4449120329.0,3830476914.0,23758760437.0,53909258395.0,60747412478.0,47653819392.0,37459417102.0,37451213342.0
66,Phải trả người bán,6745592112.0,3595045914.0,3407609516.0,3113980877.0,23036252447.0,52965052447.0,59794996447.0,46430766147.0,10464863857.0,10478160097.0
67,Người mua trả tiền trước,9318993.0,9318993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Thuế và các khoản phải trả Nhà nước,856379453.0,660043731.0,430302922.0,21942792.0,28195970.0,249513928.0,248578011.0,28500000.0,0.0,0.0
69,Phải trả người lao động,0.0,0.0,0.0,0.0,0.0,0.0,9146000.0,0.0,0.0,28500000.0
70,Chi phí phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
