,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,1839650928312.0,1832917864788.0,2171076721782.0,1960864789193.0,1789191833462.0,1945701303100.0,2089742826306.0,2518241153056.0,4416748260555.0,5488034476719.0
1,TÀI SẢN NGẮN HẠN,526874971301.0,1006436175961.0,1446781598704.0,957469045677.0,772270034184.0,907730702578.0,907939576961.0,1415263915837.0,1997806132728.0,3418946618527.0
2,Tiền và tương đương tiền,13611580078.0,39088863399.0,13644673812.0,61480265525.0,52964290579.0,57250776369.0,23344464435.0,122879753087.0,81790060765.0,84666171561.0
3,Tiền,13611580078.0,30288863399.0,13644673812.0,61480265525.0,13560290579.0,57250776369.0,19143735232.0,69970780108.0,57364924752.0,48733370832.0
4,Các khoản tương đương tiền,0.0,8800000000.0,0.0,0.0,39404000000.0,0.0,4200729203.0,52908972979.0,24425136013.0,35932800729.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,7500000000.0,6850000000.0,6478000000.0,205110792674.0,1263000000.0,1000000000.0,23500000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,204847792674.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,7500000000.0,6850000000.0,6478000000.0,263000000.0,1263000000.0,1000000000.0,23500000000.0
9,Các khoản phải thu,492000757817.0,886263785703.0,1158419522067.0,623988388385.0,621636367729.0,672931706231.0,479885556988.0,866631146212.0,1266373881808.0,1922008628323.0
10,Phải thu khách hàng,118199056721.0,350375362709.0,400447325141.0,187908490740.0,239819841177.0,246294537246.0,202311748679.0,67862613792.0,245171782633.0,110819168047.0
11,Trả trước người bán,30268114348.0,32412969717.0,27741694063.0,78234245469.0,54435749551.0,81348825469.0,114414946965.0,159857510190.0,240036309762.0,193656125184.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,824000000.0,30000000000.0,9255000000.0,10023250000.0,10662000000.0,222462000000.0,383706338006.0,365386045018.0
15,Phải thu khác,346418544102.0,528879035323.0,765224485721.0,382500643355.0,383356195642.0,377143243047.0,203651296425.0,458403991613.0,440293798835.0,1295219438752.0
16,Dự phòng nợ khó đòi,-2884957354.0,-25403582046.0,-35818321830.0,-54654991179.0,-65230418641.0,-41878149531.0,-51154435081.0,-41954969383.0,-42834347428.0,-43072148678.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,338972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",8274877465.0,77457654293.0,254448499465.0,232914464871.0,79273363530.0,159790945226.0,168412819245.0,408156404467.0,634786324566.0,1348203142966.0
19,Hàng tồn kho,8274877465.0,77457654293.0,254448499465.0,232914464871.0,79273363530.0,159790945226.0,168412819245.0,408156404467.0,634786324566.0,1348203142966.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,12987755941.0,3625872566.0,20268903360.0,31585926896.0,11546012346.0,11279274752.0,31185943619.0,16333612071.0,13855865589.0,40568675677.0
22,Trả trước ngắn hạn,51826073.0,1939326483.0,442304759.0,6969838339.0,815686987.0,3156328693.0,15693954489.0,5470270481.0,1818778214.0,4127521000.0
