,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,143625803000000.0,169035546000000.0,204704140000000.0,233947740000000.0,286010081000000.0,323276008000000.0,365254318000000.0,412679593000000.0,506604328000000.0,550904120000000.0
1,"Tiền mặt, vàng bạc, đá quý",541115000000.0,801433000000.0,1917860000000.0,1291694000000.0,1446548000000.0,1884822000000.0,1754801000000.0,1619927000000.0,1878293000000.0,1897545000000.0
2,Tiền gửi tại Ngân hàng nhà nước Việt Nam,1981052000000.0,3346049000000.0,4362518000000.0,2718757000000.0,3742659000000.0,4328739000000.0,10163244000000.0,14806140000000.0,14352057000000.0,15145862000000.0
3,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,30262605000000.0,29491363000000.0,29793709000000.0,30136422000000.0,33513516000000.0,29300327000000.0,33708490000000.0,31250514000000.0,64131782000000.0,63008862000000.0
4,Chứng khoán kinh doanh,29015000000.0,31828000000.0,54378000000.0,40899000000.0,1050000000.0,655000000.0,502000000.0,960000000.0,3245000000.0,1547000000.0
5,    Chứng khoán kinh doanh,51887000000.0,50877000000.0,70927000000.0,65382000000.0,3889000000.0,3889000000.0,3889000000.0,3889000000.0,3881000000.0,3881000000.0
6,Dự phòng giảm giá chứng khoán kinh doanh,-22872000000.0,-19049000000.0,-16549000000.0,-24483000000.0,-2839000000.0,-3234000000.0,-3387000000.0,-2929000000.0,-636000000.0,-2334000000.0
7,Các công cụ tài chính phái sinh và các tài sản tài chính khác,0.0,18611000000.0,0.0,44578000000.0,136265000000.0,58228000000.0,172946000000.0,133872000000.0,252448000000.0,269772000000.0
8,Cho vay khách hàng,75322050000000.0,103048466000000.0,130005807000000.0,160578800000000.0,195441551000000.0,213986652000000.0,262031207000000.0,302199056000000.0,357778608000000.0,378575443000000.0
9,  Cho vay khách hàng,76509671000000.0,104095714000000.0,131427193000000.0,162376185000000.0,198290566000000.0,216988881000000.0,265161676000000.0,305637310000000.0,362416124000000.0,385633215000000.0
10,Dự phòng rủi ro cho vay khách hàng,-1187621000000.0,-1047248000000.0,-1421386000000.0,-1797385000000.0,-2849015000000.0,-3002229000000.0,-3130469000000.0,-3438254000000.0,-4637516000000.0,-7057772000000.0
11,Chứng khoán đầu tư,18655008000000.0,13471098000000.0,17316651000000.0,18846623000000.0,21207964000000.0,48026925000000.0,21604317000000.0,28639598000000.0,25104577000000.0,32954676000000.0
12,Chứng khoán đầu tư sẵn sàng để bán,8101622000000.0,5794806000000.0,7479883000000.0,10788497000000.0,12268348000000.0,25193006000000.0,6558244000000.0,16386007000000.0,9981614000000.0,12988616000000.0
13,Chứng khoán đầu tư giữ đến ngày đáo hạn,10562229000000.0,8043327000000.0,10399493000000.0,9439853000000.0,10682862000000.0,24761139000000.0,15780793000000.0,13132592000000.0,15168829000000.0,20063662000000.0
14,Dự phòng giảm giá chứng khoán đầu tư,-8843000000.0,-367035000000.0,-562725000000.0,-1381727000000.0,-1743246000000.0,-1927220000000.0,-734720000000.0,-879001000000.0,-45866000000.0,-97602000000.0
15,"Góp vốn, đầu tư dài hạn",361504000000.0,321032000000.0,303409000000.0,222949000000.0,215465000000.0,195767000000.0,133140000000.0,133140000000.0,131652000000.0,46699000000.0
16,Đầu tư vào công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Đầu tư dài hạn khác,400428000000.0,341590000000.0,313397000000.0,229393000000.0,227250000000.0,201750000000.0,165891000000.0,165891000000.0,164391000000.0,158272000000.0
19,Dự phòng giảm giá đầu tư dài hạn,-38924000000.0,-20558000000.0,-9988000000.0,-6444000000.0,-11785000000.0,-5983000000.0,-32751000000.0,-32751000000.0,-32739000000.0,-111573000000.0
20,Tài sản cố định,4151534000000.0,4105750000000.0,4056266000000.0,3962052000000.0,3952317000000.0,4792434000000.0,4817506000000.0,4866063000000.0,4978978000000.0,4954396000000.0
21,Tài sản cố định hữu hình,405949000000.0,383906000000.0,361018000000.0,424046000000.0,425424000000.0,485674000000.0,498334000000.0,532986000000.0,536194000000.0,502854000000.0
22,Tài sản cố định thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tài sản cố định vô hình,3745585000000.0,3721844000000.0,3695248000000.0,3538006000000.0,3526893000000.0,4306760000000.0,4319172000000.0,4333077000000.0,4442784000000.0,4451542000000.0
24,Investment properties,17248000000.0,17095000000.0,16955000000.0,16815000000.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Other assets,12304672000000.0,14382821000000.0,16876587000000.0,16088151000000.0,26352746000000.0,20701459000000.0,30868165000000.0,29030323000000.0,37992688000000.0,54049318000000.0
26,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,143625803000000.0,169035546000000.0,204704140000000.0,233947740000000.0,286010081000000.0,323276008000000.0,365254318000000.0,412679593000000.0,506604328000000.0,550904120000000.0
27,Tổng nợ phải trả,133267329000000.0,158552574000000.0,193446378000000.0,220716167000000.0,271318861000000.0,306943476000000.0,346746875000000.0,388643373000000.0,471072663000000.0,507999649000000.0
28,Các khoản nợ chính phủ và NHNN Việt Nam,2119145000000.0,761158000000.0,4224915000000.0,2572420000000.0,2758343000000.0,12211237000000.0,725071000000.0,609712000000.0,1510983000000.0,9715193000000.0
