,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Thu nhập lãi và các khoản thu nhập tương tự,8308853000000.0,8156426000000.0,7742671000000.0,8743726000000.0,9149205000000.0,9964890000000.0,9407298000000.0,9881707000000.0,10615840000000.0,11249469000000.0
1,Chi phí lãi và các chi phí tương tự,-5778480000000.0,-4843814000000.0,-5516822000000.0,-4077441000000.0,-5183611000000.0,-5190841000000.0,-5184552000000.0,-5688307000000.0,-5795049000000.0,-6957398000000.0
2,Thu nhập lãi thuần,2530373000000.0,3312612000000.0,2225849000000.0,4666285000000.0,3965594000000.0,4774049000000.0,4222746000000.0,4193400000000.0,4820791000000.0,4292071000000.0
3,Thu nhập từ hoạt động dịch vụ,181080000000.0,251520000000.0,187881000000.0,226673000000.0,225471000000.0,268716000000.0,244248000000.0,307567000000.0,339296000000.0,341389000000.0
4,chi phí hoạt động dịch vụ,-60833000000.0,-63848000000.0,-61332000000.0,-91543000000.0,-78855000000.0,-91382000000.0,-86984000000.0,-84724000000.0,-84770000000.0,-94496000000.0
5,Lãi thuần từ hoạt động dịch vụ,120247000000.0,187672000000.0,126549000000.0,135130000000.0,146616000000.0,177334000000.0,157264000000.0,222843000000.0,254526000000.0,246893000000.0
6,Lãi/(lỗ) thuần từ hoạy động kinh doanh ngoại hối và vàng,56486000000.0,59884000000.0,53515000000.0,21127000000.0,35466000000.0,33431000000.0,28270000000.0,49071000000.0,18521000000.0,20423000000.0
7,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,381998000000.0,897919000000.0,51866000000.0,242297000000.0,475344000000.0,174856000000.0,65920000000.0,-48045000000.0,92525000000.0,33977000000.0
9,Thu nhập từ hoạt động khác,55911000000.0,189616000000.0,110082000000.0,137465000000.0,40616000000.0,818907000000.0,252310000000.0,272699000000.0,156606000000.0,134038000000.0
10,Chi phí hoạt động khác,15893000000.0,-18147000000.0,-15289000000.0,-214341000000.0,-3532000000.0,-15478000000.0,-43071000000.0,-26644000000.0,-25889000000.0,-24533000000.0
11,Lãi/(lỗ) thuần từ hoạt động khác,71804000000.0,171469000000.0,94793000000.0,-76876000000.0,37084000000.0,803429000000.0,209239000000.0,246055000000.0,130717000000.0,109505000000.0
12,"Thu nhập từ góp vốn, mua cổ phần",570000000.0,0.0,2083000000.0,0.0,0.0,17259000000.0,10230000000.0,-8147000000.0,0.0,2143000000.0
13,Tổng thu nhập hoạt động,3161478000000.0,4629556000000.0,2554655000000.0,4987963000000.0,4660104000000.0,5980358000000.0,4693669000000.0,4655177000000.0,5317080000000.0,4705012000000.0
14,Chi phí hoạt động,-1157726000000.0,-1212003000000.0,-890605000000.0,-1251856000000.0,-911760000000.0,-1349761000000.0,-995024000000.0,-945575000000.0,-1179434000000.0,-1262779000000.0
15,LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng,2003752000000.0,3417553000000.0,1664050000000.0,3736107000000.0,3748344000000.0,4630597000000.0,3698645000000.0,3709602000000.0,4137646000000.0,3442233000000.0
16,Chi phí dự phòng rủi ro tín dụng,-1056622000000.0,-2612241000000.0,0.0,-2213951000000.0,-1879540000000.0,-3461374000000.0,-472143000000.0,-1159241000000.0,-879457000000.0,-2818636000000.0
17,Tổng lợi nhuận trước thuế,947130000000.0,805312000000.0,1664050000000.0,1522156000000.0,1868804000000.0,1169223000000.0,3226502000000.0,2550361000000.0,3258189000000.0,623597000000.0
18,Chi phí thuế TNDN hiện hành,-189793000000.0,-162889000000.0,-333955000000.0,-313311000000.0,-364816000000.0,-230518000000.0,-644821000000.0,-501205000000.0,-661928000000.0,-145050000000.0
19,Chi phí thuế TNDN hoãn lại,0.0,0.0,0.0,9336000000.0,-9336000000.0,0.0,0.0,5638000000.0,-5638000000.0,0.0
20,Chi phí thuế thu nhập doanh nghiệp,-189793000000.0,-162889000000.0,-333955000000.0,-303975000000.0,-374152000000.0,-230518000000.0,-644821000000.0,-495567000000.0,-667566000000.0,-145050000000.0
21,Lợi nhuận sau thuế,757337000000.0,642423000000.0,1330095000000.0,1218181000000.0,1494652000000.0,938705000000.0,2581681000000.0,2054794000000.0,2590623000000.0,478547000000.0
22,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Cổ đông của Công ty mẹ,757337000000.0,642423000000.0,1330095000000.0,1218181000000.0,1494652000000.0,938705000000.0,2581681000000.0,2054794000000.0,2590623000000.0,478547000000.0
24,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,1323.0,0.0,0.0,0.0,1738.0,0.0,0.0
