,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,5340416648.0,2269238250.0,94771750504.0,485247793136.0,1342239121178.0,1433857395931.0,4072584013242.0,3657496904795.0,3745725295961.0,5853603335974.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,-4232852016.0,-3939766.0,0.0,0.0
2,Doanh số thuần,5340416648.0,2269238250.0,94771750504.0,485247793136.0,1342239121178.0,1433857395931.0,4068351161226.0,3657492965029.0,3745725295961.0,5853603335974.0
3,Giá vốn hàng bán,-3100000000.0,0.0,-16779746156.0,-373154348393.0,-1233147540727.0,-1367344914513.0,-3996622304099.0,-3474418116669.0,-3679072159877.0,-5773938395519.0
4,Lãi gộp,2240416648.0,2269238250.0,77992004348.0,112093444743.0,109091580451.0,66512481418.0,71728857127.0,183074848360.0,66653136084.0,79664940455.0
5,Thu nhập tài chính,99143526733.0,172650013.0,254016776264.0,14033746695.0,29372041519.0,129077661096.0,222613292436.0,157863454541.0,196945750088.0,141317856781.0
6,Chi phí tài chính,-37062602011.0,-75935268574.0,-2185728145.0,-988446927.0,-14877499121.0,-101469844101.0,-172232636692.0,-195309301433.0,-121949483776.0,-164546063252.0
7,Trong đó: Chi phí lãi vay,-6538731765.0,-4908653574.0,-1723431459.0,-321873894.0,-860157735.0,-78787872139.0,-132349466034.0,-97349611700.0,-114059222821.0,-124992794270.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100271911.0,-15831314.0,-138401454.0
9,Chi phí bán hàng,-2179029377.0,-1523474389.0,-1926054850.0,-8145350321.0,-7737818948.0,-5295462162.0,-7181607673.0,-28424538322.0,-31783300623.0,-18465534333.0
10,Chi phí quản lý doanh  nghiệp,-52163311501.0,-2332158666.0,40320205.0,-10691078622.0,-29123982734.0,-31190894201.0,-40905582921.0,-37318596263.0,-51937074291.0,-23028801671.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,9979000492.0,-77349013366.0,327937317822.0,106302315568.0,86724321167.0,57633942050.0,74022322277.0,79785594972.0,57913196168.0,14803996526.0
12,Thu nhập khác,578636370.0,4000000.0,2166046162.0,53443269373.0,76844115340.0,486971345.0,31113611486.0,10709874096.0,919843711.0,5367056049.0
13,Chi phí khác,-710110171.0,-8782713.0,-1621401892.0,-12369626885.0,-6876771854.0,-2061472677.0,-1457676745.0,-2238015860.0,-327335560.0,-753759398.0
14,"Thu nhập khác, ròng",-131473801.0,-4782713.0,544644270.0,41073642488.0,69967343486.0,-1574501332.0,29655934741.0,8471858236.0,592508151.0,4613296651.0
16,Lãi/(lỗ) ròng trước thuế,9847526691.0,-77353796079.0,328481962092.0,147375958056.0,156691664653.0,56059440718.0,103678257018.0,88257453208.0,58505704319.0,19417293177.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,-20761781476.0,-30578435418.0,-16216455793.0,-28048539732.0,-45335733665.0,-23470155356.0,-4229038344.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,-52325788.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,-20761781476.0,-30578435418.0,-16268781581.0,-28048539732.0,-45335733665.0,-23470155356.0,-4229038344.0
20,Lãi/(lỗ) thuần sau thuế,9847526691.0,-77353796079.0,328481962092.0,126614176580.0,126113229235.0,39790659137.0,75629717286.0,42921719543.0,35035548963.0,15188254833.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,4419183498.0,11761569835.0,9777215517.0,5224028927.0,39447076875.0,661097047.0,299989095.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,9847526691.0,-77353796079.0,328481962092.0,122194993082.0,114351659400.0,30013443620.0,70405688359.0,3474642668.0,34374451916.0,14888265738.0
23,Lãi cơ bản trên cổ phiếu,303.44,-2383.54,9112.37,2079.42,1069.25,314.53,543.0,26.81,265.0,115.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,543.0,26.81,265.0,115.0
