,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,144610934087.0,255822139613.0,134575210912.0,264814309121.0,129585440975.0,181542202206.0,204972369691.0,227671777552.0,212002638901.0,262761131611.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,144610934087.0,255822139613.0,134575210912.0,264814309121.0,129585440975.0,181542202206.0,204972369691.0,227671777552.0,212002638901.0,262761131611.0
3,Giá vốn hàng bán,-93982026169.0,-195782776682.0,-71107066483.0,-199807652616.0,-74120496422.0,-129646601733.0,-136919478253.0,-164424255955.0,-151446741587.0,-214773017638.0
4,Lãi gộp,50628907918.0,60039362931.0,63468144429.0,65006656505.0,55464944553.0,51895600473.0,68052891438.0,63247521597.0,60555897314.0,47988113973.0
5,Thu nhập tài chính,10098862.0,45182777.0,40717860.0,13282130.0,15683538.0,66214897.0,65901338.0,7080204002.0,34312338.0,65491133.0
6,Chi phí tài chính,-28124457529.0,-28864151001.0,-24901943167.0,-24687919856.0,-23225013140.0,-23903350396.0,-22075479683.0,-24026015425.0,-21186984749.0,-22242044309.0
7,Trong đó: Chi phí lãi vay,-27161397118.0,-27808313852.0,-24209077549.0,-24865865987.0,-22330855556.0,-23221288283.0,-20860848696.0,-23015527255.0,-20488310014.0,-21267277274.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-13272393799.0,-17034806024.0,-14243193903.0,-38059612390.0,-13238163114.0,-17112198592.0,-14303861865.0,-32321844406.0,-13722889538.0,-22717152977.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,9242155452.0,14185588683.0,24363725219.0,2272406389.0,19017451837.0,10946266382.0,31739451228.0,13979865768.0,25680335365.0,3094407820.0
12,Thu nhập khác,0.0,-4392587891.0,12000000.0,4767961876.0,519719046.0,3044833459.0,256000001.0,28068363636.0,343980072.0,940313340.0
13,Chi phí khác,-40183757.0,-1491654238.0,-36354580.0,-983467124.0,-74105451.0,-1338052766.0,-41482722.0,-8179062816.0,130820424.0,-1536515629.0
14,"Thu nhập khác, ròng",-40183757.0,-5884242129.0,-24354580.0,3784494752.0,445613595.0,1706780693.0,214517279.0,19889300820.0,474800496.0,-596202289.0
16,Lãi/(lỗ) ròng trước thuế,9201971695.0,8301346554.0,24339370639.0,6056901141.0,19463065432.0,12653047075.0,31953968507.0,33869166588.0,26155135861.0,2498205531.0
17,Thuế thu nhập doanh nghiệp – hiện thời,25384977.0,-1110370249.0,-137131511.0,-134973574.0,-236156635.0,-2397759187.0,-369493101.0,-7760564514.0,-410186360.0,-1596854094.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-905904583.0,-738557431.0,-909115453.0,-909115452.0,-909115453.0,-909115453.0,-911041977.0,-1271041976.0,74767746.0,-911041977.0
19,Chi phí thuế thu nhập doanh nghiệp,-880519606.0,-1848927680.0,-1046246964.0,-1044089026.0,-1145272088.0,-3306874640.0,-1280535078.0,-9031606490.0,-335418614.0,-2507896071.0
20,Lãi/(lỗ) thuần sau thuế,8321452089.0,6452418874.0,23293123675.0,5012812115.0,18317793344.0,9346172435.0,30673433429.0,24837560098.0,25819717247.0,-9690540.0
21,Lợi ích của cổ đông thiểu số,3153232592.0,5909587392.0,1108912162.0,3231555088.0,3290872709.0,5803823710.0,3422955900.0,6606453670.0,4755169502.0,3906409672.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,5168219497.0,542831482.0,22184211513.0,1781257027.0,15026920635.0,3542348725.0,27250477529.0,18231106428.0,21064547745.0,-3916100212.0
23,Lãi cơ bản trên cổ phiếu,282.0,24.71,1012.0,79.0,688.0,162.0,1240.0,830.0,959.0,-179.0
24,Lãi trên cổ phiếu pha loãng,282.0,24.71,1012.0,0.0,688.0,162.0,1240.0,0.0,959.0,-179.0
