,Unnamed: 0,Q2 2020,Q3 2020,Q4 2020,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-118402377522.0,111633218392.0,187654072130.0,163269852127.0,66099183498.0,172202427134.0,-438455374722.0,321498770033.0,219392940880.0,321498770033.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-18304505088.0,-4301801098.0,-28113844.0,-369784983.0,-16638130237.0,16244410699.0,-19398950992.0,-200000000.0,-8336032959.0,-200000000.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-22460844897.0,-1801098.0,-28113844.0,-369784983.0,-19645756291.0,19252036753.0,-29100534915.0,0.0,-9088280710.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,1889890909.0,-1889890909.0,2584800000.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-4300000000.0,0.0,0.0,0.0,0.0,0.0,-200000000.0,200000000.0,-200000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,4156339809.0,0.0,0.0,0.0,1117735145.0,-1117735145.0,7116783923.0,0.0,552247751.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,87303226549.0,-94452742471.0,-201209172216.0,-121917523490.0,-89081470118.0,-181200005176.0,451448195261.0,-280872777569.0,-251474312412.0,-280872777569.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,348776423930.0,34000000000.0,30150000000.0,53200000000.0,128000099607.0,39279900393.0,591607687687.0,0.0,99154258323.0,0.0
33,Tiển trả các khoản đi vay,-261473197381.0,-128452742471.0,-165714134716.0,-175117523490.0,-138673591225.0,-223807388769.0,-136832009226.0,-237215487069.0,-296371056735.0,-237215487069.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-65645037500.0,0.0,-78407978500.0,3327483200.0,-3327483200.0,-43657290500.0,-54257514000.0,-43657290500.0
37,Lưu chuyển tiền thuần trong kỳ,-49403656061.0,12878674823.0,-13583213930.0,40982543654.0,-39620416857.0,7246832657.0,-6406130453.0,40425992464.0,-40417404491.0,40425992464.0
38,Tiền và tương đương tiền đầu kỳ,54078123830.0,4674467769.0,17553142592.0,4489086530.0,45471630184.0,5851213327.0,13098045984.0,6691915531.0,47117907995.0,6691915531.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,4674467769.0,17553142592.0,3969928662.0,45471630184.0,5851213327.0,13098045984.0,6691915531.0,47117907995.0,6700503504.0,47117907995.0
