,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,20951179760.0,17585834178.0,18469063612.0,24099876002.0,22438771264.0,57933476103.0,32917944218.0,34732252001.0,5882255942.0,33798131081.0
1,Các khoản giảm trừ,-946785000.0,0.0,-3793654.0,-8103136.0,-2995002.0,-5110713.0,-3440010.0,-9388856.0,-9834876.0,-4239240.0
2,Doanh số thuần,20004394760.0,17585834178.0,18465269958.0,24091772866.0,22435776262.0,57928365390.0,32914504208.0,34722863145.0,5872421066.0,33793891841.0
3,Giá vốn hàng bán,-11742661673.0,-10425655122.0,-13780140777.0,-10089397634.0,-6334693921.0,-24807329503.0,-14932464226.0,-18286740114.0,-3470723107.0,-28890651836.0
4,Lãi gộp,8261733087.0,7160179056.0,4685129181.0,14002375232.0,16101082341.0,33121035887.0,17982039982.0,16436123031.0,2401697959.0,4903240005.0
5,Thu nhập tài chính,208512834.0,828013694.0,7190646.0,805646.0,354060.0,838316.0,1370491.0,15657642.0,399088.0,120036.0
6,Chi phí tài chính,-1856238155.0,-2925127819.0,-2128669290.0,-21729410.0,-34354308.0,-21934008.0,0.0,-10843264.0,-6666667.0,-2592000.0
7,Trong đó: Chi phí lãi vay,-1899340960.0,-2690461439.0,-2128537290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-139584105.0,-357344009.0,-238840291.0,-300751726.0,-363724836.0,-363857858.0,-275080979.0,-380062950.0,-293292186.0,-451765242.0
10,Chi phí quản lý doanh  nghiệp,-990921732.0,-1156946563.0,-724795102.0,-954533252.0,-618599777.0,-913058543.0,-1159116327.0,-1658523417.0,-1287813650.0,-2127541906.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,5483501929.0,3548774359.0,1600015144.0,12726166490.0,15084757480.0,31823023794.0,16549213167.0,14402351042.0,814324544.0,2321460893.0
12,Thu nhập khác,0.0,2318504.0,0.0,0.0,0.0,349933600.0,227011.0,794.0,1528056279.0,0.0
13,Chi phí khác,-102076.0,-1815593.0,-690202.0,-2379019.0,-14558.0,-68770.0,-185619331.0,-6954615.0,-1187109915.0,-5344799.0
14,"Thu nhập khác, ròng",-102076.0,502911.0,-690202.0,-2379019.0,-14558.0,349864830.0,-185392320.0,-6953821.0,340946364.0,-5344799.0
16,Lãi/(lỗ) ròng trước thuế,5483399853.0,3549277270.0,1599324942.0,12723787471.0,15084742922.0,32172888624.0,16363820847.0,14395397221.0,1155270908.0,2316116094.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,-432536421.0,0.0,-60331194.0,-339912313.0,26213864.0,-62682446.0,-614295571.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,-432536421.0,0.0,-60331194.0,-339912313.0,26213864.0,-62682446.0,-614295571.0
20,Lãi/(lỗ) thuần sau thuế,5483399853.0,3549277270.0,1599324942.0,12291251050.0,15084742922.0,32112557430.0,16023908534.0,14421611085.0,1092588462.0,1701820523.0
21,Lợi ích của cổ đông thiểu số,156792061.0,126895412.0,88217526.0,-10360970.0,253227614.0,447858542.0,298325018.0,264571487.0,13194162.0,-14746504.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,5326607792.0,3422381858.0,1511107416.0,12301612020.0,14831515308.0,31664698888.0,15725583516.0,14157039598.0,1079394300.0,1716567027.0
23,Lãi cơ bản trên cổ phiếu,296.0,136.0,35.0,303.0,343.0,733.0,364.0,328.0,25.0,0.0
24,Lãi trên cổ phiếu pha loãng,296.0,136.0,35.0,-35.0,343.0,733.0,364.0,-364.0,25.0,0.0
