,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-34968264343.0,70464151130.0,-18413111860.0,71579595958.0,3480570896.0,-45748600679.0,-21585577843.0,18635333508.0,65999451025.0,47617965016.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,16265623694.0,42403421479.0,11651676915.0,15404874556.0,5883736591.0,18450361221.0,-9496443210.0,14720399820.0,5907889835.0,-105033169741.0
2,Lãi trước thuế,11026719304.0,24519767285.0,6656333266.0,3799043637.0,5514560765.0,20364348705.0,33776814179.0,6292719404.0,2238768513.0,-169201487687.0
3,Khấu hao TSCĐ,2702934129.0,4833532394.0,2976528948.0,4504879935.0,3571679737.0,5810983934.0,4231850626.0,4026574180.0,4674423193.0,3942282756.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,-723372637.0,8561601324.0,-416435167.0,5328103076.0,-3524771128.0,-10261647700.0,24547431474.0,59035958.0,-6998568494.0,61176663238.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-343693471.0,1361996092.0,-567128522.0,-464599679.0,-911906796.0,-1170225458.0,562174785.0,-536322448.0,255466383.0,-2541467791.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-7155640703.0,-8676372274.0,-4890429864.0,-9251755349.0,-6858434624.0,-5117897740.0,-81505915402.0,-5697002737.0,-3574074894.0,-4868250156.0
9,Chi phí lãi vay,10758677072.0,11802896658.0,7892808254.0,11489202936.0,8161802678.0,8755605439.0,8891201128.0,10575395463.0,9311875134.0,9492791304.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,-69194041.0,69194041.0,0.0,0.0,0.0,-3033701405.0
12,(Tăng)/giảm các khoản phải thu,61212139150.0,-190977044352.0,68215887098.0,57332370741.0,69900967662.0,-105666601026.0,31043476150.0,26806601410.0,38275072849.0,-99221725737.0
13,(Tăng)/giảm hàng tồn kho,-136304971572.0,176142189471.0,-45360915600.0,-31478788563.0,-50590745944.0,78595619928.0,-47826921516.0,1673492782.0,-15786354474.0,114302367722.0
14,Tăng/(giảm) các khoản phải trả,34187642100.0,55416239372.0,-19616162192.0,34583429282.0,-16054267091.0,-28955830888.0,25963887182.0,-11336701390.0,51004985182.0,148646537379.0
15,( Tăng)/giảm chi phí trả trước,-296596237.0,1090820140.0,-8174498221.0,7469764562.0,1208738147.0,755750010.0,-779453020.0,-1038358452.0,-1984963072.0,1596957745.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-9997083978.0,-12274120914.0,-8246403746.0,-11187693928.0,-7452378357.0,-8226568993.0,-9178831331.0,-10458758393.0,-8584482313.0,-10344352867.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-1070354066.0,-7957196251.0,-273555692.0,-270283148.0,-531856053.0,-3301282028.0,-1620342268.0,-1145346172.0,-2317849485.0
19,Tiền thu khác từ các hoạt động kinh doanh,12671087901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-12706105401.0,-267000000.0,-8925499863.0,-270805000.0,854803036.0,-169474878.0,-8010010070.0,-111000001.0,-1687350810.0,-10800000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,1102810233.0,-36204949920.0,4409631181.0,-8398616313.0,77854520436.0,-4632949242.0,59999587905.0,10628846358.0,179085441017.0,5751155197.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-3060624368.0,313011898.0,-2982291042.0,-9301149257.0,-1849390037.0,-5156367790.0,-1252368604.0,-1176388105.0,-859484491.0,2125822019.0
23,Tiền thu được từ thanh lý tài sản cố định,590909091.0,0.0,0.0,214090909.0,0.0,970450425.0,0.0,0.0,0.0,5050000.0
24,Tiền cho vay hoặc mua công cụ nợ,-6500000000.0,-48250000000.0,0.0,-10000000000.0,9640800000.0,-10785000000.0,-184593916709.0,-82632924480.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,-3500000000.0,7100000000.0,10000000000.0,51150000000.0,10000000000.0,0.0,90113916709.0,169479961675.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,1819641319.0,0.0,0.0,0.0,0.0,0.0,51392880000.0,1000000000.0,0.0,-1000000000.0
28,Cổ tức và tiền lãi nhận được,8252884191.0,15082038182.0,291922223.0,688442035.0,18913110473.0,337968123.0,194452993218.0,3324242234.0,10464963833.0,3620283178.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,17012059566.0,7785199959.0,-9347026104.0,-59652524423.0,-41581812090.0,27046269428.0,16425474899.0,-86586663474.0,-35241213188.0,-82438757619.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,16238260000.0,5272450000.0,4641590000.0,825000000.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,313214465110.0,502170848925.0,469051721725.0,358792270862.0,377916983651.0,305084207153.0,226641293253.0,209117890992.0,242886828376.0,166215484922.0
33,Tiển trả các khoản đi vay,-294306736544.0,-509591596216.0,-483671197829.0,-423032053035.0,-420323795741.0,-277565658725.0,-209068796104.0,-295704554466.0,-278496791564.0,-248285492541.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-1895669000.0,-1032312750.0,0.0,-54332250.0,0.0,-472279000.0,-1147022250.0,0.0,368750000.0,-368750000.0
37,Lưu chuyển tiền thuần trong kỳ,-16853394544.0,42044401169.0,-23350506783.0,3528455222.0,39753279242.0,-23335280493.0,54839484961.0,-57322483608.0,209843678854.0,-29069637406.0
38,Tiền và tương đương tiền đầu kỳ,37897134846.0,21045002959.0,63100216101.0,39749433912.0,43292134967.0,83040488894.0,60499313356.0,115357854232.0,58021844654.0,267878320053.0
39,Ảnh hưởng của chênh lệch tỷ giá,1262657.0,10900594.0,-275406.0,14245833.0,-4925315.0,8470032.0,19055915.0,-13525970.0,12796545.0,-15168437.0
40,Tiền và tương đương tiền cuối kỳ,21045002959.0,63100304722.0,39749433912.0,43292134967.0,83040488894.0,59713678433.0,115357854232.0,58021844654.0,267878320053.0,238793514210.0
