,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,814646346944.0,1142729686868.0,1331109296590.0,1595749955959.0,1680440750982.0,1896414881330.0,1618166789997.0,1145138077868.0,795018641517.0,340057525933.0
1,Các khoản giảm trừ,-348931000.0,-627162956.0,-3359849618.0,-7305526005.0,-8369894955.0,-3301219056.0,-538671117.0,-3590925485.0,-10371073723.0,0.0
2,Doanh số thuần,814297415944.0,1142102523912.0,1327749446972.0,1588444429954.0,1672070856027.0,1893113662274.0,1617628118880.0,1141547152383.0,784647567794.0,340057525933.0
3,Giá vốn hàng bán,-640402000807.0,-938964779114.0,-1125141653829.0,-1358337027493.0,-1465175255143.0,-1650458643961.0,-1414166080055.0,-957610948018.0,-633815380318.0,-92515899457.0
4,Lãi gộp,173895415137.0,203137744798.0,202607793143.0,230107402461.0,206895600884.0,242655018313.0,203462038825.0,183936204365.0,150832187476.0,247541626476.0
5,Thu nhập tài chính,5179521341.0,4190017208.0,7075270582.0,5695707365.0,3026390234.0,6113886276.0,4681053824.0,8418994768.0,5921312029.0,11224134958.0
6,Chi phí tài chính,-161436.0,-5841460.0,-39323.0,0.0,-1777595720.0,-1227214505.0,-2821502246.0,-2278020487.0,-1183072921.0,-168310957.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,-1777595720.0,-1220146859.0,-2821502246.0,-2278020487.0,-1075895724.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-67616469552.0,-79946103238.0,-77817249308.0,-101750154959.0,-129777118507.0,-127034731563.0,-118847252052.0,-109968792592.0,-88623590817.0,0.0
10,Chi phí quản lý doanh  nghiệp,-47718091565.0,-56624784983.0,-60103465803.0,-59755017505.0,-63998675253.0,-72507472942.0,-67761787155.0,-59660624522.0,-49664069285.0,-3404953578.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,63740213925.0,70751032325.0,71762309291.0,74297937362.0,14368601638.0,47999485579.0,18712551196.0,20447761532.0,17282766482.0,255192496899.0
12,Thu nhập khác,9296946890.0,11711382996.0,7529342834.0,7202419611.0,22202624730.0,8101007060.0,10972062130.0,4633481738.0,2151593987.0,0.0
13,Chi phí khác,-3847242776.0,-5318827944.0,-750903394.0,-332500607.0,-86539543.0,-65232687.0,-60010206.0,-4621789874.0,-117129520.0,-77060892.0
14,"Thu nhập khác, ròng",5449704114.0,6392555052.0,6778439440.0,6869919004.0,22116085187.0,8035774373.0,10912051924.0,11691864.0,2034464467.0,-77060892.0
16,Lãi/(lỗ) ròng trước thuế,69189918039.0,77143587377.0,78540748731.0,81167856366.0,36484686825.0,56035259952.0,29624603120.0,20459453396.0,19317230949.0,255115436007.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-17585694757.0,-16755053476.0,-16460226904.0,-16321358529.0,-7473765200.0,-11530710246.0,-5581139207.0,-4345300036.0,-4322972376.0,-51094433234.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,-174837758.0,-125338896.0,-306367583.0,-217263762.0,799917125.0,23890874.0,-506558608.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-17585694757.0,-16755053476.0,-16635064662.0,-16446697425.0,-7780132783.0,-11747974008.0,-4781222082.0,-4321409162.0,-4829530984.0,-51094433234.0
20,Lãi/(lỗ) thuần sau thuế,51604223282.0,60388533901.0,61905684069.0,64721158941.0,28704554042.0,44287285944.0,24843381038.0,16138044234.0,14487699965.0,204021002773.0
21,Lợi ích của cổ đông thiểu số,2099666094.0,5399976070.0,11576223258.0,12669609047.0,3814520311.0,12347523811.0,4305226071.0,688307190.0,-833356037.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,49504557188.0,54988557831.0,50329460811.0,52051549894.0,24890033731.0,31939762133.0,20538154967.0,15449737044.0,15321056002.0,204021002773.0
23,Lãi cơ bản trên cổ phiếu,3963.0,4002.0,3052.0,2638.0,968.0,1242.0,799.0,601.0,596.0,7932.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,799.0,601.0,596.0,7932.0
