,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Thu nhập lãi và các khoản thu nhập tương tự,8611597000000.0,8120099000000.0,7654848000000.0,7697174000000.0,7740806000000.0,6597908000000.0,7495246000000.0,7225005000000.0,10633692000000.0,12036905000000.0
1,Chi phí lãi và các chi phí tương tự,-5575739000000.0,-5106479000000.0,-4646484000000.0,-4548965000000.0,-4427778000000.0,-4103022000000.0,-4755787000000.0,-4622706000000.0,-4871714000000.0,-5993507000000.0
2,Thu nhập lãi thuần,3035858000000.0,3013620000000.0,3008364000000.0,3148209000000.0,3313028000000.0,2494886000000.0,2739459000000.0,2602299000000.0,5761978000000.0,6043398000000.0
3,Thu nhập từ hoạt động dịch vụ,1712219000000.0,1546863000000.0,1335613000000.0,1478293000000.0,1062325000000.0,2554417000000.0,2110416000000.0,2399372000000.0,1869613000000.0,1950534000000.0
4,chi phí hoạt động dịch vụ,-463336000000.0,-470531000000.0,-498204000000.0,-541975000000.0,-472492000000.0,-575458000000.0,-574799000000.0,-658794000000.0,-838154000000.0,-1064108000000.0
5,Lãi thuần từ hoạt động dịch vụ,1248883000000.0,1076332000000.0,837409000000.0,936318000000.0,589833000000.0,1978959000000.0,1535617000000.0,1740578000000.0,1031459000000.0,886426000000.0
6,Lãi/(lỗ) thuần từ hoạy động kinh doanh ngoại hối và vàng,159386000000.0,252048000000.0,207102000000.0,167745000000.0,150086000000.0,212160000000.0,297932000000.0,241574000000.0,219545000000.0,303193000000.0
7,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,5986000000.0,120579000000.0,34354000000.0,17168000000.0,68621000000.0,43521000000.0,-2492000000.0,4304000000.0,-2221000000.0,-19574000000.0
9,Thu nhập từ hoạt động khác,366072000000.0,601190000000.0,84326000000.0,499444000000.0,148566000000.0,132862000000.0,563972000000.0,1559504000000.0,66966000000.0,683761000000.0
10,Chi phí hoạt động khác,-7872000000.0,-16968000000.0,-26309000000.0,-24362000000.0,-109440000000.0,-247981000000.0,-18393000000.0,-19814000000.0,-26071000000.0,-64576000000.0
11,Lãi/(lỗ) thuần từ hoạt động khác,358200000000.0,584222000000.0,58017000000.0,475082000000.0,39126000000.0,-115119000000.0,545579000000.0,1539690000000.0,40895000000.0,619185000000.0
12,"Thu nhập từ góp vốn, mua cổ phần",1734000000.0,-30353000000.0,93000000.0,1591000000.0,37766000000.0,-2000000.0,9166000000.0,745000000.0,2549000000.0,6000000.0
13,Tổng thu nhập hoạt động,4810047000000.0,5016448000000.0,4145339000000.0,4746113000000.0,4198460000000.0,4614405000000.0,5125261000000.0,6129190000000.0,7054205000000.0,7832634000000.0
14,Chi phí hoạt động,-2625228000000.0,-3939271000000.0,-2669373000000.0,-2336056000000.0,-2423811000000.0,-2399883000000.0,-2831806000000.0,-2389672000000.0,-3097107000000.0,-2645824000000.0
15,LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng,2184819000000.0,1077177000000.0,1475966000000.0,2410057000000.0,1774649000000.0,2214522000000.0,2293455000000.0,3739518000000.0,3957098000000.0,5186810000000.0
16,Chi phí dự phòng rủi ro tín dụng,-1287560000000.0,-63590000000.0,-475722000000.0,-985809000000.0,-949878000000.0,-1063759000000.0,-704509000000.0,-2420457000000.0,-2425071000000.0,-3287772000000.0
17,Tổng lợi nhuận trước thuế,897259000000.0,1013587000000.0,1000244000000.0,1424248000000.0,824771000000.0,1150763000000.0,1588946000000.0,1319061000000.0,1532027000000.0,1899038000000.0
18,Chi phí thuế TNDN hiện hành,-180999000000.0,-458238000000.0,-199182000000.0,-311409000000.0,-185043000000.0,-245392000000.0,-314870000000.0,-515172000000.0,-320420000000.0,-18105000000.0
19,Chi phí thuế TNDN hoãn lại,0.0,281261000000.0,0.0,0.0,0.0,-47504000000.0,0.0,0.0,0.0,-129810000000.0
20,Chi phí thuế thu nhập doanh nghiệp,-180999000000.0,-176977000000.0,-199182000000.0,-311409000000.0,-185043000000.0,-292896000000.0,-314870000000.0,-515172000000.0,-320420000000.0,-147915000000.0
21,Lợi nhuận sau thuế,716260000000.0,836610000000.0,801062000000.0,1112839000000.0,639728000000.0,857867000000.0,1274076000000.0,803889000000.0,1211607000000.0,1751123000000.0
22,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Cổ đông của Công ty mẹ,716260000000.0,836610000000.0,801062000000.0,1112839000000.0,639728000000.0,857867000000.0,1274076000000.0,803889000000.0,1211607000000.0,1751123000000.0
24,Lãi cơ bản trên cổ phiếu,692.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,0.0
