,Unnamed: 0,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,24504145625.0,23389277334.0,44577996133.0,72304794349.0,118141862519.0,86949847594.0,6456749782.0,62848679982.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,61242438966.0,57828999130.0,50810887723.0,54766534823.0,56290233418.0,69618532061.0,56117593336.0,75316723540.0
2,Lãi trước thuế,30697301238.0,40950240472.0,33274824321.0,35301788740.0,39799937744.0,44733318790.0,37515442045.0,35171590094.0
3,Khấu hao TSCĐ,31913226908.0,19412970433.0,21438191383.0,23254410693.0,24827834847.0,31884856458.0,24006985644.0,40466102083.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,389937500.0,-243347260.0,47251480.0,66031717.0,303833026.0,1273826081.0,1090988183.0,650049586.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-1758026680.0,-2290864515.0,-3949379461.0,-3910757810.0,-8641372199.0,-8351662268.0,-6495822536.0,-4523139696.0
9,Chi phí lãi vay,0.0,0.0,0.0,55061483.0,0.0,0.0,0.0,3552121473.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,53065797122.0,-55735095957.0,-8812163080.0,17340355956.0,76876814270.0,16350407945.0,-16411395595.0,-23970774662.0
13,(Tăng)/giảm hàng tồn kho,-3511690601.0,3915307790.0,1424245622.0,-679451954.0,-2750951972.0,-2525832625.0,-14185508515.0,17271491921.0
14,Tăng/(giảm) các khoản phải trả,2180835036.0,21038444728.0,-205967273.0,4221910004.0,15749074758.0,26188419265.0,-10473459622.0,1398144197.0
15,( Tăng)/giảm chi phí trả trước,-296136364.0,7721773102.0,7654455424.0,5397877475.0,-16541814053.0,-6881181608.0,1321589609.0,5350205532.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,-55061483.0,0.0,-78193000.0,0.0,-3568017000.0
18,Thuế thu nhập doanh nghiệp đã trả,-11047917469.0,-6307900021.0,-4247939716.0,-7193899588.0,-7801597070.0,-10383474838.0,-7982909548.0,-7302074027.0
19,Tiền thu khác từ các hoạt động kinh doanh,3514420454.0,3966904600.0,50350000.0,45680000.0,45470000.0,42334000.0,225395436.0,81540000.0
20,Tiền chi khác từ các hoạt động kinh doanh,-80643601519.0,-9039156038.0,-2095872567.0,-1539150884.0,-3725366832.0,-5381163606.0,-2154555319.0,-1728559519.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-23569476599.0,-28203238954.0,-45364863611.0,-32290451919.0,-110435173985.0,-47176774839.0,-141056236643.0,-15399685453.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-27164854398.0,-30580617347.0,-37664622441.0,-28530174608.0,-16594267452.0,-73761639812.0,-170788670685.0,-42312695835.0
23,Tiền thu được từ thanh lý tài sản cố định,54545455.0,144500000.0,199900000.0,87272727.0,0.0,0.0,728181817.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,-9300000000.0,-5100000000.0,-152800000000.0,-208750000000.0,-21900000000.0,-54000000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,54100000000.0,223970031049.0,47000000000.0,76313876167.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,3540832344.0,2232878393.0,1399858830.0,1252449962.0,4859093467.0,11364833924.0,3904252225.0,4599134215.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,35007372873.0,0.0,-24000000000.0,-21000000000.0,-21000000000.0,-864000000.0,80185000000.0,-35113000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,35007372873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,23136000000.0,120321000000.0,14675000000.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,-24000000000.0,-16136000000.0,-25788000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-24000000000.0,-21000000000.0,-21000000000.0,0.0,-24000000000.0,-24000000000.0
37,Lưu chuyển tiền thuần trong kỳ,35942041899.0,-4813961620.0,-24786867478.0,19014342430.0,-13293311466.0,38909072755.0,-54414486861.0,12335994529.0
38,Tiền và tương đương tiền đầu kỳ,41934831979.0,77876873878.0,73062912258.0,48276044780.0,67290387210.0,53997075744.0,92906148499.0,38491661638.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,77876873878.0,73062912258.0,48276044780.0,67290387210.0,53997075744.0,92906148499.0,38491661638.0,50827656167.0
