,Unnamed: 0,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,13904836296.0,-19287705291.0,-8944362023.0,19732356624.0,46389711353.0,-53194678384.0,-4715609262.0,49666109740.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,9159452965.0,10658137635.0,8977822282.0,7114594233.0,2497336738.0,5712660412.0
2,Lãi trước thuế,0.0,0.0,5957576453.0,6911074495.0,5614543915.0,4183180231.0,1028727280.0,1532510635.0
3,Khấu hao TSCĐ,0.0,0.0,1504875455.0,1556610952.0,1199719850.0,1126395206.0,1132003711.0,979393711.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,-491474831.0,-150479060.0,-348056532.0,-943076361.0,-537715380.0,-130208652.0
9,Chi phí lãi vay,0.0,0.0,2188475888.0,2340931248.0,2511615049.0,2748095157.0,874321127.0,3330964718.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,36818678828.0,23229263907.0,-132173097902.0,127808969481.0,-17401744071.0,21050932875.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,-14202370295.0,-71223312582.0,130455503724.0,-23366104741.0,-36041338863.0,36852020789.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,-34991175881.0,61620978179.0,43968740699.0,-160760548280.0,46890979793.0,-9823961137.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,396641497.0,-65052444.0,434106427.0,668348154.0,524603600.0,-232375416.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,-2188475888.0,-2340931248.0,-2511615049.0,-2748095157.0,-874321127.0,-3330964718.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,-3209449733.0,-257400709.0,-1463797505.0,-968932074.0,-218998332.0,-455703065.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,-727663516.0,-1889326114.0,-1297951323.0,-942910000.0,-92127000.0,-106500000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,100970589.0,1047245653.0,491474831.0,-179520940.0,348056532.0,973294854.0,-451064620.0,130208652.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,-299781507.0,-988780000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,463218850.0,0.0,-2863636.0,0.0,283318182.0,290909091.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,-330000000.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,330000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,100970589.0,584026803.0,491474831.0,153342696.0,348056532.0,659758179.0,246806289.0,130208652.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,12410162432.0,1518926945.0,-1536358923.0,-10861433668.0,-4880288515.0,6689229739.0,2280859963.0,8692044518.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,4526200000.0,3339709320.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,111227927354.0,113205438111.0,114320177848.0,51596881979.0,57664323276.0,76637208498.0,79804136753.0,72106554324.0
33,Tiển trả các khoản đi vay,-103186326671.0,-114022988474.0,-111861024673.0,-60213633090.0,-59281030103.0,-67265267645.0,-76912268208.0,-62297747698.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-157638251.0,-1003232012.0,-3995512098.0,-2244682557.0,-3263581688.0,-2682711114.0,-611008582.0,-1116762108.0
37,Lưu chuyển tiền thuần trong kỳ,26415969317.0,-16721532693.0,-9989246115.0,8691402016.0,41857479370.0,-45532153791.0,-2885813919.0,58488362910.0
38,Tiền và tương đương tiền đầu kỳ,9792510504.0,36208479821.0,19486947128.0,9497701013.0,18189103029.0,60046582399.0,14514428608.0,11628614689.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,36208479821.0,19486947128.0,9497701013.0,18189103029.0,60046582399.0,14514428608.0,11628614689.0,70116977599.0
