,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1625674236222.0,1599629398384.0,1607865675465.0,1638239561195.0,1575340759782.0,1573745182377.0,1591789142938.0,1664151846233.0,1644850730786.0,1594503669161.0
1,TÀI SẢN NGẮN HẠN,297390260524.0,290057155111.0,314930980427.0,347433939489.0,291706382452.0,310282150991.0,352843707062.0,449535107743.0,429430678767.0,370359062235.0
2,Tiền và tương đương tiền,54766662415.0,110345444910.0,39168373147.0,33548693491.0,77079365116.0,94607135889.0,83878176908.0,93974962481.0,107496640390.0,109112407311.0
3,Tiền,28766662415.0,31845444910.0,17168373147.0,19248693491.0,18814365116.0,24265135889.0,38019513894.0,21434962481.0,23996640390.0,79112407311.0
4,Các khoản tương đương tiền,26000000000.0,78500000000.0,22000000000.0,14300000000.0,58265000000.0,70342000000.0,45858663014.0,72540000000.0,83500000000.0,30000000000.0
5,Giá trị thuần đầu tư ngắn hạn,30630000000.0,15965000000.0,74394000000.0,146754000000.0,93043720822.0,102122413699.0,115148692877.0,169628692877.0,94700000000.0,95500000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,30630000000.0,15965000000.0,74394000000.0,146754000000.0,93043720822.0,102122413699.0,115148692877.0,169628692877.0,94700000000.0,95500000000.0
9,Các khoản phải thu,160537222760.0,116802763142.0,158051052910.0,128568441607.0,87011732142.0,86910666338.0,131063965886.0,169636205401.0,214268290160.0,157022463066.0
10,Phải thu khách hàng,129251268715.0,70123558601.0,129172173573.0,103804949703.0,80815389325.0,82442235191.0,125308762062.0,141512138747.0,192422591119.0,136826747355.0
