,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,717386706071.0,844512896908.0,749838532092.0,821172823793.0,832761179362.0,887412561078.0,951561091369.0,1089791663153.0,1185725670210.0,1335389528073.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,717386706071.0,844512896908.0,749838532092.0,821172823793.0,832761179362.0,887412561078.0,951561091369.0,1089791663153.0,1185725670210.0,1335389528073.0
3,Giá vốn hàng bán,-580377224137.0,-666486388543.0,-589691123229.0,-675945474357.0,-677842240401.0,-735638067319.0,-796991485184.0,-912711696736.0,-982133344119.0,-1104976129139.0
4,Lãi gộp,137009481934.0,178026508365.0,160147408863.0,145227349436.0,154918938961.0,151774493759.0,154569606185.0,177079966417.0,203592326091.0,230413398934.0
5,Thu nhập tài chính,23523501524.0,14566671390.0,12454835729.0,22599761447.0,20639368690.0,26071607293.0,17250134054.0,16551106537.0,10033965647.0,8266400145.0
6,Chi phí tài chính,-15591024699.0,-10761366938.0,-13239239440.0,-7736668094.0,-4217106741.0,-2139608170.0,-2461180300.0,-2167370141.0,-1532425931.0,-1236186788.0
7,Trong đó: Chi phí lãi vay,-12867151706.0,-10114117891.0,-9746523812.0,-7439487374.0,-4217105107.0,-2139608170.0,-2461174746.0,-2167362300.0,-1532404369.0,-1236186788.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,11537509720.0,2492582718.0,15458005164.0,13159050492.0
9,Chi phí bán hàng,-4435566028.0,-5806984101.0,-9533838675.0,-6218210372.0,-10621042982.0,-9594336006.0,-9574042195.0,-10892035973.0,-25203609627.0,-33119763998.0
10,Chi phí quản lý doanh  nghiệp,-33255662581.0,-43070331265.0,-38133421165.0,-40608837815.0,-43870734958.0,-45957364803.0,-50524831731.0,-61052889099.0,-61761400289.0,-67755726598.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,107250730150.0,132954497451.0,111695745312.0,113263394602.0,116849422970.0,120154792073.0,120797195733.0,122011360459.0,140586861055.0,149727172187.0
12,Thu nhập khác,31555117385.0,1953059121.0,2222718879.0,251467899.0,626972831.0,3583513053.0,928728620.0,719680586.0,22835007.0,14627472.0
13,Chi phí khác,-28233161270.0,-2112796397.0,-364758950.0,-103949595.0,-24664373.0,-2864035521.0,-121936526.0,-411880569.0,-221175321.0,-51262175.0
14,"Thu nhập khác, ròng",3321956115.0,-159737276.0,1857959929.0,147518304.0,602308458.0,719477532.0,806792094.0,307800017.0,-198340314.0,-36634703.0
16,Lãi/(lỗ) ròng trước thuế,113906909339.0,138523203567.0,113553705241.0,113410912906.0,117451731428.0,120874269605.0,121603987827.0,122319160476.0,140388520741.0,149690537484.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-26171903427.0,-27661505320.0,-23294518421.0,-19089202354.0,-20839134979.0,-21386930523.0,-21707340386.0,-21840511395.0,-26918009388.0,-27633217864.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-26171903427.0,-27661505320.0,-23294518421.0,-19089202354.0,-20839134979.0,-21386930523.0,-21707340386.0,-21840511395.0,-26918009388.0,-27633217864.0
20,Lãi/(lỗ) thuần sau thuế,87735005912.0,110861698247.0,90259186820.0,94321710552.0,96612596449.0,99487339082.0,99896647441.0,100478649081.0,113470511353.0,122057319620.0
21,Lợi ích của cổ đông thiểu số,2544507682.0,2696343188.0,0.0,0.0,0.0,0.0,0.0,1029515095.0,14048608.0,288245821.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,85190498230.0,108165355059.0,90259186820.0,94321710552.0,96612596449.0,99487339082.0,99896647441.0,99449133986.0,113456462745.0,121769073799.0
23,Lãi cơ bản trên cổ phiếu,4068.0,4672.0,3860.0,4033.0,4126.0,3911.0,2731.0,2684.0,3094.0,3304.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,4033.0,4126.0,0.0,2731.0,2684.0,3094.0,3304.0
