,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,43863147124.0,69412392971.0,129501351410.0,191167703482.0,-12758020209.0,-143993939278.0,157220444294.0,35441964263.0,26230647953.0,51795015741.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,97443221000.0,161320982615.0,192587269435.0,161835875849.0,42976699712.0,-3101138569.0,91362216542.0,47053725214.0,58639578446.0,44257250581.0
2,Lãi trước thuế,-57922010665.0,1923273735.0,42022499978.0,36456325307.0,-71767179333.0,-116838315404.0,8165044774.0,-30719235649.0,10547201488.0,3585979134.0
3,Khấu hao TSCĐ,121526301443.0,126463038851.0,118149306233.0,101378589090.0,90680528206.0,86995486294.0,59162552083.0,59657720921.0,40238401014.0,30155081412.0
5,Chi phí dự phòng,2572084743.0,-751344143.0,2124008859.0,-40543248.0,3279406120.0,-691549513.0,696762451.0,-2378082564.0,-4409989695.0,892053544.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,1249074213.0,2482134179.0,430966667.0,2115605431.0,77936801.0,441659022.0,-89298843.0,291000351.0,86636004.0,-1414252680.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2043528845.0,-1136309768.0,-572030186.0,-807636622.0,-670168973.0,-997028202.0,-4437893970.0,-1046632102.0,-400047750.0,-662430873.0
9,Chi phí lãi vay,32061300111.0,32340189761.0,30432517884.0,22733535891.0,21376176891.0,27988609234.0,27865050047.0,21248954257.0,12577377385.0,11700820044.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-34130019206.0,-40735531855.0,54925194532.0,52192649937.0,-18246976972.0,-20462162291.0,70908681789.0,-38709211648.0,-12703257249.0,15293581748.0
13,(Tăng)/giảm hàng tồn kho,-30665522452.0,3944251133.0,-56186936293.0,47947253709.0,-8593395604.0,-74729367131.0,114856548180.0,54420520365.0,-69790833227.0,22136112757.0
14,Tăng/(giảm) các khoản phải trả,64206800486.0,12657831544.0,-51398574365.0,-51345428089.0,-7742452137.0,-7399781771.0,-98365867806.0,-7388164111.0,86310307942.0,-29272376626.0
15,( Tăng)/giảm chi phí trả trước,-20418477831.0,-12913919085.0,10173072032.0,7217926088.0,9105304926.0,-1775037661.0,10526000435.0,1664665450.0,-23443463269.0,13188396544.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-31023979890.0,-31292982012.0,-30828428780.0,-23163704002.0,-21241354689.0,-27580016221.0,-28283471821.0,-21243973914.0,-12781684690.0,-11565323172.0
18,Thuế thu nhập doanh nghiệp đã trả,-2331730263.0,-220303171.0,-27621401.0,-5017728074.0,-853437561.0,-793595885.0,0.0,-355597093.0,0.0,0.0
