,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,628708802.0,90533526647.0,3974018262.0,45999164715.0,-390322385.0,-16355429393.0,-55668849976.0,179116619586.0,-327352313219.0,152641352394.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,64520030248.0,54826225650.0,69271058537.0,66846008896.0,51064767875.0,64063223413.0,79231464913.0,86151801338.0,76280232348.0,23078547376.0
2,Lãi trước thuế,32307781708.0,27210455316.0,37736745985.0,35546144297.0,15655283278.0,20947148318.0,33420203187.0,40760671144.0,34816907678.0,13734772594.0
3,Khấu hao TSCĐ,11334620499.0,12428543030.0,12976942499.0,13137037498.0,11839564263.0,14543117215.0,14927465042.0,15521120102.0,16053479870.0,16143411697.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267840025.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,103950187.0,60761744.0,0.0,3410498.0,-460414770.0,-217361454.0,538007297.0,1031645060.0,-1222454754.0,-822094731.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-1706689142.0,-3917093112.0,-4582556732.0,-4795190635.0,-5744310805.0,-5016380335.0,-5039272438.0,-9052664187.0,-15755389476.0,-46252429489.0
9,Chi phí lãi vay,22480366996.0,19043558672.0,23139926785.0,22954607238.0,29774645909.0,33806699669.0,35385061825.0,37891029219.0,41758509462.0,46264066873.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629179568.0,-7257019593.0
12,(Tăng)/giảm các khoản phải thu,-92388827082.0,70457968094.0,-133282797833.0,13972448211.0,52984546462.0,-104392198687.0,-196140420976.0,108506472462.0,-56118499703.0,58473855883.0
13,(Tăng)/giảm hàng tồn kho,-49904975577.0,16614606261.0,-75798756110.0,95396938969.0,-1795076242.0,-12553092461.0,23905033203.0,33948215672.0,-178714677128.0,68087916364.0
