,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,76677409892.0,39275046117.0,8830697802.0,6423080510.0,14964160712.0,-91636465523.0,-27245110520.0,134391334590.0,-38932879030.0,16994226022.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,3854337010.0,2507158599.0,5910713858.0,8815923752.0,5041518276.0,13757934895.0,14107981275.0,9249545197.0,50880666093.0,5283997244.0
2,Lãi trước thuế,420688208.0,752981444.0,3948740787.0,12099582797.0,8733180668.0,36267749764.0,9826713398.0,5652020274.0,45710303962.0,633558093.0
3,Khấu hao TSCĐ,2196847623.0,3372559479.0,3043887944.0,2703683638.0,3018552701.0,2811829836.0,2820079051.0,2849094522.0,2880519136.0,2807294550.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,58860993.0,0.0,0.0,0.0,0.0,0.0,821903.0,-821903.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512160000.0,-512160000.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,565461776.0,-2725778388.0,-1852469597.0,-6402713012.0,-6912936672.0,-27477091470.0,0.0,-1282155478.0,1282155478.0,0.0
9,Chi phí lãi vay,671339403.0,1048535071.0,770554724.0,415370329.0,202722579.0,2155446765.0,1461188826.0,1517603976.0,1520669420.0,1843144601.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,173053547359.0,96263561463.0,-8399392412.0,-38919049407.0,16171516065.0,-223474995695.0,-29424856688.0,137852589312.0,-47575811610.0,-3655217098.0
13,(Tăng)/giảm hàng tồn kho,1107155952.0,-2450096374.0,-4560733358.0,3578321172.0,-3946974888.0,16869364358.0,-74342242.0,-6248494766.0,5660512985.0,9545996816.0
14,Tăng/(giảm) các khoản phải trả,-101145861222.0,-54290581789.0,18294245594.0,33364821436.0,-788977232.0,101781827870.0,-4830314470.0,-4484578365.0,-47230066024.0,11214322954.0
15,( Tăng)/giảm chi phí trả trước,457035798.0,28665006.0,271133956.0,104042227.0,-189772625.0,-1664620732.0,558214456.0,-67910706.0,276210566.0,53338896.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-156305878.0,-845380749.0,-2685269836.0,669968220.0,-1229472291.0,1365701475.0,-381792851.0,-801461351.0,899347901.0,-1450646414.0
18,Thuế thu nhập doanh nghiệp đã trả,-492499127.0,-1938280039.0,0.0,-1190946890.0,-93676593.0,-271677694.0,-7200000000.0,-1108354731.0,-1843738941.0,-3997566376.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-85275631223.0,-41504663672.0,1771777000.0,8434750628.0,-14228650055.0,-303857254646.0,-2350930112.0,-135379473114.0,18381277572.0,-27636711440.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-3625475767.0,1169257865.0,-145857285.0,-87637261.0,-145857285.0,1871112319.0,-1687878742.0,-13906397771.0,-13439084756.0,-8729220911.0
23,Tiền thu được từ thanh lý tài sản cố định,-190909091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-792397260.0,846000000.0,0.0,-3193267740.0,-51078815000.0,69448480000.0,50000000000.0,-180000000000.0,8000000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,2000000000.0,0.0,2484232260.0,-2484232260.0,0.0,-50000000000.0,-50000000000.0,58000000000.0,-8000000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-184957168411.0,-1220409090.0,0.0,0.0,0.0,-104227273.0,0.0,0.0,0.0,0.0
