,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,52418146077.0,42715850928.0,41291129142.0,40099933536.0,36410386035.0,38857719467.0,24854514818.0,22682602637.0,22593129147.0,22997604620.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,52418146077.0,42715850928.0,41291129142.0,40099933536.0,36410386035.0,38857719467.0,24854514818.0,22682602637.0,22593129147.0,22997604620.0
3,Giá vốn hàng bán,-29565282863.0,-14711758384.0,-23901641090.0,-19966732508.0,-14483271395.0,-14549288956.0,-12386966257.0,-10012923013.0,-6981459694.0,-8401836538.0
4,Lãi gộp,22852863214.0,28004092544.0,17389488052.0,20133201028.0,21927114640.0,24308430511.0,12467548561.0,12669679624.0,15611669453.0,14595768082.0
5,Thu nhập tài chính,1400584917.0,7675516811.0,425692844.0,239253301.0,1099016106.0,1516784105.0,1564595227.0,4167880227.0,3075061593.0,3825097974.0
6,Chi phí tài chính,0.0,0.0,0.0,-1954713337.0,353241901.0,0.0,-125184.0,-84904.0,-508629.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,-381307198.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-2117694900.0,-949551461.0,-1070703089.0,-536432530.0,-335970405.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-9239360160.0,-15523587412.0,-12551559746.0,-13618877778.0,-4054778760.0,-3619028856.0,-5492826343.0,-6571430974.0,-5229339798.0,-5674222569.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,12896393071.0,19206470482.0,4192918061.0,4262430684.0,18988623482.0,22206185760.0,8539192261.0,10266043973.0,13456882619.0,12746643487.0
12,Thu nhập khác,4724336715.0,7980115625.0,17920832634.0,5364562178.0,10212597883.0,3558292079.0,1954458893.0,1475996393.0,1551824363.0,1412742722.0
13,Chi phí khác,-13762326703.0,-4851499524.0,-4451446735.0,-4559810105.0,-3289033025.0,-2266913213.0,-1768856696.0,-1708058989.0,-1647499413.0,-1662660627.0
14,"Thu nhập khác, ròng",-9037989988.0,3128616101.0,13469385899.0,804752073.0,6923564858.0,1291378866.0,185602197.0,-232062596.0,-95675050.0,-249917905.0
16,Lãi/(lỗ) ròng trước thuế,3858403083.0,22335086583.0,17662303960.0,5067182757.0,25912188340.0,23497564626.0,8724794458.0,10033981377.0,13361207569.0,12496725582.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1140038577.0,-4990888198.0,-3975420662.0,-1446982191.0,-5393816376.0,-4792333492.0,-2051855355.0,-1567130584.0,-2021368479.0,-2719347797.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1140038577.0,-4990888198.0,-3975420662.0,-1446982191.0,-5393816376.0,-4792333492.0,-2051855355.0,-1567130584.0,-2021368479.0,-2719347797.0
20,Lãi/(lỗ) thuần sau thuế,2718364506.0,17344198385.0,13686883298.0,3620200566.0,20518371964.0,18705231134.0,6672939103.0,8466850793.0,11339839090.0,9777377785.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2718364506.0,17344198385.0,13686883298.0,3620200566.0,20518371964.0,18705231134.0,6672939103.0,8466850793.0,11339839090.0,9777377785.0
23,Lãi cơ bản trên cổ phiếu,477.0,3041.0,2400.0,571.0,3598.0,3280.0,1170.0,1485.0,1988.0,1714.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
