,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,1786580508970.0,1490201156080.0,1055450717928.0,307487110419.0,154315129874.0,78735006039.0,95644999999.0,112683993057.0,208482598122.0,276727229178.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-417384691.0,-793106972.0,-554944982.0,0.0,0.0,0.0
2,Doanh số thuần,1786580508970.0,1490201156080.0,1055450717928.0,307487110419.0,153897745183.0,77941899067.0,95090055017.0,112683993057.0,208482598122.0,276727229178.0
3,Giá vốn hàng bán,-1719605429301.0,-1432725815588.0,-1014912982033.0,-287838406080.0,-130183096083.0,-62819605067.0,-77048442747.0,-91150902998.0,-188231556121.0,-249430596701.0
4,Lãi gộp,66975079669.0,57475340492.0,40537735895.0,19648704339.0,23714649100.0,15122294000.0,18041612270.0,21533090059.0,20251042001.0,27296632477.0
5,Thu nhập tài chính,45428267720.0,33510185662.0,46330361686.0,69401213343.0,52615829250.0,70160984373.0,10632999332.0,7485946614.0,68199812426.0,90559701563.0
6,Chi phí tài chính,-60877284839.0,-52721701551.0,-110528461982.0,-128151268444.0,-32390449307.0,-86957555486.0,-38775768750.0,-53075762587.0,185222040711.0,-55870948982.0
7,Trong đó: Chi phí lãi vay,-43655960895.0,-43178545837.0,-68960239417.0,-89305652714.0,-76293100837.0,-73275577113.0,-34458318242.0,-46276276833.0,186229054755.0,-6212736052.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14080936406.0,-8190956355.0
9,Chi phí bán hàng,-30498399019.0,-22205104878.0,-20286156645.0,-9615955027.0,-8067794061.0,-5440099513.0,-7586732222.0,-11813708616.0,-11678966043.0,-15856311221.0
10,Chi phí quản lý doanh  nghiệp,-16892351077.0,-12717754270.0,-85951941459.0,-77941507485.0,-189059872377.0,-16140082067.0,-21683578919.0,-7814091556.0,-8334100570.0,-162490964992.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,4135312454.0,3340965455.0,-129898462505.0,-126658813274.0,-153187637395.0,-23254458693.0,-39371468289.0,-43684526086.0,239578892119.0,-124552847510.0
12,Thu nhập khác,5149102721.0,1108310486.0,414626136.0,2863999735.0,12316847760.0,1654857133.0,3576318006.0,613149246.0,762720739.0,80151110.0
13,Chi phí khác,-1406266640.0,-326094335.0,-4894065761.0,-9732918398.0,-772007063.0,-430665868.0,-1099115714.0,-940608267.0,-1635696726.0,-512638361.0
14,"Thu nhập khác, ròng",3742836081.0,782216151.0,-4479439625.0,-6868918663.0,11544840697.0,1224191265.0,2477202292.0,-327459021.0,-872975987.0,-432487251.0
16,Lãi/(lỗ) ròng trước thuế,7878148535.0,4123181606.0,-134377902130.0,-133527731937.0,-141642796698.0,-22030267428.0,-36894265997.0,-44011985107.0,238705916132.0,-124985334761.0
17,Thuế thu nhập doanh nghiệp – hiện thời,13479039.0,0.0,0.0,-214238108.0,-481369992.0,0.0,0.0,0.0,0.0,-248589077.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-511752570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-498273531.0,0.0,0.0,-214238108.0,-481369992.0,0.0,0.0,0.0,0.0,-248589077.0
20,Lãi/(lỗ) thuần sau thuế,7379875004.0,4123181606.0,-134377902130.0,-133741970045.0,-142124166690.0,-22030267428.0,-36894265997.0,-44011985107.0,238705916132.0,-125233923838.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,792624.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,7379875004.0,4123181606.0,-134377902130.0,-133741970045.0,-142124166690.0,-22030267428.0,-36894265997.0,-44011985107.0,238705916192.0,-125234716462.0
23,Lãi cơ bản trên cổ phiếu,541.0,243.0,-9987.0,-9920.0,-10509.0,-1638.0,-2741.0,-3259.0,17485.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
