,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,473124963087.0,397357186142.0,259685166691.0,362913543199.0,343380690825.0,342755135673.0,270927905691.0,371202496455.0,452290232538.0,535164672302.0
1,Các khoản giảm trừ,-3971015244.0,-2544445026.0,-998847106.0,-4019418007.0,-2879135506.0,-2394356867.0,-2724073527.0,-4458023679.0,-5985252691.0,-6017279151.0
2,Doanh số thuần,469153947843.0,394812741116.0,258686319585.0,358894125192.0,340501555319.0,340360778806.0,268203832164.0,366744472776.0,446304979847.0,529147393151.0
3,Giá vốn hàng bán,-395457328422.0,-345057953123.0,-236244498197.0,-300620018061.0,-295535431251.0,-295074396880.0,-241127756813.0,-330689648738.0,-394903251081.0,-486837751933.0
4,Lãi gộp,73696619421.0,49754787993.0,22441821388.0,58274107131.0,44966124068.0,45286381926.0,27076075351.0,36054824038.0,51401728766.0,42309641218.0
5,Thu nhập tài chính,233696031.0,485253782.0,285141655.0,321898014.0,448361960.0,762224817.0,370586500.0,346149879.0,573355777.0,915028955.0
6,Chi phí tài chính,0.0,0.0,-9945205.0,0.0,0.0,0.0,0.0,0.0,0.0,-35068493.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,-9945205.0,0.0,0.0,0.0,0.0,0.0,0.0,-35068493.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-51482061289.0,-37516174532.0,-20575983523.0,-36339680185.0,-30964906364.0,-31544011137.0,-24733780791.0,-35609675353.0,-41529363306.0,-51042172681.0
10,Chi phí quản lý doanh  nghiệp,-13402911206.0,-10755923233.0,-10298603415.0,-12968767290.0,-8885544009.0,-10401775029.0,-8399578612.0,-13122733372.0,-16656067474.0,-16866118155.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,9045342957.0,1967944010.0,-8157569100.0,9287557670.0,5564035655.0,4102820577.0,-5686697552.0,-12331434808.0,-6210346237.0,-24718689156.0
12,Thu nhập khác,1474600.0,589191199.0,895320.0,1257216200.0,36948500.0,57697858.0,126422239.0,23330722579.0,16308815009.0,25909983653.0
13,Chi phí khác,-971439033.0,-1032946040.0,-977492562.0,-954258740.0,-941850654.0,-959686467.0,-695784071.0,-691260897.0,-681501363.0,-892884333.0
14,"Thu nhập khác, ròng",-969964433.0,-443754841.0,-976597242.0,302957460.0,-904902154.0,-901988609.0,-569361832.0,22639461682.0,15627313646.0,25017099320.0
16,Lãi/(lỗ) ròng trước thuế,8075378524.0,1524189169.0,-9134166342.0,9590515130.0,4659133501.0,3200831968.0,-6256059384.0,10308026874.0,9416967409.0,298410164.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1668852912.0,-404746480.0,0.0,-493220018.0,-1127996831.0,-494995729.0,0.0,-1227352491.0,-2155209055.0,-52943061.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,47144386.0,0.0,0.0,0.0,-595145938.0,-103111962.0,103111962.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1668852912.0,-357602094.0,0.0,-493220018.0,-1127996831.0,-1090141667.0,-103111962.0,-1124240529.0,-2155209055.0,-52943061.0
20,Lãi/(lỗ) thuần sau thuế,6406525612.0,1166587075.0,-9134166342.0,9097295112.0,3531136670.0,2110690301.0,-6359171346.0,9183786345.0,7261758354.0,245467103.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,6406525612.0,1166587075.0,-9134166342.0,9097295112.0,3531136670.0,2110690301.0,-6359171346.0,9183786345.0,7261758354.0,245467103.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0
