,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,361995653031.0,405704655479.0,602210271002.0,693526392544.0,860950787322.0,972467093855.0,1241991294423.0,1448816074162.0,1555647941070.0,1847749793966.0
1,TÀI SẢN NGẮN HẠN,242193967753.0,295739576443.0,450920673929.0,436263425694.0,510178188862.0,601193961744.0,739331591553.0,817487330670.0,942363307902.0,1237626890599.0
2,Tiền và tương đương tiền,28186787314.0,112384155114.0,82141015819.0,101890778581.0,130922245694.0,109323886902.0,164573460332.0,151348941849.0,219351429274.0,226288502194.0
3,Tiền,14275132331.0,50943293727.0,26267174802.0,24827577539.0,35184863452.0,42578142981.0,79891314746.0,86270358685.0,125900467977.0,124483302654.0
4,Các khoản tương đương tiền,13911654983.0,61440861387.0,55873841017.0,77063201042.0,95737382242.0,66745743921.0,84682145586.0,65078583164.0,93450961297.0,101805199540.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,177000000.0,7537639389.0,39562588005.0,37854563187.0,19576447726.0,14884762710.0,41409689807.0,32016876290.0,36733142843.0
6,Đầu tư ngắn hạn,0.0,177000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,7537639389.0,39562588005.0,37854563187.0,19576447726.0,14884762710.0,41409689807.0,32016876290.0,36733142843.0
9,Các khoản phải thu,120223959769.0,110214428984.0,168676568705.0,171268241334.0,202639927855.0,264980357671.0,243633261945.0,235184623728.0,266353806792.0,335633480692.0
10,Phải thu khách hàng,123925364823.0,118671291456.0,161852876133.0,145695765377.0,177408400966.0,200096055524.0,229411244266.0,229929335987.0,256685499035.0,292233391540.0
11,Trả trước người bán,7955460160.0,3487157604.0,7423182630.0,31095074027.0,11332244423.0,39585840214.0,7341640592.0,11761129585.0,11011913133.0,14918966770.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,2125217631.0,0.0,546699000.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,3052783288.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,3569137059.0,5098248642.0,20344248135.0,15857586370.0,34083824948.0,47759550201.0,28352142990.0,24719174553.0,29323488629.0,60884419905.0
16,Dự phòng nợ khó đòi,-15226002273.0,-17042268718.0,-20943738193.0,-21380184440.0,-23237325770.0,-24586305899.0,-21471765903.0,-31771715397.0,-30667094005.0,-32403297523.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",87715230635.0,63834893247.0,190388545938.0,119774778235.0,137962672598.0,198759855102.0,301610878087.0,373828207774.0,419787769445.0,628794930719.0
19,Hàng tồn kho,87715230635.0,64156879284.0,190710531975.0,120589766817.0,138330113180.0,199127295684.0,301978318669.0,374195648356.0,420155210027.0,629162371301.0
20,Dự phòng giảm giá HTK,0.0,-321986037.0,-321986037.0,-814988582.0,-367440582.0,-367440582.0,-367440582.0,-367440582.0,-367440582.0,-367440582.0
21,Tài sản lưu động khác,6067990035.0,9129099098.0,2176904078.0,3767039539.0,798779528.0,8553414343.0,14629228479.0,15715867512.0,4853426101.0,10176834151.0
22,Trả trước ngắn hạn,34473223.0,211625768.0,39581960.0,105525657.0,214772727.0,107974440.0,35751661.0,39760969.0,37225654.0,32570183.0
23,Thuế VAT phải thu,0.0,893881965.0,2118655765.0,3261961610.0,494103025.0,8293901149.0,9265063658.0,11281496114.0,1054351383.0,2488607481.0
24,Phải thu thuế khác,4040680.0,96062613.0,18666353.0,399552272.0,89903776.0,151538754.0,5328413160.0,4394610429.0,3761849064.0,7655656487.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,6029476132.0,7927528752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,119801685278.0,109965079036.0,151289597073.0,257262966850.0,350772598460.0,371273132111.0,502659702870.0,631328743492.0,613284633168.0,610122903367.0
28,Phải thu dài hạn,0.0,0.0,69000000.0,129010000.0,105900000.0,770791230.0,330982020.0,330945615.0,330945615.0,330945615.0
29,Phải thu khách hàng dài hạn,0.0,0.0,397848337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,82177000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
