,CHỈ TIÊU,2018,2019,2020,2021,2022
0,Doanh số,116530224890.0,134223693802.0,131865896428.0,154343536141.0,123000793603.0
1,Các khoản giảm trừ,0.0,0.0,-99385926.0,-4388140510.0,0.0
2,Doanh số thuần,116530224890.0,134223693802.0,131766510502.0,149955395631.0,123000793603.0
3,Giá vốn hàng bán,-108829108550.0,-125803519351.0,-119343945846.0,-136816320404.0,-115976596540.0
4,Lãi gộp,7701116340.0,8420174451.0,12422564656.0,13139075227.0,7024197063.0
5,Thu nhập tài chính,2159051.0,756458863.0,158287441.0,47398647.0,377562694.0
6,Chi phí tài chính,-2390386720.0,-2405859054.0,-2535799169.0,-2501399020.0,-2590072673.0
7,Trong đó: Chi phí lãi vay,-2390369681.0,-2402292223.0,-2514192479.0,-2430251731.0,-2504665422.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-472739835.0,-309885703.0,-2825141426.0,-3218656232.0,-1723652802.0
10,Chi phí quản lý doanh  nghiệp,-2109425364.0,-2935879792.0,-3313380136.0,-2924071638.0,-2620032330.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2730723472.0,3525008765.0,3906531366.0,4542346984.0,468001952.0
12,Thu nhập khác,1015504438.0,3119102070.0,295924546.0,43842760.0,2212470684.0
13,Chi phí khác,-49928682.0,-2592770903.0,-262649662.0,-239832262.0,-60746896.0
14,"Thu nhập khác, ròng",965575756.0,526331167.0,33274884.0,-195989502.0,2151723788.0
16,Lãi/(lỗ) ròng trước thuế,3696299228.0,4051339932.0,3939806250.0,4346357482.0,2619725740.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-993766355.0,-1049397993.0,-750844706.0,-1320093665.0,-764383280.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-993766355.0,-1049397993.0,-750844706.0,-1320093665.0,-764383280.0
20,Lãi/(lỗ) thuần sau thuế,2702532873.0,3001941939.0,3188961544.0,3026263817.0,1855342460.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2702532873.0,3001941939.0,3188961544.0,3026263817.0,1855342460.0
23,Lãi cơ bản trên cổ phiếu,501.0,580.0,689.0,653.0,294.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,294.0
