,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-297162867.0,618075286.0,3745594108.0,81727580100.0,-79616867649.0,-119543288258.0,64589388782.0,113221221665.0,36122040268.0,139329804.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,-541903101.0,-274779778.0,8801997150.0,17507585287.0,16541227728.0,7967242084.0,23956984089.0,6346161423.0,610846672.0,2999084216.0
2,Lãi trước thuế,-722908667.0,-453004368.0,8627988548.0,7121431186.0,16804551274.0,4237154804.0,24106719856.0,5429396412.0,775723676.0,-21563322239.0
3,Khấu hao TSCĐ,150435363.0,150435363.0,150435363.0,150435363.0,135368869.0,105235908.0,105235908.0,105235908.0,105235908.0,105235908.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,-1937795.0,10325671280.0,0.0,3810000000.0,0.0,1937610778.0,0.0,24774352833.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-27643.0,-13620.0,-63197.0,-114114434.0,-420888320.0,-205172697.0,-272880687.0,-1142408010.0,-284478075.0,-674974371.0
9,Chi phí lãi vay,30597846.0,27802847.0,25574231.0,24161892.0,22195905.0,20024069.0,17909012.0,16326335.0,14365163.0,357792085.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-40832663399.0,-1178236739.0,-52651511994.0,151161710000.0,-64494332858.0,-103685169179.0,20641311862.0,113290485996.0,25901262026.0,50260712070.0
13,(Tăng)/giảm hàng tồn kho,-24000000.0,1360545455.0,0.0,0.0,-30109700000.0,-6692082091.0,36747782091.0,-54000000.0,-54000000.0,-416475000.0
14,Tăng/(giảm) các khoản phải trả,41133216929.0,734794628.0,47751269561.0,-86905266955.0,-1522956575.0,-14103722783.0,-16749290196.0,-2438031020.0,10354861706.0,-8870751688.0
15,( Tăng)/giảm chi phí trả trước,-1215450.0,3554567.0,11304567.0,-12286340.0,-8910039.0,10683621.0,10509948.0,-12104048.0,-476564973.0,294576909.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43470024618.0
17,Chi phí lãi vay đã trả,-30597846.0,-27802847.0,-25574231.0,-24161892.0,-22195905.0,-20024069.0,-17909012.0,-16326335.0,-14365163.0,-357792085.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,-141890945.0,0.0,0.0,-3020215841.0,0.0,-3894964351.0,-200000000.0,-300000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,1300027643.0,-1299986380.0,3200063197.0,-3199858169.0,534860923.0,205172697.0,272880687.0,1142408010.0,-29715521925.0,674974371.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,3200000000.0,-3200000000.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30000000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,1300000000.0,-1300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,27643.0,13620.0,63197.0,141831.0,534860923.0,205172697.0,272880687.0,1142408010.0,284478075.0,674974371.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-92140000.0,-69390000.0,-69390000.0,-69390000.0,-69390000.0,254930610000.0,-69390000.0,-69390000.0,-69390000.0,29799536063.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,255000000000.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47923743435.0
33,Tiển trả các khoản đi vay,-92140000.0,-69390000.0,-69390000.0,-69390000.0,-69390000.0,-69390000.0,-69390000.0,-69390000.0,-69390000.0,-18124207372.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,910724776.0,-751301094.0,6876267305.0,78458331931.0,-79151396726.0,135592494439.0,64792879469.0,114294239675.0,6337128343.0,30613840238.0
38,Tiền và tương đương tiền đầu kỳ,342403873.0,1253128649.0,501827555.0,7378094860.0,85836426791.0,6685030065.0,142277524504.0,207070403973.0,321364643648.0,327701771991.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,1253128649.0,501827555.0,7378094860.0,85836426791.0,6685030065.0,142277524504.0,207070403973.0,321364643648.0,327701771991.0,358315612229.0
