,Unnamed: 0,Q1 2017,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1413110627.0,10232613397.0,-2680223340.0,-481842467.0,6303821439.0,-21277356637.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,1432996837.0,2881422122.0,2702116315.0,973092244.0,8948438530.0,13405371077.0
2,Lãi trước thuế,-857801322.0,919151975.0,796645908.0,-914282524.0,7115844808.0,9322780787.0
3,Khấu hao TSCĐ,2260345259.0,1876305099.0,1861305099.0,1982234659.0,1563506430.0,3750096129.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,-90000000.0,-19260000.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,-119858930.0,119858930.0,0.0
9,Chi phí lãi vay,30452900.0,85965048.0,44165308.0,114999039.0,168488362.0,332494161.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1121773391.0,6386379977.0,-5749735360.0,-3492271127.0,-5037230520.0,-71415483456.0
13,(Tăng)/giảm hàng tồn kho,8351105.0,166251084.0,-83074119.0,111019690.0,61563452.0,47314318.0
14,Tăng/(giảm) các khoản phải trả,1901005046.0,1553080559.0,1707001365.0,2527131310.0,-4234132675.0,44550059597.0
15,( Tăng)/giảm chi phí trả trước,-178330718.0,-271856752.0,-573487051.0,114706776.0,6353278794.0,-6714815248.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,-256920148.0,256920148.0
17,Chi phí lãi vay đã trả,-203422000.0,287671240.0,-44165308.0,-3094966.0,47260274.0,399782113.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-587368694.0,-624045213.0,0.0,624045213.0,-1300000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,-182966139.0,-14833969.0,14833969.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-425716252.0,0.0,0.0,-727260363.0,-202481481.0,-506505186.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-2099452702.0,-253636364.0,-1150925925.0,-4274045145.0,-1211866335.0,420000000.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-2399452702.0,0.0,-1150925925.0,-4497404075.0,-988507405.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,300000000.0,-253636364.0,0.0,212962963.0,-212962963.0,420000000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,0.0,0.0,10395967.0,-10395967.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1100000000.0,-3000000000.0,3000000000.0,-801864080.0,-232135920.0,20562500000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,3000000000.0,3000000000.0,0.0,20000000000.0
33,Tiển trả các khoản đi vay,-1100000000.0,-3000000000.0,0.0,-3801864080.0,3614364080.0,562500000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,-3846500000.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-1786342075.0,6978977033.0,-831149265.0,-5557751692.0,4859819184.0,-294856637.0
38,Tiền và tương đương tiền đầu kỳ,5450359453.0,2091868834.0,8589988661.0,7758839396.0,2201087704.0,7060906888.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,3664017378.0,9070845867.0,7758839396.0,2201087704.0,7060906888.0,6766050251.0
