,CHỈ TIÊU,Q1 2017,Q3 2017,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,12139363211.0,15771715663.0,21387890252.0,26534545212.0,28209737435.0,31457562126.0,39468376573.0,61849496599.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,12139363211.0,15771715663.0,21387890252.0,26534545212.0,28209737435.0,31457562126.0,39468376573.0,61849496599.0
3,Giá vốn hàng bán,-11740040351.0,-13516217373.0,-18172551665.0,-22367405689.0,-24571626954.0,-29647172882.0,-29439160053.0,-42375340809.0
4,Lãi gộp,399322860.0,2255498290.0,3215338587.0,4167139523.0,3638110481.0,1810389244.0,10029216520.0,19474155790.0
5,Thu nhập tài chính,3814045.0,0.0,0.0,0.0,796412.0,9599555.0,2161551.0,2420830.0
6,Chi phí tài chính,-30452900.0,-14876709.0,-79632279.0,-85965048.0,-44165308.0,-129333761.0,-154153640.0,-332494161.0
7,Trong đó: Chi phí lãi vay,-30452900.0,-14876709.0,-79632279.0,-85965048.0,-44165308.0,-114999039.0,-154153640.0,-332494161.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-11350000.0,0.0,0.0,-30600000.0,-3282000.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1340785327.0,-903236735.0,-2746512143.0,-3082555958.0,-2794813677.0,-2714400525.0,-2815182408.0,-9764246762.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-979451322.0,1337384846.0,389194165.0,968018517.0,796645908.0,-1023745487.0,7062042023.0,9379835697.0
12,Thu nhập khác,227900000.0,71545455.0,0.0,788000000.0,0.0,109462963.0,0.0,0.0
13,Chi phí khác,-106250000.0,-6362146.0,0.0,-836866542.0,0.0,0.0,-3252125.0,0.0
14,"Thu nhập khác, ròng",121650000.0,65183309.0,0.0,-48866542.0,0.0,109462963.0,-3252125.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-857801322.0,1402568155.0,389194165.0,919151975.0,796645908.0,-914282524.0,7058789898.0,9379835697.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-239061551.0,-54487183.0,-183830395.0,-159329182.0,159329182.0,-1411757980.0,-1875967139.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-239061551.0,-54487183.0,-183830395.0,-159329182.0,159329182.0,-1411757980.0,-1875967139.0
20,Lãi/(lỗ) thuần sau thuế,-857801322.0,1163506604.0,334706982.0,735321580.0,637316726.0,-754953342.0,5647031918.0,7503868558.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-857801322.0,1163506604.0,334706982.0,735321580.0,637316726.0,-754953342.0,5647031918.0,7503868558.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
