,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,251054089049.0,273939482577.0,274133332807.0,393091737962.0,367132565214.0,344403175285.0,310553231288.0,535103729051.0,695616395236.0,578085530458.0
1,Các khoản giảm trừ,-1406719149.0,-2302357760.0,-2465922358.0,-2109554120.0,-1937640194.0,-2003590108.0,-3334376967.0,-3690571180.0,-2869659376.0,-2640718401.0
2,Doanh số thuần,249647369900.0,271637124817.0,271667410449.0,390982183842.0,365194925020.0,342399585177.0,307218854321.0,531413157871.0,692746735860.0,575444812057.0
3,Giá vốn hàng bán,-206129604586.0,-217994778445.0,-219362202026.0,-334578382764.0,-308631822502.0,-258068088401.0,-229267184868.0,-438515957067.0,-594945953204.0,-480526229960.0
4,Lãi gộp,43517765314.0,53642346372.0,52305208423.0,56403801078.0,56563102518.0,84331496776.0,77951669453.0,92897200804.0,97800782656.0,94918582097.0
5,Thu nhập tài chính,1986841618.0,2057664080.0,438477976.0,2733680858.0,5161587035.0,5450708554.0,4822769908.0,4607015310.0,4030985876.0,7807953285.0
6,Chi phí tài chính,-9191618071.0,-11604250562.0,-8902160601.0,-16965054629.0,-13696891738.0,-16322237757.0,-12210567999.0,-19332212043.0,-17772948249.0,-26263773432.0
7,Trong đó: Chi phí lãi vay,-9180609627.0,-11502691226.0,-8880576655.0,-16668414936.0,-13486882343.0,-15843553806.0,-11902656932.0,-16185196457.0,-15127323415.0,-19784536268.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-24156268754.0,-26552537086.0,-32262261777.0,-31199581731.0,-38099363258.0,-53872855439.0,-50326017508.0,-53726645343.0,-62435035516.0,-54332701492.0
10,Chi phí quản lý doanh  nghiệp,-11945884220.0,-12953086110.0,-9811182565.0,-10034213057.0,-9524658254.0,-11473221377.0,-12146138579.0,-16693828078.0,-16834943095.0,-18239866868.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,210835887.0,4590136694.0,1768081456.0,938632519.0,403776303.0,8113890757.0,8091715275.0,7751530650.0,4788841672.0,3890193590.0
12,Thu nhập khác,191119183.0,183943391.0,100743146.0,294492806.0,184806128.0,362985637.0,106536376.0,305118115.0,170020243.0,156177083.0
13,Chi phí khác,-156948297.0,-11138810.0,-123082758.0,-73262451.0,-47997362.0,-29282104.0,-3708857576.0,4567997923.0,-352554238.0,-136348169.0
14,"Thu nhập khác, ròng",34170886.0,172804581.0,-22339612.0,221230355.0,136808766.0,333703533.0,-3602321200.0,4873116038.0,-182533995.0,19828914.0
16,Lãi/(lỗ) ròng trước thuế,245006773.0,4762941275.0,1745741844.0,1159862874.0,540585069.0,8447594290.0,4489394075.0,12624646688.0,4606307677.0,3910022504.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-49001355.0,-1005283864.0,-368904927.0,-246720617.0,-127943341.0,-1892452430.0,-902107460.0,-7862502994.0,-1025060223.0,-824540923.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-49001355.0,-1005283864.0,-368904927.0,-246720617.0,-127943341.0,-1892452430.0,-902107460.0,-7862502994.0,-1025060223.0,-824540923.0
20,Lãi/(lỗ) thuần sau thuế,196005418.0,3757657411.0,1376836917.0,913142257.0,412641728.0,6555141860.0,3587286615.0,4762143694.0,3581247454.0,3085481581.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,196005418.0,3757657411.0,1376836917.0,913142143.0,412641728.0,6555141860.0,3587286615.0,4762143694.0,3581247454.0,3085481581.0
23,Lãi cơ bản trên cổ phiếu,10.0,188.0,69.0,45.0,21.0,327.0,120.0,158.0,118.0,90.0
24,Lãi trên cổ phiếu pha loãng,10.0,188.0,69.0,57.0,21.0,327.0,120.0,158.0,118.0,90.0
