,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,27628705595.0,-60600846325.0,-81791638916.0,47849251203.0,-67637869878.0,-60531626492.0,-14424415791.0,68642964137.0,3057831333.0,22562057586.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,70505915581.0,75042559531.0,58969644441.0,59180581183.0,65739773346.0,36694804237.0,47002939533.0,-29882708634.0,-17620214691.0,30656886810.0
2,Lãi trước thuế,14340080516.0,21019945837.0,8311205757.0,-6644357472.0,5119342711.0,13676690831.0,-9363638242.0,-95644206679.0,-48216674736.0,-12915066055.0
3,Khấu hao TSCĐ,18756279530.0,19277367325.0,14602638492.0,12626148767.0,10662019985.0,10591065046.0,7616080298.0,798153809.0,5261118185.0,1880142066.0
5,Chi phí dự phòng,322457249.0,0.0,189625410.0,49428939.0,0.0,0.0,0.0,0.0,3258030698.0,3886809497.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,372388174.0,8779698746.0,1931230356.0,387191083.0,3069386487.0,-1597255211.0,0.0,2036652742.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-40496267.0,-51171757.0,-4621392158.0,-7357857600.0,-7613165334.0,-42061760915.0,-5102563891.0,31438213368.0,-136509080.0,18846944480.0
9,Chi phí lãi vay,37127594553.0,34424029952.0,37050974394.0,58268967531.0,57184384901.0,51419422788.0,55450316579.0,33525130868.0,20177167500.0,18958056822.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,-5343106200.0,307020662.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-15303144853.0,-44775925326.0,-65570820724.0,10653827587.0,-37848810912.0,-759803561823.0,806735718766.0,-48834020720.0,99551552177.0,1223378176.0
13,(Tăng)/giảm hàng tồn kho,-59242521277.0,-60547990559.0,-36464118599.0,32686305433.0,-26279521158.0,-133846782426.0,-51649364612.0,202485308604.0,-70618311490.0,-8036058885.0
14,Tăng/(giảm) các khoản phải trả,62716179237.0,3982977516.0,11622384302.0,4808747300.0,-14992217979.0,817487776218.0,-767524151384.0,-23305103111.0,-17828108852.0,18063457495.0
15,( Tăng)/giảm chi phí trả trước,6841557240.0,5620469959.0,-14264939701.0,-1447535936.0,4915726637.0,37577939828.0,9405413947.0,2978412225.0,10760968892.0,137826617.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-37127594553.0,-33826228161.0,-36402022992.0,-57554774364.0,-56910280742.0,-51419422788.0,-55450316579.0,-33525130868.0,-1168054703.0,-18958056822.0
18,Thuế thu nhập doanh nghiệp đã trả,-696060271.0,-1371438692.0,0.0,0.0,0.0,-6929655690.0,-2944655462.0,-1273793359.0,-20000000.0,-455347714.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,350000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-65625509.0,-4725270593.0,-31765643.0,-477900000.0,-2262539070.0,-292724048.0,0.0,0.0,0.0,-70028091.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-27483845864.0,-9080862473.0,-101563004074.0,-54357859128.0,47651500692.0,147975562380.0,87756782408.0,-30616874844.0,136511222.0,-6724813280.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-19724342131.0,-9414037845.0,-6337926788.0,-26375188445.0,-413000000.0,-47746000.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,377272728.0,0.0,3300000000.0,0.0,111383070119.0,15053310000.0,821338524.0,136363636.0,12122131200.0
24,Tiền cho vay hoặc mua công cụ nợ,-7800000000.0,0.0,-104300000000.0,-153835943355.0,-4629663422.0,-40000000000.0,-2500000000.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,7800000000.0,115585100000.0,45868163422.0,71635100000.0,72500000000.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-50500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,40496267.0,6402644.0,1274922714.0,6968172672.0,6826000692.0,5005138261.0,2703472408.0,-31438213368.0,147586.0,-18846944480.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1469361639.0,70155291241.0,192185695533.0,136837311.0,19725011929.0,-81443411688.0,-79212294315.0,-38602439556.0,-3271132986.0,-15670893418.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,35219420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1003509106373.0,1322434404626.0,1968585335317.0,1699291650319.0,1738315000803.0,1156784142169.0,955806875189.0,82990393448.0,6171729000.0,5067229158.0
33,Tiển trả các khoản đi vay,-1033645952812.0,-1238777428945.0,-1766970133664.0,-1686933471628.0,-1718589988874.0,-1233618698107.0,-1035019169504.0,-121592833004.0,-9442861986.0,-20738122576.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-6551935200.0,-13501684440.0,-9429506120.0,-12221341380.0,0.0,-4608855750.0,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-1324501908.0,473582443.0,8831052543.0,-6371770614.0,-261357257.0,6000524200.0,-5879927698.0,-576350263.0,-76790431.0,166350888.0
38,Tiền và tương đương tiền đầu kỳ,1785438624.0,460936716.0,478841992.0,8587389270.0,990651458.0,729294201.0,6716518401.0,831988409.0,255577256.0,178786825.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,-455677167.0,-722505265.0,-1224967198.0,0.0,-13300000.0,-4602294.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,460936716.0,478841992.0,8587389270.0,990651458.0,729294201.0,6716518401.0,831988409.0,255638146.0,178786825.0,345137713.0
