,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,15918068240.0,39244666106.0,7041630395.0,27781491462.0,4905728927.0,55362027205.0,2214675313.0,28400617315.0,7471428560.0,38116981215.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,15918068240.0,39244666106.0,7041630395.0,27781491462.0,4905728927.0,55362027205.0,2214675313.0,28400617315.0,7471428560.0,38116981215.0
3,Giá vốn hàng bán,-11103926259.0,-38467040093.0,-8064650051.0,-24274178065.0,-3099324738.0,-47995276951.0,-2529425052.0,-27479073116.0,-6488957149.0,-36348672257.0
4,Lãi gộp,4814141981.0,777626013.0,-1023019656.0,3507313397.0,1806404189.0,7366750254.0,-314749739.0,921544199.0,982471411.0,1768308958.0
5,Thu nhập tài chính,712368640.0,98918564.0,550662.0,373080.0,823391315.0,409056.0,653909.0,183142946.0,154209.0,332466.0
6,Chi phí tài chính,-916378964.0,-499497158.0,-561357403.0,-587914187.0,-570324437.0,-474118945.0,-403647351.0,-381234960.0,-185335351.0,-503699186.0
7,Trong đó: Chi phí lãi vay,-909580611.0,-819009221.0,-561357403.0,-578993806.0,-568710779.0,-474118945.0,-403647351.0,-380934960.0,-185335351.0,-485772773.0
8,Lãi/(lỗ) từ công ty liên doanh,240000000.0,754361380.0,0.0,72654051.0,-37654051.0,190000000.0,0.0,-375000000.0,0.0,-250000000.0
9,Chi phí bán hàng,-18940026.0,24080228.0,-9025636.0,-60171817.0,-78954610.0,-17727273.0,-22312771.0,0.0,0.0,-57566667.0
10,Chi phí quản lý doanh  nghiệp,-2148026062.0,-853752941.0,-1591901340.0,-2398188374.0,-1277549943.0,-3665518768.0,-1494092364.0,-4330775759.0,-843787066.0,-1370012167.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2683165569.0,301736086.0,-3184753373.0,534066150.0,665312463.0,3399794324.0,-2234148316.0,-3982323574.0,-46496797.0,-412636596.0
12,Thu nhập khác,0.0,554648664.0,0.0,0.0,0.0,0.0,0.0,0.0,6250000.0,382000000.0
13,Chi phí khác,-1014922547.0,944175923.0,-118512104.0,-251206253.0,-287400643.0,-14106847.0,0.0,-79195267.0,-671389.0,-445763494.0
14,"Thu nhập khác, ròng",-1014922547.0,1498824587.0,-118512104.0,-251206253.0,-287400643.0,-14106847.0,0.0,-79195267.0,5578611.0,-63763494.0
16,Lãi/(lỗ) ròng trước thuế,1668243022.0,1800560673.0,-3303265477.0,282859897.0,377911820.0,3385687477.0,-2234148316.0,-4061518841.0,-40918186.0,-476400090.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3451458.0,-67764433.0,0.0,0.0,0.0,-80549436.0,0.0,0.0,0.0,-16155194.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-3451458.0,-67764433.0,0.0,0.0,0.0,-80549436.0,0.0,0.0,0.0,-16155194.0
20,Lãi/(lỗ) thuần sau thuế,1664791564.0,1732796240.0,-3303265477.0,282859897.0,377911820.0,3305138041.0,-2234148316.0,-4061518841.0,-40918186.0,-492555284.0
21,Lợi ích của cổ đông thiểu số,-128705834.0,399514896.0,-120729445.0,-251851970.0,-39359351.0,46632494.0,-147761982.0,-14590387.0,131095469.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1793497398.0,1333281344.0,-3182536032.0,534711867.0,417271171.0,3258505547.0,-2086386334.0,-4046928454.0,-172013655.0,-492555284.0
23,Lãi cơ bản trên cổ phiếu,374.0,278.0,-956.0,404.0,87.0,679.0,-435.0,-843.0,-36.0,-103.0
24,Lãi trên cổ phiếu pha loãng,374.0,278.0,-956.0,404.0,87.0,679.0,-435.0,-843.0,-36.0,-103.0
