,CHỈ TIÊU,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,6930000.0,17600000.0,311095000.0,948662500.0,2256485910.0,264806439.0,435220000.0,363229550.0,281869000.0,4357468400.0
1,Các khoản giảm trừ,-157863000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,-150933000.0,17600000.0,311095000.0,948662500.0,2256485910.0,264806439.0,435220000.0,363229550.0,281869000.0,4357468400.0
3,Giá vốn hàng bán,193562491.0,-13169420.0,-203279335.0,-810715605.0,-1598348200.0,-237670102.0,-294579565.0,-284339019.0,-133650080.0,-3098308058.0
4,Lãi gộp,42629491.0,4430580.0,107815665.0,137946895.0,658137710.0,27136337.0,140640435.0,78890531.0,148218920.0,1259160342.0
5,Thu nhập tài chính,4930.0,3595.0,4430.0,2651.0,3247.0,2943.0,3565.0,3366.0,3653.0,8286.0
6,Chi phí tài chính,-360444204.0,-3674204.0,-1779013.0,-74667.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,-109861633.0,-3674204.0,-1779013.0,-74667.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-21087896.0,-58475175.0,-58475175.0,-58475175.0,-58475175.0,-58475175.0,-58475175.0,-58475175.0,-58475175.0,-38475807.0
10,Chi phí quản lý doanh  nghiệp,-38887623.0,-295668790.0,-2465680315.0,103140990.0,300648339.0,-366788359.0,-162982348.0,-426020222.0,-412376778.0,-627700400.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-377785302.0,-353383994.0,-2418114408.0,182540694.0,900314121.0,-398124254.0,-80813523.0,-405601500.0,-322629380.0,592992421.0
12,Thu nhập khác,0.0,0.0,0.0,295.0,320931.0,0.0,0.0,0.0,0.0,2000200000.0
13,Chi phí khác,-605226984.0,-307468.0,-180000.0,-14062584.0,-74067785.0,-19643047.0,-118130469.0,-3921720030.0,0.0,-12001083.0
14,"Thu nhập khác, ròng",-605226984.0,-307468.0,-180000.0,-14062289.0,-73746854.0,-19643047.0,-118130469.0,-3921720030.0,0.0,1988198917.0
16,Lãi/(lỗ) ròng trước thuế,-983012286.0,-353691462.0,-2418294408.0,168478405.0,826567267.0,-417767301.0,-198943992.0,-4327321530.0,-322629380.0,2581191338.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-477184144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8077348.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-477184144.0,0.0,0.0,0.0,0.0,0.0,0.0,-8077348.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-1460196430.0,-353691462.0,-2418294408.0,168478405.0,826567267.0,-417767301.0,-198943992.0,-4335398878.0,-322629380.0,2581191338.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-1460196430.0,-353691462.0,-2418294408.0,168478405.0,826567267.0,-417767301.0,-198943992.0,-4335398878.0,-322629380.0,2581191338.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
