,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1603162263365.0,1601780756606.0,1515610366295.0,1483159826176.0,1463867179775.0,1428736522634.0,1339751112614.0,1315588004033.0,1270938377184.0,1192213006226.0
1,TÀI SẢN NGẮN HẠN,866455545624.0,876912181600.0,802789419099.0,782890316796.0,773122578686.0,748056848127.0,669958233248.0,655794771588.0,622000659721.0,552921527457.0
2,Tiền và tương đương tiền,15538778906.0,27181348481.0,22838500424.0,22102163098.0,33527835730.0,38573163990.0,38566884286.0,43034387555.0,52624565761.0,46056728407.0
3,Tiền,15538778906.0,27181348481.0,22838500424.0,22102163098.0,33527835730.0,38573163990.0,38566884286.0,43034387555.0,52624565761.0,46056728407.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,384113919996.0,429887937216.0,353359222816.0,344909054753.0,356191078762.0,385023317273.0,328463039074.0,342395704570.0,351588568830.0,343127038488.0
10,Phải thu khách hàng,337484299502.0,392985638648.0,304329124452.0,306624161219.0,317154552143.0,379931713220.0,321422272423.0,332006133900.0,351621007755.0,383687754394.0
11,Trả trước người bán,21320811787.0,20562097098.0,20610921098.0,18189133017.0,17966760420.0,17384214619.0,17530125442.0,17996399913.0,18608971535.0,15735867252.0
12,Phải thu nội bộ,2363801719.0,2270799421.0,2262848281.0,2221060081.0,2200032081.0,2200032081.0,2285445775.0,2200032081.0,2200032081.0,2200032081.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,35830510274.0,26373273369.0,38748866188.0,30467237639.0,33531783052.0,21523543675.0,24293781756.0,27261724998.0,26673480983.0,18935128821.0
16,Dự phòng nợ khó đòi,-12885503286.0,-12303871320.0,-12592537203.0,-12592537203.0,-14662048934.0,-36016186322.0,-37068586322.0,-37068586322.0,-47514923524.0,-77431744060.0
