,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1894195247.0,30714178443.0,-40129412489.0,-27738622552.0,44690171315.0,30839354636.0,-15049174661.0,-24193560953.0,34500293552.0,5387975573.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,9472556054.0,13721936687.0,3498105947.0,6606954599.0,148693089.0,31712088308.0,3417850372.0,6900536680.0,4173140337.0,19176833670.0
2,Lãi trước thuế,8669291190.0,6730440698.0,3064518848.0,2203298017.0,1039471828.0,19097250730.0,2378591664.0,6868974991.0,2582112554.0,11829360581.0
3,Khấu hao TSCĐ,1340865393.0,6004988774.0,1098548247.0,1099638247.0,1100183247.0,4987811751.0,923661888.0,908636321.0,872330767.0,882339719.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,157500000.0,911196747.0,-241500652.0,2879287889.0,-1859640697.0,7402536623.0,0.0,-335886075.0,0.0,6340639280.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,78275547.0,0.0,58764203.0,0.0,78672693.0,0.0,-96074717.0,0.0,11498150.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-695100529.0,-2965079.0,-423460496.0,257139066.0,-259314102.0,-1292895.0,-1324330.0,-578837265.0,577180511.0,-793985.0
9,Chi phí lãi vay,0.0,0.0,0.0,108827177.0,127992813.0,147109406.0,116921150.0,133723425.0,141516505.0,113789925.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-57236074227.0,17739675892.0,39758098887.0,-13048100096.0,26612755961.0,-100101967994.0,55207383330.0,-18565484987.0,3185546957.0,-15629796349.0
13,(Tăng)/giảm hàng tồn kho,-2230617931.0,6970408501.0,-7087765185.0,-2939542332.0,-2692220440.0,11498639264.0,-4994679372.0,-257933347.0,-3591905591.0,2592379923.0
14,Tăng/(giảm) các khoản phải trả,51570222757.0,-3567415314.0,-74712250505.0,-17685287856.0,20101207284.0,89210419706.0,-63919902143.0,-12019257360.0,30901011036.0,2353624206.0
15,( Tăng)/giảm chi phí trả trước,323307594.0,-297692561.0,112438966.0,-478286848.0,695155762.0,535364027.0,40489328.0,-116698514.0,250054432.0,904034123.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,-82110019.0,-75420341.0,-140703789.0,-116921150.0,-133723425.0,-98717331.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-3621494762.0,-1180180599.0,0.0,0.0,-1208444886.0,-3787695026.0,0.0,-316836288.0,-4000000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-5199000.0,-231240000.0,-517860000.0,-112250000.0,-100000000.0,-666040000.0,-895700000.0,-1000000.0,-2000000.0,-9100000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-6847017866.0,-2738448663.0,-3657370006.0,-6743152814.0,-5269534176.0,-6544382042.0,425813606.0,4767020554.0,-4085866064.0,5599314177.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,1285512798.0,0.0,0.0,-32700000.0,-48300000.0,-81000000.0,0.0,-218581821.0,88981821.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795021053.0,-795021053.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000000.0,-4000000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-8235500000.0,-3010997520.0,-4255843126.0,-6744156874.0,-5658083539.0,-6500000000.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,480855750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,102969336.0,272548857.0,117617370.0,33704060.0,436849363.0,36617958.0,425813606.0,190581322.0,620173168.0,5599314177.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-13393502750.0,-5556864714.0,-12961610.0,24332585693.0,-27207523746.0,-16287480503.0,-13317847401.0,30053216629.0,-38742672768.0,-4032115576.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,-14869592768.0,0.0,0.0,29555922795.0,-24482164980.0,0.0,0.0,32564110209.0,-25807166464.0,0.0
33,Tiển trả các khoản đi vay,1387520698.0,-5556864714.0,0.0,-5222654912.0,851381194.0,-11967767863.0,-13253467231.0,-2508932510.0,-12844527354.0,-3944019986.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,88569320.0,0.0,-12961610.0,-682190.0,-3576739960.0,-4319712640.0,-64380170.0,-1961070.0,-90978950.0,-88095590.0
37,Lưu chuyển tiền thuần trong kỳ,-18346325369.0,22418865066.0,-43799744105.0,-10149189673.0,12213113393.0,8007492091.0,-27941208456.0,10626676230.0,-8328245280.0,6955174174.0
38,Tiền và tương đương tiền đầu kỳ,69761524635.0,51407833368.0,73721708136.0,29921964031.0,19718420702.0,31985887751.0,35993379842.0,8052171386.0,18748803524.0,10350602336.0
39,Ảnh hưởng của chênh lệch tỷ giá,-7365898.0,0.0,0.0,-54353656.0,54353656.0,0.0,0.0,69955908.0,-69955908.0,0.0
40,Tiền và tương đương tiền cuối kỳ,51407833368.0,73826698434.0,29921964031.0,19718420702.0,31985887751.0,39993379842.0,8052171386.0,18748803524.0,10350602336.0,17305776510.0
