,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,43758064052.0,62689960611.0,-31459030996.0,33022556827.0,43189081905.0,-23750166453.0,18612973410.0,14896889592.0,-20743379230.0,-33380673855.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,16832858839.0,16869679285.0,14371101661.0,16316167382.0,23668312116.0,21099770429.0,27130871360.0,30611005832.0,40824204760.0,26859181032.0
2,Lãi trước thuế,15288181094.0,16383747803.0,14036903911.0,16299470590.0,17776313095.0,18692163427.0,23012058848.0,24351622911.0,25191131423.0,23602886695.0
3,Khấu hao TSCĐ,1869864899.0,2268919634.0,2688309895.0,3224621731.0,4251624568.0,4705154698.0,4908116820.0,9974600191.0,8286181492.0,3586968695.0
5,Chi phí dự phòng,468515768.0,-356360542.0,403381155.0,57018797.0,4082311595.0,1825399383.0,2781393981.0,328964580.0,8180683163.0,6004753205.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,76110924.0,-157947526.0,-1197757938.0,-617715403.0,-224865786.0,-102133218.0,110947545.0,183265845.0,78672693.0,11498150.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-975764306.0,-1278430084.0,-1559735362.0,-2647228333.0,-2217071356.0,-4020813861.0,-3681645834.0,-4227447695.0,-1296393407.0,-6852876718.0
9,Chi phí lãi vay,105950460.0,9750000.0,0.0,0.0,0.0,0.0,0.0,0.0,383929396.0,505951005.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,19733625037.0,34510148791.0,-33550623786.0,-3344237521.0,18545462160.0,-52671051796.0,-24427466584.0,-15194177542.0,-35638105555.0,30825033624.0
13,(Tăng)/giảm hàng tồn kho,2405664586.0,-8770465268.0,58686140.0,-3302046865.0,585062465.0,4123491807.0,8381256188.0,-190193393.0,-1211645331.0,-5401956639.0
14,Tăng/(giảm) các khoản phải trả,11453941356.0,29108790191.0,-6523747215.0,26620483677.0,4990618183.0,8592436085.0,16117300136.0,10100183010.0,-21326357288.0,-77070528922.0
15,( Tăng)/giảm chi phí trả trước,-361497894.0,-1266024960.0,185530046.0,656139739.0,-118711802.0,-407618517.0,26893252.0,-2266091412.0,864671907.0,1077879369.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-105950460.0,-9750000.0,0.0,0.0,0.0,0.0,0.0,0.0,-357212238.0,-505951005.0
18,Thuế thu nhập doanh nghiệp đã trả,-4395086312.0,-5427525276.0,-4315587842.0,-3182819585.0,-3063501217.0,-3273614461.0,-6213310942.0,-6545136903.0,-2388625485.0,-8104531314.0
19,Tiền thu khác từ các hoạt động kinh doanh,2100000.0,0.0,68000000.0,10000000.0,20000000.0,0.0,0.0,4000000.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-1807591100.0,-2324892152.0,-1752390000.0,-751130000.0,-1438160000.0,-1213580000.0,-2402570000.0,-1622700000.0,-1510310000.0,-1059800000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1489371938.0,-20292174041.0,-1738982049.0,-4565586474.0,-16432857866.0,13898091815.0,-3658743301.0,-13528252661.0,-26279973499.0,10828266332.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1369985493.0,-5749050750.0,-7575959926.0,-8243607696.0,-5471465251.0,-1724081803.0,-6974562607.0,-6718886467.0,-968612750.0,-856753661.0
23,Tiền thu được từ thanh lý tài sản cố định,-130642314.0,430200000.0,102727272.0,6083382273.0,305154546.0,286126291.0,50000000.0,115454545.0,0.0,795021053.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-14000000000.0,0.0,-617525000.0,-13000000000.0,0.0,0.0,0.0,-4000000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,5769416666.0,0.0,13675400000.0,0.0,0.0,0.0,4000000000.0
26,Đầu tư vào các doanh nghiệp khác,-1100000000.0,-1800000000.0,-4535888889.0,-8100000000.0,0.0,-222432000.0,-258423750.0,-11200000000.0,-22500000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,8766472223.0,0.0,0.0,0.0,0.0,0.0,480855750.0,0.0
28,Cổ tức và tiền lãi nhận được,1111255869.0,826676709.0,1503667271.0,542747283.0,1733452839.0,1883079327.0,3524243056.0,4275179261.0,707783501.0,6889998940.0
