,CHỈ TIÊU,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015
0,TỔNG TÀI SẢN,352523560287.0,330197009574.0,301443038008.0,303754749929.0,319309511059.0,274163497188.0,273713826237.0,273553752928.0,254734965571.0,249537503358.0
1,TÀI SẢN NGẮN HẠN,331159408716.0,309565449185.0,281518043410.0,285498800133.0,301708145726.0,261455542562.0,261643329487.0,262106142313.0,243898287740.0,239299828808.0
2,Tiền và tương đương tiền,505632296.0,1436615464.0,191953933.0,899144865.0,321477374.0,657924500.0,942685921.0,1868326251.0,2307711655.0,2684994358.0
3,Tiền,505632296.0,1436615464.0,191953933.0,899144865.0,321477374.0,657924500.0,942685921.0,1868326251.0,2307711655.0,2684994358.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,151484487426.0,144995657924.0,119859536036.0,117932031817.0,117440703495.0,99799014351.0,99418768616.0,98448740862.0,82281324419.0,75953146285.0
10,Phải thu khách hàng,149985801749.0,126758631735.0,116447815629.0,113650045873.0,112890045873.0,110697725245.0,110242064265.0,109112064265.0,108999062810.0,102272884676.0
11,Trả trước người bán,1049416188.0,1168994347.0,1424385725.0,2153304667.0,2253300667.0,2603304667.0,2479162246.0,2479162246.0,2479162246.0,2877162246.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
