,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,124304866471.0,148653290537.0,306351450789.0,285886597861.0,99826493346.0,146971496689.0,387919639324.0,276347307328.0,104494187086.0,144280484660.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9444950000.0,9444950000.0,0.0
2,Doanh số thuần,124304866471.0,148653290537.0,306351450789.0,285886597861.0,99826493346.0,146971496689.0,387919639324.0,266902357328.0,113939137086.0,144280484660.0
3,Giá vốn hàng bán,-98671304793.0,-108596515491.0,-237903911932.0,-213395096662.0,-79514243698.0,-117862264313.0,-279578377999.0,-191295370746.0,-95321340404.0,-87890667634.0
4,Lãi gộp,25633561678.0,40056775046.0,68447538857.0,72491501199.0,20312249648.0,29109232376.0,108341261325.0,75606986582.0,18617796682.0,56389817026.0
5,Thu nhập tài chính,909622229.0,447269815.0,314400429.0,874835928.0,950900471.0,1187197839.0,558367767.0,2236498081.0,1303195645.0,1203525609.0
6,Chi phí tài chính,-133659681.0,-127373177.0,-240331791.0,-96108300.0,-227379006.0,-434927309.0,-449684427.0,-245399500.0,-183487000.0,-1166127132.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,-420755000.0,-244087000.0,-166427000.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-13542710063.0,-26607395551.0,-47830248971.0,-54650248992.0,-8254183108.0,-17743815975.0,-68597865399.0,-58308835192.0,-5774571664.0,-44414470590.0
10,Chi phí quản lý doanh  nghiệp,-7440197482.0,-6100732405.0,-10502974186.0,-8573446368.0,-6711324308.0,-3407345153.0,-17054651086.0,-6580775948.0,-10123967244.0,-3571004592.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,5426616681.0,7668543728.0,10188384338.0,10046533467.0,6070263697.0,8710341778.0,22797428180.0,12708474023.0,3838966419.0,8441740321.0
12,Thu nhập khác,9135117.0,6557200.0,6482400.0,18814641.0,15879500.0,106491178.0,15095200.0,7167242.0,1074349163.0,-951041086.0
13,Chi phí khác,-67935329.0,-6000000.0,-150215731.0,0.0,0.0,0.0,-197369520.0,-162261739.0,-12561201.0,-117441357.0
14,"Thu nhập khác, ròng",-58800212.0,557200.0,-143733331.0,18814641.0,15879500.0,106491178.0,-182274320.0,-155094497.0,1061787962.0,-1068482443.0
16,Lãi/(lỗ) ròng trước thuế,5367816469.0,7669100928.0,10044651007.0,10065348108.0,6086143197.0,8816832956.0,22615153860.0,12553379526.0,4900754381.0,7373257878.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1073563294.0,-1552887250.0,-2038973348.0,-2013069621.0,-1217228641.0,-1763366590.0,-4562504676.0,-2543113293.0,-982008908.0,-1487706032.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1073563294.0,-1552887250.0,-2038973348.0,-2013069621.0,-1217228641.0,-1763366590.0,-4562504676.0,-2543113293.0,-982008908.0,-1487706032.0
20,Lãi/(lỗ) thuần sau thuế,4294253175.0,6116213678.0,8005677659.0,8052278487.0,4868914556.0,7053466366.0,18052649184.0,10010266233.0,3918745473.0,5885551846.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,4294253175.0,6116213678.0,8005677659.0,8052278487.0,4868914556.0,7053466366.0,18052649184.0,10010266233.0,3918745473.0,5885551846.0
23,Lãi cơ bản trên cổ phiếu,11401.07,16238.3,0.0,0.0,12926.0,0.0,0.0,0.0,0.0,15626.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
