,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,450857388778.0,423657110965.0,456719787083.0,472602702634.0,453426052603.0,434041199276.0,496019176438.0,483422942513.0,502509379987.0,459482346350.0
1,TÀI SẢN NGẮN HẠN,343641757604.0,321194524848.0,359090512858.0,379607497150.0,364614344666.0,348984588026.0,397237338046.0,387675654563.0,410841537617.0,371253831673.0
2,Tiền và tương đương tiền,551322204.0,2936211418.0,1973330107.0,1201289530.0,636290429.0,446301484.0,2303101127.0,839541293.0,8564205895.0,2523473029.0
3,Tiền,551322204.0,2936211418.0,1973330107.0,1201289530.0,636290429.0,446301484.0,2303101127.0,839541293.0,8564205895.0,2523473029.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,238869988416.0,220698769764.0,241924747594.0,245833460619.0,246857260187.0,236233167173.0,263908620638.0,246051021106.0,230157668324.0,241242400380.0
10,Phải thu khách hàng,234226177438.0,219602008623.0,240829633763.0,239493167983.0,240668723151.0,229227490272.0,251699738800.0,238866856997.0,228350615614.0,240249278099.0
11,Trả trước người bán,3969861492.0,483064896.0,1306448500.0,486372534.0,276806922.0,20685000.0,637370725.0,419015125.0,730952856.0,233800725.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,925935186.0,945031405.0,120000491.0,6185255262.0,6243065274.0,7067812064.0,11654331276.0,6847969147.0,1158920017.0,877636075.0
16,Dự phòng nợ khó đòi,-251985700.0,-331335160.0,-331335160.0,-331335160.0,-331335160.0,-82820163.0,-82820163.0,-82820163.0,-82820163.0,-118314519.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",101754429475.0,96459404563.0,111472672617.0,128526098760.0,114491494978.0,109768729289.0,123609951330.0,130356366102.0,165295567961.0,125927764380.0
19,Hàng tồn kho,101754429475.0,96459404563.0,111472672617.0,128526098760.0,114491494978.0,109768729289.0,123609951330.0,130356366102.0,165295567961.0,125927764380.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
