,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1231675053417.0,1258892981853.0,1140850321226.0,1115770857923.0,1014969458976.0,1177879360530.0,1144844448973.0,1145316783180.0,1146725863663.0,1190122495628.0
1,TÀI SẢN NGẮN HẠN,1164541901305.0,1195187434269.0,1080248235215.0,1057416788120.0,958633891892.0,1125905978589.0,1082669120729.0,1043398919418.0,1023904525062.0,1069804948926.0
2,Tiền và tương đương tiền,3760487279.0,3575295915.0,23988838171.0,22705519827.0,298831587.0,3858780839.0,16580584298.0,5311764708.0,4034116751.0,11007402298.0
3,Tiền,3760487279.0,3575295915.0,6088838171.0,22705519827.0,298831587.0,3858780839.0,16580584298.0,5311764708.0,4034116751.0,11007402298.0
4,Các khoản tương đương tiền,0.0,0.0,17900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,21700000000.0,21700000000.0,21700000000.0,18900000000.0,18900000000.0,83740000000.0,27000000000.0,27000000000.0,27000000000.0,13300000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,21700000000.0,21700000000.0,21700000000.0,18900000000.0,18900000000.0,83740000000.0,27000000000.0,27000000000.0,27000000000.0,13300000000.0
9,Các khoản phải thu,803693880065.0,812172849510.0,670451260425.0,662551216366.0,648191856115.0,772796556242.0,785016329700.0,769787550425.0,741351324922.0,823903364233.0
10,Phải thu khách hàng,695513179458.0,717720208989.0,574293936582.0,570197787299.0,557273899777.0,616401572515.0,500783165667.0,532352999602.0,499777563138.0,573603059901.0
11,Trả trước người bán,15919266385.0,9369255056.0,8347901882.0,7164780269.0,5750775888.0,26595288373.0,46786178963.0,20489997047.0,22478890006.0,14242156096.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,7069615028.0,2419615028.0,2269615028.0,1969615028.0,1919615028.0,1919615028.0,92226815028.0,53386815028.0,52219615028.0,107694615028.0
15,Phải thu khác,99739820310.0,96229586191.0,99005622687.0,96684849524.0,96713381176.0,141897518968.0,159237608684.0,178406833030.0,181724351033.0,152235751392.0
16,Dự phòng nợ khó đòi,-14548001116.0,-13565815754.0,-13465815754.0,-13465815754.0,-13465815754.0,-14017438642.0,-14017438642.0,-14849094282.0,-14849094283.0,-23872218184.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
