,Unnamed: 0,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,295111995325.0,174488315530.0,254939639050.0,20148464994.0,113186297360.0,45946100351.0,412897299579.0,-240042648859.0,46398376978.0,-82580583674.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,202365191954.0,262868574179.0,311786423223.0,100311793626.0,103778335350.0,96699338986.0,261546103132.0,122162442135.0,144799430592.0,144763904567.0
2,Lãi trước thuế,196527498631.0,262946744693.0,312331898562.0,97094606276.0,101596597632.0,93824040854.0,256050313610.0,112719675523.0,135557251117.0,134485365782.0
3,Khấu hao TSCĐ,17312631365.0,17396817710.0,17436623084.0,17412185826.0,17345321824.0,17340078141.0,16844562275.0,16761697974.0,16781353804.0,13635487917.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,395798657.0,-36325870.0,277685477.0,286804550.0,236504845.0,-16257500.0,644729157.0,416334411.0,-201017268.0,6718172536.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-134040898.0,825287121.0,-450671852.0,-198499955.0,-776648309.0,873720095.0,122718506.0,-629466725.0,573971374.0,678459056.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-15547018762.0,-21165177285.0,-19951848538.0,-16023593136.0,-15767197632.0,-16010998165.0,-13608748764.0,-9207870605.0,-8940882631.0,-12675161121.0
9,Chi phí lãi vay,3810322961.0,2901227810.0,2142736490.0,1740290065.0,1143756990.0,688755561.0,1492528348.0,2102071557.0,1028754196.0,1921580397.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,43202471635.0,-185009653660.0,111884318352.0,91929464293.0,-22779471821.0,-21133907590.0,51052589407.0,36469277135.0,-190393841400.0,-39937885673.0
13,(Tăng)/giảm hàng tồn kho,11624361068.0,76850470764.0,2820649740.0,-68057235633.0,18461771084.0,-28174757892.0,79788966146.0,-201521998922.0,998976648.0,-39384328078.0
14,Tăng/(giảm) các khoản phải trả,41230196561.0,42413745195.0,-94111981048.0,-14244314088.0,13329233044.0,15736794049.0,99127704173.0,-174307780254.0,96346605041.0,-86319390429.0
15,( Tăng)/giảm chi phí trả trước,1509476648.0,1568432422.0,1031342370.0,700513663.0,1505028830.0,-346781785.0,1910587732.0,-148737787.0,689868164.0,748270211.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-4819702541.0,-2579167582.0,-2416866077.0,-2072943526.0,-1108599127.0,-799363220.0,-1059875145.0,-2006084812.0,-1677080308.0,-766321416.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-21624085788.0,-76054247510.0,-88418813341.0,0.0,-16035222197.0,-79468775866.0,-20689766354.0,-4365581759.0,-61684832856.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-420141330918.0,-429000816.0,380293502435.0,-5702236437.0,-5959415172.0,-110239631.0,1000752999943.0,-494872883845.0,1906333765.0,-542246372.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-6685778904.0,-532426000.0,-1917773500.0,-1937810396.0,-6729374449.0,-912010400.0,-4969868816.0,-1631140751.0,285986476.0,-1894404754.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,29400080.0,0.0,0.0,0.0,0.0,118548968.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,-5000000000.0,0.0,-400000000.0,-500000000000.0,0.0,-700400000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,600000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0
26,Đầu tư vào các doanh nghiệp khác,-670000000000.0,0.0,-250000000000.0,-5000000000.0,5000000000.0,0.0,0.0,0.0,0.0,700000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,250000000000.0,0.0,0.0,0.0,0.0,0.0,925000000000.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,6544447986.0,74025104.0,32211275935.0,1235573959.0,769959277.0,801770769.0,81004319791.0,6758256906.0,1620347289.0,1352158382.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,15583578350.0,-19272468324.0,-626907282293.0,-110741303427.0,-64444231826.0,5317312964.0,-488775312092.0,-105846562338.0,-103034524550.0,173368501253.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,299523769723.0,285940360809.0,338917807656.0,206933690679.0,142489458853.0,149485088512.0,351438858180.0,217160997387.0,114126472837.0,251570539758.0
33,Tiển trả các khoản đi vay,-283940191373.0,-305212829133.0,-301925364949.0,-317243744106.0,-206933690679.0,-144167775548.0,-176238070272.0,-323007559725.0,-217160997387.0,-78202038505.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-663899725000.0,-431250000.0,0.0,0.0,-663976100000.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-109445757243.0,154786846390.0,8325859192.0,-96295074870.0,42782650362.0,51153173684.0,924874987430.0,-840762095042.0,-54729813807.0,90245671207.0
38,Tiền và tương đương tiền đầu kỳ,148054521181.0,38763820497.0,192725944901.0,201559823160.0,105471167814.0,149023015181.0,199299695251.0,1124040455859.0,283928232159.0,130496179364.0
39,Ảnh hưởng của chênh lệch tỷ giá,155056559.0,-824721986.0,508019067.0,206419524.0,769197005.0,-876493614.0,-134226822.0,649871342.0,-647899949.0,5453057.0
40,Tiền và tương đương tiền cuối kỳ,38763820497.0,192725944901.0,201559823160.0,105471167814.0,149023015181.0,199299695251.0,1124040455859.0,283928232159.0,228550518403.0,220747303628.0
