,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,1509806548073.0,1659471932316.0,1574905109184.0,1795095151069.0,1861935412879.0,1876276160478.0,1612172348008.0,1729091081054.0,1095275501307.0,1242812064650.0
1,Các khoản giảm trừ,-4450673592.0,59899614.0,-23609731517.0,-1943198157.0,0.0,-12529924939.0,-19136618.0,-3316616574.0,0.0,-15749797635.0
2,Doanh số thuần,1505355874481.0,1659531831930.0,1551295377667.0,1793151952912.0,1861935412879.0,1863746235539.0,1612153211390.0,1725774464480.0,1095275501307.0,1227062267015.0
3,Giá vốn hàng bán,-966197446075.0,-1043415991196.0,-1028566695579.0,-1187467133524.0,-1182895667129.0,-1208694998165.0,-1108766617647.0,-1196191576737.0,-750875231420.0,-861460289797.0
4,Lãi gộp,539158428406.0,616115840734.0,522728682088.0,605684819388.0,679039745750.0,655051237374.0,503386593743.0,529582887743.0,344400269887.0,365601977218.0
5,Thu nhập tài chính,7258633321.0,17133350659.0,7923672067.0,15482405169.0,12173283122.0,26503091014.0,25197237589.0,31028101067.0,15992696849.0,25937766639.0
6,Chi phí tài chính,-18844106109.0,-17620174901.0,-16354135336.0,-21899877166.0,-31310421037.0,-19923255148.0,-15652078342.0,-37310103929.0,-48364364132.0,-36165024208.0
7,Trong đó: Chi phí lãi vay,-19401069315.0,-17438424508.0,-14904550745.0,-14448663443.0,-14271414419.0,-13251721816.0,-11105378370.0,-11390214856.0,-11315878585.0,-16607737098.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-39653816064.0,-54478540254.0,-56011554145.0,-58382206866.0,-74171880911.0,-83579470092.0,-59488983635.0,-62377246141.0,-65067900562.0,-67682596115.0
10,Chi phí quản lý doanh  nghiệp,-14964678947.0,-18123745989.0,-13291123128.0,-9849807158.0,-9009852512.0,-15198089144.0,-11959205053.0,-18866190901.0,-14477603348.0,-21504126032.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,472954460607.0,543026730249.0,444995541546.0,531035333367.0,576720874412.0,562853514004.0,441483564302.0,442057447839.0,232483098694.0,266187997502.0
12,Thu nhập khác,459821280.0,365533959.0,330017326.0,341690740.0,3598057985.0,163981937.0,93357000.0,416432731.0,2801168626.0,222470516.0
13,Chi phí khác,-3926799220.0,-3449988261.0,-9528461600.0,-2088201493.0,-3672083277.0,-7349229969.0,-93485144.0,-237648982.0,-260474766.0,-7936953073.0
14,"Thu nhập khác, ròng",-3466977940.0,-3084454302.0,-9198444274.0,-1746510753.0,-74025292.0,-7185248032.0,-128144.0,178783749.0,2540693860.0,-7714482557.0
16,Lãi/(lỗ) ròng trước thuế,469487482667.0,539942275947.0,435797097272.0,529288822614.0,576646849120.0,555668265972.0,441483436158.0,442236231588.0,235023792554.0,258473514945.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-68114508043.0,-73756751561.0,-65738514048.0,-80635295158.0,-90819652134.0,-87966951130.0,-70492870674.0,-72523872784.0,-34178885789.0,-51312706518.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,1323902349.0,-1407510249.0,720811970.0,-189114655.0,-681682752.0,-30773016.0,37141299.0,-51807089.0,333171552.0,-324840691.0
19,Chi phí thuế thu nhập doanh nghiệp,-66790605694.0,-75164261810.0,-65017702078.0,-80824409813.0,-91501334886.0,-87997724146.0,-70455729375.0,-72575679873.0,-33845714237.0,-51637547209.0
20,Lãi/(lỗ) thuần sau thuế,402696876973.0,464778014137.0,370779395194.0,448464412801.0,485145514234.0,467670541826.0,371027706783.0,369660551715.0,201178078317.0,206835967736.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,402696876973.0,464778014137.0,370779395194.0,448464412801.0,485145514234.0,467670541826.0,371027706783.0,369660551715.0,201178078317.0,206835967736.0
23,Lãi cơ bản trên cổ phiếu,2391.51,2697.0,2067.0,2516.0,2697.0,2610.0,2069.0,2063.0,1129.0,1163.0
24,Lãi trên cổ phiếu pha loãng,2391.51,2697.0,0.0,4583.0,2697.0,2610.0,2069.0,2063.0,1129.0,1163.0
