,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,141381075934.0,181677905355.0,213106399127.0,229960485221.0,260662494655.0,217739241896.0,251418434128.0,225976845867.0,232881763073.0,235560539196.0
1,TÀI SẢN NGẮN HẠN,127020925927.0,158142113895.0,189079427440.0,182729101319.0,204008294760.0,161085106477.0,180282953329.0,153446187493.0,165949748747.0,176408569507.0
2,Tiền và tương đương tiền,44241046601.0,46286458202.0,25674046033.0,22878251046.0,17325684453.0,25317377474.0,36401638079.0,29915513594.0,30356994080.0,23872441185.0
3,Tiền,17241046601.0,12286458202.0,4174046033.0,8178251046.0,9325684453.0,25317377474.0,17401638079.0,16915513594.0,17356994080.0,15872441185.0
4,Các khoản tương đương tiền,27000000000.0,34000000000.0,21500000000.0,14700000000.0,8000000000.0,0.0,19000000000.0,13000000000.0,13000000000.0,8000000000.0
5,Giá trị thuần đầu tư ngắn hạn,64116000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,78774750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,-14658750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,30093732299.0,26209674668.0,74369480696.0,58480505042.0,54362635809.0,43514097961.0,36464674931.0,40922453105.0,49293794057.0,33234712105.0
10,Phải thu khách hàng,26228735168.0,24559679229.0,70423606586.0,49195394265.0,51627402872.0,23397399057.0,30847902765.0,37187594029.0,36860389337.0,30381030000.0
11,Trả trước người bán,3544179529.0,1165534202.0,3492671616.0,6409063733.0,2413256928.0,18950172165.0,5429174281.0,3492728780.0,1574041032.0,2745792242.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000000.0,0.0
15,Phải thu khác,320817602.0,509725509.0,453202494.0,2876047044.0,321976009.0,1166526739.0,187597885.0,242130296.0,5859363688.0,107889863.0
16,Dự phòng nợ khó đòi,0.0,-25264272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",50514015938.0,84045569182.0,88678464386.0,100490154464.0,131065893380.0,90543185042.0,105366616356.0,81176697318.0,83591794139.0,118544145814.0
19,Hàng tồn kho,50514015938.0,84045569182.0,88678464386.0,100490154464.0,131065893380.0,91263613101.0,106241349155.0,82417421809.0,84989069417.0,119862691614.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,-720428059.0,-874732799.0,-1240724491.0,-1397275278.0,-1318545800.0
21,Tài sản lưu động khác,2108015089.0,1600411843.0,357436325.0,880190767.0,1254081118.0,1710446000.0,2050023963.0,1431523476.0,2707166471.0,757270403.0
22,Trả trước ngắn hạn,261168411.0,288151472.0,20746654.0,118345765.0,59875170.0,117161298.0,144538256.0,155939609.0,1587609493.0,172424446.0
23,Thuế VAT phải thu,63471291.0,110063172.0,336689671.0,761845002.0,1194205948.0,1456033864.0,971911616.0,1034587523.0,1109190277.0,209729165.0
24,Phải thu thuế khác,862196934.0,668673766.0,0.0,0.0,0.0,137250838.0,933574091.0,240996344.0,10366701.0,375116792.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,921178453.0,533523433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,14360150007.0,23535791460.0,24026971687.0,47231383902.0,56654199895.0,56654135419.0,71135480799.0,72530658374.0,66932014326.0,59151969689.0
28,Phải thu dài hạn,0.0,0.0,166550000.0,181550000.0,183050000.0,61500000.0,60000000.0,60000000.0,160940000.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,166550000.0,181550000.0,183050000.0,61500000.0,60000000.0,60000000.0,160940000.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,12348150760.0,22592840924.0,18785876065.0,40386170049.0,41810615526.0,39109008950.0,37358797723.0,48337737083.0,60196826538.0,53561206025.0
37,GTCL TSCĐ hữu hình,12348150760.0,22592840924.0,18546909190.0,40203430674.0,41684103651.0,39017639263.0,37334282931.0,48337737083.0,60196826538.0,53561206025.0
38,Nguyên giá TSCĐ hữu hình,47922974663.0,62942535648.0,64068294741.0,90364158304.0,97825377119.0,100504428511.0,104806716783.0,120017550122.0,139762603057.0,139085863057.0
39,Khấu hao lũy kế TSCĐ hữu hình,-35574823903.0,-40349694724.0,-45521385551.0,-50160727630.0,-56141273468.0,-61486789248.0,-67472433852.0,-71679813039.0,-79565776519.0,-85524657032.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,238966875.0,182739375.0,126511875.0,91369687.0,24514792.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,281137500.0,281137500.0,281137500.0,281137500.0,314162500.0,314162500.0,314162500.0,314162500.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,-42170625.0,-98398125.0,-154625625.0,-189767813.0,-289647708.0,-314162500.0,-314162500.0,-314162500.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,4410709293.0,5333252384.0,12886188407.0,16628669875.0,28873279230.0,19301315038.0,2234045200.0,35584344.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,1560898627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,1560898627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,451100620.0,942950536.0,663836329.0,1330411469.0,1774345962.0,854956594.0,4843403846.0,4831606253.0,4340202588.0,5555179320.0
59,Trả trước dài hạn,237073820.0,557823736.0,663836329.0,1330411469.0,1774345962.0,854956594.0,4843403846.0,4831606253.0,4340202588.0,5555179320.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,214026800.0,385126800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,29601929118.0,50127734550.0,56597311307.0,52889325700.0,77291254088.0,31564684879.0,60350304449.0,24012059351.0,25892634486.0,30536654118.0
65,Nợ ngắn hạn,28932229118.0,49565061806.0,56242311307.0,52429325700.0,76526254088.0,30299684879.0,59124150554.0,23187059351.0,25445660844.0,30296654118.0
66,Phải trả người bán,4328490801.0,5052168322.0,6182303259.0,6839401025.0,24672656522.0,7843856609.0,7064559194.0,6272397096.0,3110504905.0,3309572835.0
67,Người mua trả tiền trước,3663601993.0,5290627859.0,3157747930.0,3839110398.0,574434413.0,88991767.0,24568087.0,1824086453.0,1015892756.0,7244896.0
68,Thuế và các khoản phải trả Nhà nước,7398233336.0,16795083319.0,20742931754.0,17414381268.0,17125625913.0,15549117281.0,12572306591.0,8163255516.0,10472908338.0,18669046441.0
69,Phải trả người lao động,10947822403.0,13562470802.0,12454566604.0,10369690614.0,11371137629.0,3839872022.0,4148704168.0,2540016033.0,3293300201.0,2254479158.0
70,Chi phí phải trả,272795635.0,2111941667.0,1637350492.0,26846418.0,429462705.0,1977209065.0,556852933.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,94090908.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,961091117.0,1901879358.0,481729759.0,446212158.0,511260383.0,655554167.0,14960019480.0,292820285.0,450918676.0,585033820.0
75,Vay ngắn hạn,623800000.0,3962214678.0,10971865708.0,13046625251.0,21324202147.0,0.0,19487456133.0,3788400000.0,6833792000.0,5219133000.0
