,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,2101474900.0,10733560583.0,-8188864924.0,8572083659.0,-3799325045.0,10530819798.0,3352104120.0,3478056988.0,1178746087.0,5199578418.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,5333499288.0,919923729.0,6276956940.0,6947794038.0,4895381174.0,6812399573.0,6020696561.0,6483185952.0,4951478748.0,4103414356.0
2,Lãi trước thuế,2922017853.0,2118826605.0,4515575947.0,5066046238.0,4639509848.0,4640390344.0,4641314140.0,4991129970.0,3244487017.0,2396052941.0
3,Khấu hao TSCĐ,1958237008.0,1875689021.0,1941259243.0,1944888301.0,1931331031.0,1858175570.0,1699179766.0,1676046075.0,1672067943.0,1669654111.0
5,Chi phí dự phòng,-127996842.0,320051327.0,-89713282.0,-72732820.0,-14000000.0,285478900.0,-303600000.0,-207844426.0,-23600000.0,-38584797.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,10138554.0,-34164.0,-111419.0,-24285.0,7332.0,-39546.0,1929.0,-3843.0,12943.0,-17949.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-5031469.0,-3612183638.0,-115115050.0,-46478619.0,-7328964.0,-74759187.0,-26137966.0,-19292508.0,-101903790.0,-9040431.0
9,Chi phí lãi vay,576134184.0,217574578.0,25061501.0,56095223.0,145861927.0,103153492.0,9938692.0,43150684.0,160414635.0,85350481.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,-1800000000.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,1136336182.0,-398233327.0,1097297464.0,-1157523647.0,-1308139948.0,-196524706.0,1351459183.0,1426396416.0,-284333453.0,421834441.0
13,(Tăng)/giảm hàng tồn kho,309479735.0,6638707436.0,-3901600635.0,1669907723.0,-11560784891.0,10826770569.0,-1859437729.0,-1334476960.0,-172833333.0,1744953664.0
14,Tăng/(giảm) các khoản phải trả,-3556078767.0,4446429739.0,-9448120972.0,1739654232.0,5505366163.0,-5124786763.0,-752974468.0,-2716653293.0,-1447008912.0,-227098954.0
15,( Tăng)/giảm chi phí trả trước,234805708.0,273744775.0,33642835.0,364537670.0,0.0,0.0,0.0,0.0,-654283089.0,33207576.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-576134184.0,-217574578.0,-19342705.0,-58480686.0,-143252833.0,-107320577.0,-11714034.0,-40753424.0,-158899566.0,-89262810.0
18,Thuế thu nhập doanh nghiệp đã trả,-738393062.0,-990219129.0,-1575652851.0,-238029871.0,-612218897.0,-1224275798.0,-1059988362.0,-222162659.0,-363299308.0,-550003855.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,625164263.0,148443705.0,0.0,6872815.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-42040000.0,-564382325.0,-800488705.0,-695775800.0,-582548628.0,-455442500.0,-335937031.0,-117479044.0,-692075000.0,-237466000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-120429476.0,2850085414.0,124341439.0,-625521381.0,7328964.0,-6010813.0,-391610216.0,-90645792.0,104387544.0,9040431.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-125460945.0,-1689482445.0,0.0,-672000000.0,0.0,-80770000.0,-417748182.0,-107454546.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,4527845889.0,0.0,0.0,0.0,69380000.0,0.0,0.0,95454545.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,5031469.0,11721970.0,124341439.0,46478619.0,7328964.0,5379187.0,26137966.0,16808754.0,8932999.0,9040431.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-2032462841.0,-6082041139.0,2370640608.0,-4656983314.0,-562980266.0,-5495847488.0,-5171573623.0,146244657.0,-1095213819.0,-7883105700.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,8450000000.0,5167960170.0,5657162979.0,8492385407.0,24132236171.0,25489901550.0,5016825888.0,5000000000.0,19523808190.0,14961485469.0
33,Tiển trả các khoản đi vay,-9695120000.0,-9790694670.0,-1000000000.0,-10649548386.0,-22344768691.0,-28277369030.0,-6516825888.0,-2500000000.0,-17823808190.0,-19161485469.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-787342841.0,-1459306639.0,-2286522371.0,-2499820335.0,-2350447746.0,-2708380008.0,-3671573623.0,-2353755343.0,-2795213819.0,-3683105700.0
37,Lưu chuyển tiền thuần trong kỳ,-51417417.0,7501604858.0,-5693882877.0,3289578964.0,-4354976347.0,5028961497.0,-2211079719.0,3533655853.0,187919812.0,-2674486851.0
38,Tiền và tương đương tiền đầu kỳ,832674529.0,781293058.0,8282932080.0,2589160622.0,5878763871.0,1523780192.0,6552781235.0,4341699587.0,7875359283.0,8063266152.0
39,Ảnh hưởng của chênh lệch tỷ giá,35946.0,34164.0,111419.0,24285.0,-7332.0,39546.0,-1929.0,3843.0,-12943.0,17949.0
40,Tiền và tương đương tiền cuối kỳ,781293058.0,8282932080.0,2589160622.0,5878763871.0,1523780192.0,6552781235.0,4341699587.0,7875359283.0,8063266152.0,5388797250.0
