,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,41196613718.0,46568891604.0,33580369861.0,43123226172.0,40451063974.0,104414723005.0,104081185505.0,95477647978.0,88525638621.0,80130664189.0
1,TÀI SẢN NGẮN HẠN,34371483280.0,39892812754.0,27053342599.0,36676962086.0,34135532761.0,94304153514.0,94157954997.0,85734553705.0,78951964674.0,69610975353.0
2,Tiền và tương đương tiền,534539485.0,366771490.0,41367311.0,97412658.0,184041164.0,5534732225.0,5605381932.0,5582015618.0,4420843403.0,1106509950.0
3,Tiền,534539485.0,366771490.0,41367311.0,97412658.0,184041164.0,5534732225.0,5605381932.0,5582015618.0,4420843403.0,1106509950.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,4527577619.0,4890958870.0,5766247619.0,6263047619.0,6479047619.0,4499259781.0,0.0,0.0,159781.0,369545000.0
6,Đầu tư ngắn hạn,7321110230.0,7018159356.0,7018159356.0,7018159356.0,7018159356.0,4499259781.0,0.0,0.0,159781.0,0.0
7,Dự phòng đầu tư ngắn hạn,-2793532611.0,-2127200486.0,-1251911737.0,-755111737.0,-539111737.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369545000.0
9,Các khoản phải thu,20337049459.0,25884611752.0,11544086612.0,23974682572.0,23018050411.0,33200651589.0,48740237885.0,44049882310.0,41088314108.0,56625839558.0
10,Phải thu khách hàng,8036709114.0,23767253267.0,8424617457.0,21755656518.0,20335928019.0,23748758482.0,30358790639.0,27874628300.0,27453449946.0,40588215088.0
11,Trả trước người bán,10200340662.0,0.0,399594319.0,808094319.0,1557081477.0,4248304931.0,11454170085.0,9111308585.0,6945426561.0,6823316515.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,3103796829.0,3172508506.0,3775024857.0,2480149150.0,3570731978.0,7649279239.0,9372968224.0,9509636488.0,9135128664.0,11659999018.0
16,Dự phòng nợ khó đòi,-1003797146.0,-1055150021.0,-1055150021.0,-1069217415.0,-2445691063.0,-2445691063.0,-2445691063.0,-2445691063.0,-2445691063.0,-2445691063.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",8814134899.0,8701303976.0,9645375906.0,6293027540.0,4350462355.0,45592665378.0,35088753946.0,30848913227.0,28030114374.0,11477987554.0
19,Hàng tồn kho,8814134899.0,8701303976.0,9645375906.0,6293027540.0,4350462355.0,45592665378.0,35088753946.0,30848913227.0,28030114374.0,11477987554.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,158181818.0,49166666.0,56265151.0,48791697.0,103931212.0,5476844541.0,4723581234.0,5253742550.0,5412533008.0,31093291.0
22,Trả trước ngắn hạn,158181818.0,49166666.0,56265151.0,48791697.0,26194243.0,8822334.0,219202859.0,146135239.0,171709313.0,30498293.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,4348122207.0,2677680853.0,2680562494.0,2532760681.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,77736969.0,1119900000.0,0.0,0.0,261537082.0,594998.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,1826697522.0,2427044817.0,2446525932.0,0.0
27,TÀI SẢN DÀI HẠN,6825130438.0,6676078850.0,6527027262.0,6446264086.0,6315531213.0,10110569491.0,9923230508.0,9743094273.0,9573673947.0,10519688836.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
