,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,26880202325.0,31806771666.0,38844181827.0,45020909014.0,57072773858.0,40762667316.0,65207320598.0,40547596793.0,126773418930.0,117097792603.0
1,Các khoản giảm trừ,0.0,-110743643.0,-7854546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,26880202325.0,31696028023.0,38836327281.0,45020909014.0,57072773858.0,40762667316.0,65207320598.0,40547596793.0,126773418930.0,117097792603.0
3,Giá vốn hàng bán,-21376782144.0,-25535190670.0,-31583253234.0,-38056509728.0,-50601351728.0,-36622558790.0,-59392901922.0,-36348751955.0,-119861810238.0,-110115492838.0
4,Lãi gộp,5503420181.0,6160837353.0,7253074047.0,6964399286.0,6471422130.0,4140108526.0,5814418676.0,4198844838.0,6911608692.0,6982299765.0
5,Thu nhập tài chính,258297376.0,605489697.0,164822745.0,27146282.0,112217466.0,6169862.0,13083702.0,57506248.0,255123046.0,56721944.0
6,Chi phí tài chính,784852200.0,228504075.0,-348155754.0,-455563498.0,-545797384.0,-556129988.0,-920783835.0,-567619659.0,-1267011718.0,-1996562425.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,-158255283.0,-272286641.0,-544367384.0,-556129988.0,-920783835.0,-567473643.0,-1099096150.0,-1896562425.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,-132949086.0,-175375452.0,0.0,-35940010.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-3455870517.0,-3600104259.0,-3373002632.0,-3981792213.0,-3751298229.0,-3527058608.0,-3801309600.0,-3043786283.0,-4449573584.0,-4554920542.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3090699240.0,3394726866.0,3696738406.0,2421240771.0,2111168531.0,63089792.0,1069468933.0,644945144.0,1450146436.0,487538742.0
12,Thu nhập khác,56999.0,907215978.0,837548638.0,978702193.0,401941738.0,491271522.0,481931966.0,189335974.0,114908658.0,88120660.0
13,Chi phí khác,-98806142.0,-117251763.0,-96859799.0,-89402977.0,-58108110.0,-51232060.0,-71293136.0,-33009789.0,-14604096.0,-194713836.0
14,"Thu nhập khác, ròng",-98749143.0,789964215.0,740688839.0,889299216.0,343833628.0,440039462.0,410638830.0,156326185.0,100304562.0,-106593176.0
16,Lãi/(lỗ) ròng trước thuế,2991950097.0,4184691081.0,4437427245.0,3310539987.0,2455002159.0,503129254.0,1480107763.0,801271329.0,1550450998.0,380945566.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-694985661.0,-897854412.0,-983851139.0,-671486550.0,-495435642.0,-201102618.0,-497714189.0,-126372109.0,-272424217.0,-351899269.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-694985661.0,-897854412.0,-983851139.0,-671486550.0,-495435642.0,-201102618.0,-497714189.0,-126372109.0,-272424217.0,-351899269.0
20,Lãi/(lỗ) thuần sau thuế,2296964436.0,3286836669.0,3453576106.0,2639053437.0,1959566517.0,302026636.0,982393574.0,674899220.0,1278026781.0,29046297.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2296964436.0,3286836669.0,3453576106.0,2639053437.0,1959566517.0,302026636.0,982393574.0,674899220.0,1278026781.0,29046297.0
23,Lãi cơ bản trên cổ phiếu,1740.51,1925.0,1947.0,1897.0,1337.0,229.0,744.0,511.0,968.0,22.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,744.0,511.0,968.0,22.0
