,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,782336734640.0,1138586643077.0,1182061288901.0,1086244109735.0,986504031052.0,1011138724312.0,994399391830.0,1046266239479.0,1245216527155.0,1619709761865.0
1,Các khoản giảm trừ,0.0,-11350837.0,-289571545.0,-31501818.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,782336734640.0,1138575292240.0,1181771717356.0,1086212607917.0,986504031052.0,1011138724312.0,994399391830.0,1046266239479.0,1245216527155.0,1619709761865.0
3,Giá vốn hàng bán,-732839128241.0,-1066511258867.0,-1100081296608.0,-1015231610509.0,-923236008247.0,-932355426414.0,-886204937261.0,-958877286174.0,-1115294516713.0,-1346375787601.0
4,Lãi gộp,49497606399.0,72064033373.0,81690420748.0,70980997408.0,63268022805.0,78783297898.0,108194454569.0,87388953305.0,129922010442.0,273333974264.0
5,Thu nhập tài chính,23825354928.0,71376323303.0,3978922884.0,7272205986.0,2583988319.0,1292306864.0,1671069995.0,3233741480.0,4185478637.0,13762506689.0
6,Chi phí tài chính,-4678569588.0,-8341799919.0,-7018733194.0,-14891619765.0,-19814799776.0,-19304621023.0,-19990150816.0,-15230624828.0,-12139543767.0,-8134797928.0
7,Trong đó: Chi phí lãi vay,-4523029455.0,-7792053918.0,-6758129277.0,-14316697369.0,-19751667332.0,-18793769375.0,-19422693126.0,-14986795331.0,-12052562052.0,-7186245596.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,-1161773479.0,-251852924.0,48196215.0,969489734.0,241758430.0,-545293254.0,3232017961.0
9,Chi phí bán hàng,-591123812.0,-409969208.0,-431069939.0,-485477344.0,-407476108.0,-253946297.0,-347919909.0,-44818955.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-47104943902.0,-39950594334.0,-46836925498.0,-52327962733.0,-52439959181.0,-53017303793.0,-51966879898.0,-58617021228.0,-61096559623.0,-72364306413.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,20948324025.0,94737993215.0,31382615001.0,9386370073.0,-7062076865.0,7547929864.0,38530063675.0,16971988204.0,60326092435.0,209829394573.0
12,Thu nhập khác,5128699300.0,2390145168.0,7431616833.0,13446095100.0,3680391263.0,26402542786.0,3913744752.0,4890575728.0,2186729517.0,31617847723.0
13,Chi phí khác,-4293990110.0,-3378994868.0,-8819427230.0,-4906542810.0,-3461743298.0,-3501876188.0,-4521244394.0,-7988559954.0,-3606280802.0,-5102851945.0
14,"Thu nhập khác, ròng",834709190.0,-988849700.0,-1387810397.0,8539552290.0,218647965.0,22900666598.0,-607499642.0,-3097984226.0,-1419551285.0,26514995778.0
16,Lãi/(lỗ) ròng trước thuế,30783651690.0,106141202702.0,29994804604.0,17925922363.0,-6843428900.0,30448596462.0,37922564033.0,13874003978.0,58906541150.0,236344390351.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-8839740348.0,-17216208837.0,-6634864847.0,-7177868393.0,-3340653092.0,-9982331438.0,-5791810814.0,-4188983488.0,-11531211018.0,-47778111925.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-947358619.0,-23740143.0,-114159971.0,557310677.0,-240975000.0,-83514070.0,-82886716.0,-173621953.0,6823291.0,-1607533830.0
19,Chi phí thuế thu nhập doanh nghiệp,-9787098967.0,-17239948980.0,-6749024818.0,-6620557716.0,-3581628092.0,-10065845508.0,-5874697530.0,-4362605441.0,-11524387727.0,-49385645755.0
20,Lãi/(lỗ) thuần sau thuế,20996552723.0,88901253722.0,23245779786.0,11305364647.0,-10425056992.0,20382750954.0,32047866503.0,9511398537.0,47382153423.0,186958744596.0
21,Lợi ích của cổ đông thiểu số,6430686317.0,12623392333.0,8883901467.0,5721384814.0,4172953490.0,2726643427.0,4293942417.0,3047442546.0,12821827432.0,41820292719.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,14565866406.0,76277861389.0,14361878319.0,5583979833.0,-14598010482.0,17656107527.0,27753924086.0,6463955991.0,34560325991.0,145138451877.0
23,Lãi cơ bản trên cổ phiếu,431.0,2257.0,425.0,169.0,-432.0,522.0,821.0,191.0,1022.0,4294.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,821.0,191.0,0.0,0.0
