,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,248974326648.0,137814646248.0,5875917865.0,27642109489.0,79650564021.0,-95435498841.0,326210562265.0,-100973396237.0,775982306831.0,-58479004272.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,196516848993.0,138492442496.0,209623036595.0,236356065875.0,192488306300.0,223778010335.0,237908093592.0
2,Lãi trước thuế,0.0,0.0,0.0,185986079321.0,177609804207.0,165699170931.0,178385952266.0,208359501127.0,205287083097.0,287471948903.0
3,Khấu hao TSCĐ,0.0,16294447063.0,15245696433.0,21005699290.0,15605000307.0,21403258323.0,21722746095.0,21984537986.0,20335016497.0,21500002254.0
5,Chi phí dự phòng,0.0,0.0,0.0,-14643443301.0,-12591837038.0,17528062527.0,26694323598.0,-3165690993.0,13507232889.0,-45105646031.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,1074094826.0,-76170361.0,79480349.0,-232163298.0,178692368.0,-800504444.0,-3292392310.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,-320858402.0,-50360624090.0,-9449853509.0,-3686886906.0,-47065884042.0,-20045391921.0,-32292124653.0
9,Chi phí lãi vay,0.0,0.0,0.0,3415277259.0,8306269471.0,14362917974.0,13472094120.0,12197149854.0,5494574217.0,9626305429.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,-136823322725.0,17425779903.0,-137630582872.0,97635299531.0,150004224955.0,187746243029.0,-341094938490.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,49343531764.0,-126675599750.0,-229167179572.0,-165144662789.0,174600773183.0,84320836957.0,-416183763851.0
