,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,2192396872438.0,2723702830059.0,3444877662763.0,4579290686047.0,6011511812904.0,6946724677588.0,6854778062411.0,6695049168899.0,6694120793415.0,8490902301042.0
1,Các khoản giảm trừ,-7131457293.0,-7520826244.0,-16387035564.0,-28385358153.0,-31405807361.0,-26769085404.0,-18281582626.0,-25329442793.0,-10533709113.0,-7664852801.0
2,Doanh số thuần,2185265415145.0,2716182003815.0,3428490627199.0,4550905327894.0,5980106005543.0,6919955592184.0,6836496479785.0,6669719726106.0,6683587084302.0,8483237448241.0
3,Giá vốn hàng bán,-2084637720389.0,-2611643981045.0,-3274378935139.0,-4301381574111.0,-5747586684599.0,-6737602157757.0,-6611057507625.0,-6408993090043.0,-6420456990308.0,-8289646666218.0
4,Lãi gộp,100627694756.0,104538022770.0,154111692060.0,249523753783.0,232519320944.0,182353434427.0,225438972160.0,260726636063.0,263130093994.0,193590782023.0
5,Thu nhập tài chính,27761801827.0,24943795695.0,19490052653.0,13711170567.0,9921589824.0,5798307330.0,1190262118.0,155037343.0,809126793.0,1052371596.0
6,Chi phí tài chính,-55018595488.0,-41624540320.0,-37372378832.0,-33083685910.0,-47586593485.0,-40011312279.0,-41574858000.0,-30357546342.0,-26055505390.0,-35870345385.0
7,Trong đó: Chi phí lãi vay,-53905445939.0,-41172292611.0,-36921124331.0,-33076283827.0,-47471798485.0,-39990072442.0,-41572040937.0,-30325102468.0,-26037600012.0,-35855827047.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,3895739118.0,11157480464.0,5354386036.0,7915202754.0,832148862.0,10691333678.0,8654982440.0,20192855596.0,33372609196.0
9,Chi phí bán hàng,-33499173071.0,-38568190452.0,-48538104795.0,-102111769321.0,-78361574803.0,-66371271109.0,-77957215874.0,-104897745033.0,-68979062079.0,-46075184126.0
10,Chi phí quản lý doanh  nghiệp,-20741678149.0,-28198789897.0,-43702267012.0,-31292895396.0,-40547655195.0,-32397815432.0,-27204056937.0,-9486585120.0,-32654665201.0,-29574336737.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,19130049875.0,24986036914.0,55146474538.0,102100959759.0,83860290039.0,50203491799.0,90584437145.0,124794779351.0,156442843713.0,116495896567.0
12,Thu nhập khác,1020055654.0,763059762.0,416249496.0,114441650.0,653459243.0,3467380600.0,955631235.0,519662008.0,982522044.0,623497968.0
13,Chi phí khác,-2262174306.0,-530192921.0,-881573406.0,-4754718305.0,-1096267025.0,-1104189797.0,-773220022.0,-685338020.0,-1005585209.0,-278101714.0
14,"Thu nhập khác, ròng",-1242118652.0,232866841.0,-465323910.0,-4640276655.0,-442807782.0,2363190803.0,182411213.0,-165676012.0,-23063165.0,345396254.0
16,Lãi/(lỗ) ròng trước thuế,14190622702.0,25218903755.0,54681150628.0,97460683104.0,83417482257.0,52566682602.0,90766848358.0,124629103339.0,156419780548.0,116841292821.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1593550831.0,-3842583656.0,-8772687660.0,-15936357665.0,-12069932763.0,-8232482144.0,-15576866125.0,-21670804867.0,-27445017329.0,-16716370887.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1593550831.0,-3842583656.0,-8772687660.0,-15936357665.0,-12069932763.0,-8232482144.0,-15576866125.0,-21670804867.0,-27445017329.0,-16716370887.0
20,Lãi/(lỗ) thuần sau thuế,12597071871.0,21376320099.0,45908462968.0,81524325439.0,71347549494.0,44334200458.0,75189982233.0,102958298472.0,128974763219.0,100124921934.0
21,Lợi ích của cổ đông thiểu số,5057808.0,1941610.0,4286647.0,14860449.0,15222128.0,11556954.0,10042098.0,17661463.0,31299943.0,15054688.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,12592014063.0,21374378489.0,45904176321.0,81509464990.0,71332327366.0,44322643504.0,75179940135.0,102940637009.0,128943463276.0,100109867246.0
23,Lãi cơ bản trên cổ phiếu,350.0,594.0,1131.0,1923.0,1644.0,961.0,1575.0,2221.0,2804.0,1929.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
