,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,289376150327.0,265843884386.0,292309093103.0,309129571191.0,305025541732.0,315912096253.0,334584953135.0,331256419112.0,309111477640.0,333652092811.0
1,TÀI SẢN NGẮN HẠN,241538276397.0,218003619932.0,232252689828.0,250880500234.0,260446796924.0,270790165137.0,251578365050.0,280274494353.0,241254359316.0,292163340746.0
2,Tiền và tương đương tiền,3187123340.0,6452785435.0,5808172390.0,5516048601.0,4178453457.0,8771400410.0,5999704918.0,4954959586.0,4346619379.0,12006749629.0
3,Tiền,3187123340.0,6452785435.0,5808172390.0,5516048601.0,4178453457.0,8771400410.0,5999704918.0,4954959586.0,4346619379.0,12006749629.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,168900000000.0,175300000000.0,180200000000.0,201000000000.0,218000000000.0,213000000000.0,188600000000.0,196200000000.0,201100000000.0,227600000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,168900000000.0,175300000000.0,180200000000.0,201000000000.0,218000000000.0,213000000000.0,188600000000.0,196200000000.0,201100000000.0,227600000000.0
9,Các khoản phải thu,24334791153.0,21357433970.0,26027397537.0,13825516357.0,22252275260.0,14885988755.0,23157918751.0,34750065996.0,22044262537.0,25531160377.0
10,Phải thu khách hàng,52030889018.0,48846874364.0,51649770635.0,43770841827.0,46263541483.0,45012332877.0,40722320961.0,54522214544.0,49791173022.0,48033302745.0
11,Trả trước người bán,2154529018.0,3759418165.0,3474058632.0,463570630.0,7121640883.0,2284528483.0,6992510814.0,443646947.0,3570890498.0,10150638459.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,5324273762.0,3896042086.0,6018468915.0,4686004545.0,3941993539.0,2614028040.0,10447987621.0,14769105150.0,3647099662.0,2262119818.0
16,Dự phòng nợ khó đòi,-35174900645.0,-35144900645.0,-35114900645.0,-35094900645.0,-35074900645.0,-35024900645.0,-35004900645.0,-34984900645.0,-34964900645.0,-34914900645.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",39248940927.0,9976627069.0,15337201536.0,25652262192.0,11132200801.0,29077381248.0,28557234960.0,39211694918.0,9282564906.0,22247514730.0
19,Hàng tồn kho,39248940927.0,9976627069.0,15337201536.0,25652262192.0,11132200801.0,29077381248.0,28557234960.0,39211694918.0,9282564906.0,22247514730.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,5867420977.0,4916773458.0,4879918365.0,4886673084.0,4883867406.0,5055394724.0,5263506421.0,5157773853.0,4480912494.0,4777916010.0
22,Trả trước ngắn hạn,886855877.0,108544922.0,30292225.0,28231162.0,167502800.0,417295184.0,693744745.0,782290436.0,180129183.0,218240731.0
23,Thuế VAT phải thu,3814413341.0,3642076777.0,3683474381.0,3692290163.0,3550212847.0,3471947781.0,3403609917.0,3209331658.0,3134631552.0,3046558103.0
24,Phải thu thuế khác,1166151759.0,1166151759.0,1166151759.0,1166151759.0,1166151759.0,1166151759.0,1166151759.0,1166151759.0,1166151759.0,1513117176.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,47837873930.0,47840264454.0,60056403275.0,58249070957.0,44578744808.0,45121931116.0,83006588085.0,50981924759.0,67857118324.0,41488752065.0
28,Phải thu dài hạn,5536139458.0,5084039458.0,4804173458.0,3975697458.0,3955697458.0,3905697458.0,3885697458.0,1965697458.0,1945697458.0,1895697458.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,559239458.0,529239458.0,499239458.0,479239458.0,459239458.0,409239458.0,389239458.0,369239458.0,349239458.0,299239458.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,4976900000.0,4554800000.0,4304934000.0,3496458000.0,3496458000.0,3496458000.0,3496458000.0,1596458000.0,1596458000.0,1596458000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,5968998400.0,5666881105.0,5364763823.0,5062646541.0,4763253005.0,4690334169.0,4439930390.0,4234490933.0,4073559939.0,3826907920.0
37,GTCL TSCĐ hữu hình,4160206593.0,3948149449.0,3736092308.0,3524035167.0,3314701772.0,3331843076.0,3171499438.0,3056120122.0,2982042644.0,2828657391.0
38,Nguyên giá TSCĐ hữu hình,23015931158.0,23015931158.0,23015931158.0,22901385703.0,22901385703.0,23125846612.0,23112502067.0,23204732623.0,23328732623.0,23149001823.0
39,Khấu hao lũy kế TSCĐ hữu hình,-18855724565.0,-19067781709.0,-19279838850.0,-19377350536.0,-19586683931.0,-19794003536.0,-19941002629.0,-20148612501.0,-20346689979.0,-20320344432.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,1808791807.0,1718731656.0,1628671515.0,1538611374.0,1448551233.0,1358491093.0,1268430952.0,1178370811.0,1091517295.0,998250529.0
44,Nguyên giá TSCĐ vô hình,5786890000.0,5786890000.0,5786890000.0,5786890000.0,5786890000.0,5786890000.0,5786890000.0,5786890000.0,5786890000.0,5786890000.0
45,Khấu hao lũy kế TSCĐ vô hình,-3978098193.0,-4068158344.0,-4158218485.0,-4248278626.0,-4338338767.0,-4428398907.0,-4518459048.0,-4608519189.0,-4695372705.0,-4788639471.0
46,Bất động sản đầu tư,8991728693.0,8704558719.0,8410620317.0,8116681915.0,7822743513.0,7528805173.0,7242581388.0,6956357603.0,6686783758.0,6383910031.0
47,Nguyên giá tài sản đầu tư,31169032576.0,31169032576.0,31169032576.0,31169032576.0,31169032576.0,31169032576.0,31169032576.0,31169032576.0,31169032576.0,31169032576.0
48,Khấu hao lũy kế tài sản đầu tư,-22177303883.0,-22464473857.0,-22758412259.0,-23052350661.0,-23346289063.0,-23640227403.0,-23926451188.0,-24212674973.0,-24482248818.0,-24785122545.0
49,Tài sản dở dang dài hạn,6430252680.0,6463385726.0,6488120921.0,6512265424.0,6512265424.0,6512265424.0,6512265424.0,6512265424.0,6512265424.0,6512265424.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,15141369600.0,15141369600.0,28841369600.0,28541369600.0,15141369600.0,15141369600.0,53541369600.0,22841369600.0,40491369600.0,15141369600.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,15141369600.0,15141369600.0,15141369600.0,15141369600.0,15141369600.0,15141369600.0,15141369600.0,15141369600.0,15141369600.0,15141369600.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,13700000000.0,13400000000.0,0.0,0.0,38400000000.0,7700000000.0,25350000000.0,0.0
58,Tài sản dài hạn khác,5769385099.0,6780029846.0,6147355156.0,6040410019.0,6383415808.0,7343459292.0,7384743825.0,8471743741.0,8147442145.0,7728601632.0
59,Trả trước dài hạn,5769385099.0,6780029846.0,6147355156.0,6040410019.0,6383415808.0,7343459292.0,7384743825.0,8471743741.0,8147442145.0,7728601632.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,62021552663.0,36995514217.0,62542792365.0,82952440322.0,77043661675.0,86698116034.0,102801082112.0,104917610639.0,81107037098.0,103538227543.0
65,Nợ ngắn hạn,53810693264.0,29928609956.0,55592904467.0,77151507563.0,71326619822.0,78394356594.0,94740208126.0,98011000884.0,74374372797.0,98023827473.0
66,Phải trả người bán,13154536758.0,7603356958.0,22431409641.0,17322620836.0,12877134123.0,13355922914.0,6503240454.0,16962867811.0,13823525470.0,27866887118.0
67,Người mua trả tiền trước,1627147824.0,38662500.0,212177624.0,3381324530.0,1754846130.0,527200917.0,3184994659.0,426706821.0,1155885895.0,2314358821.0
68,Thuế và các khoản phải trả Nhà nước,6919871494.0,916947159.0,3867999354.0,314858008.0,3521169353.0,1099449248.0,1170007846.0,4530679816.0,7856168725.0,967688863.0
69,Phải trả người lao động,3057568970.0,2057351077.0,1093927842.0,2199719959.0,2514516163.0,1837992077.0,113485520.0,300051649.0,1065035000.0,1368285584.0
70,Chi phí phải trả,87953324.0,128277058.0,87953324.0,39992470.0,147366475.0,280575315.0,311412307.0,170615321.0,115118103.0,47626346.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,7717043596.0,6347717668.0,9611813922.0,11614285733.0,8999940975.0,6832005992.0,9128946331.0,10813597416.0,10784835413.0,7947765093.0
74,Phải trả khác,4994926321.0,510622885.0,417120000.0,6015467731.0,8680650216.0,318737216.0,417582885.0,6276028128.0,6220363854.0,594445000.0
75,Vay ngắn hạn,16042950350.0,12172980024.0,17817708133.0,35947727583.0,32612953688.0,53969711216.0,73819866421.0,58232010649.0,33160692064.0,56903822375.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",208694627.0,152694627.0,52794627.0,315510713.0,218042699.0,172761699.0,90671703.0,298443273.0,192748273.0,12948273.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,8210859399.0,7066904261.0,6949887898.0,5800932759.0,5717041853.0,8303759440.0,8060873986.0,6906609755.0,6732664301.0,5514400070.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
