,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,482360714327.0,469423351812.0,364872997228.0,445506707999.0,366905360566.0,459884007434.0,400195532915.0,431029242655.0,355364900341.0,436541951020.0
1,Các khoản giảm trừ,0.0,-6419469091.0,-148794232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,482360714327.0,463003882721.0,364724202996.0,445506707999.0,366905360566.0,459884007434.0,400195532915.0,431029242655.0,355364900341.0,436541951020.0
3,Giá vốn hàng bán,-377300262664.0,-406612426389.0,-296915059986.0,-385191453181.0,-310925361411.0,-390447367719.0,-346208565070.0,-379809079705.0,-311195162804.0,-387944994465.0
4,Lãi gộp,105060451663.0,56391456332.0,67809143010.0,60315254818.0,55979999155.0,69436639715.0,53986967845.0,51220162950.0,44169737537.0,48596956555.0
5,Thu nhập tài chính,721071759.0,755804480.0,461958251.0,531229905.0,46701984.0,971384833.0,431345790.0,504044655.0,178527644.0,864987196.0
6,Chi phí tài chính,-4317606394.0,-4279765559.0,-4861346374.0,-4800546401.0,-4555438070.0,-4075155982.0,-2869970406.0,-2720135236.0,-3286116632.0,-3311651226.0
7,Trong đó: Chi phí lãi vay,-8223302868.0,-313713738.0,-4849485485.0,-4278498806.0,-4179978944.0,-3313716360.0,-2854533899.0,-2520341883.0,-3268680496.0,-2904752240.0
8,Lãi/(lỗ) từ công ty liên doanh,1869037760.0,3047417735.0,125764259.0,491794540.0,175722630.0,902350562.0,-849611584.0,-993650674.0,-1956385374.0,-2958373278.0
9,Chi phí bán hàng,-55935117591.0,-30452607522.0,-50519274688.0,-28889050404.0,-22383524414.0,-28654723754.0,-27224098472.0,-35205001786.0,-31847411595.0,-28773958138.0
10,Chi phí quản lý doanh  nghiệp,-16149621608.0,-15748086094.0,-12364460806.0,-12966968426.0,-14806681383.0,-15680160612.0,-11469529167.0,-13513138277.0,-12271024177.0,-10712256150.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,31248215589.0,9714219372.0,651783652.0,14681714032.0,14456779902.0,22900334762.0,12005104006.0,-707718368.0,-5012672597.0,3705704959.0
12,Thu nhập khác,262726129.0,10329374726.0,639799566.0,1933031666.0,493612082.0,640008710.0,134118273.0,1669093482.0,448639280.0,1167480030.0
13,Chi phí khác,-1451404908.0,78489554.0,-7388587.0,-217522547.0,-88326293.0,-84906135.0,-30612228.0,-1934915421.0,-6920297.0,-2728435577.0
14,"Thu nhập khác, ròng",-1188678779.0,10407864280.0,632410979.0,1715509119.0,405285789.0,555102575.0,103506045.0,-265821939.0,441718983.0,-1560955547.0
16,Lãi/(lỗ) ròng trước thuế,30059536810.0,20122083652.0,1284194631.0,16397223151.0,14862065691.0,23455437337.0,12108610051.0,-973540307.0,-4570953614.0,2144749412.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-5932877765.0,-4551587743.0,-1003945501.0,-2844951295.0,-3001482032.0,-4267773377.0,-2663446129.0,-3145922281.0,57617122.0,-1708618910.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-66609544.0,1135712276.0,0.0,284021336.0,-24838755.0,-1449671896.0,65171391.0,-207340891.0,-97487908.0,-839009958.0
19,Chi phí thuế thu nhập doanh nghiệp,-5999487309.0,-3415875467.0,-1003945501.0,-2560929959.0,-3026320787.0,-5717445273.0,-2598274738.0,-3353263172.0,-39870786.0,-2547628868.0
20,Lãi/(lỗ) thuần sau thuế,24060049501.0,16706208185.0,280249130.0,13836293192.0,11835744904.0,17737992064.0,9510335313.0,-4326803479.0,-4610824400.0,-402879456.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,24060049501.0,16706208185.0,280249130.0,13836293192.0,11835744904.0,17737992064.0,9510335313.0,-4326803479.0,-4610824400.0,-402879456.0
23,Lãi cơ bản trên cổ phiếu,962.0,668.0,11.0,554.0,473.0,710.0,380.0,-173.0,-184.0,-16.0
24,Lãi trên cổ phiếu pha loãng,962.0,668.0,11.0,554.0,473.0,710.0,380.0,0.0,-184.0,-16.0
