,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,241871739601.0,93916694122.0,123522947523.0,77128247558.0,599388729298.0,864513311921.0,1052513311148.0,1088981800788.0,1063513531840.0,1386845828623.0
1,Các khoản giảm trừ,-446605812.0,-26468598.0,-28559264.0,-81091222.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,241425133789.0,93890225524.0,123494388259.0,77047156336.0,599388729298.0,864513311921.0,1052513311148.0,1088981800788.0,1063513531840.0,1386845828623.0
3,Giá vốn hàng bán,-209613092795.0,-91458305226.0,-141687958710.0,-72193846158.0,-567982287901.0,-791393531862.0,-969904539087.0,-1000180521971.0,-938863687707.0,-1252887285626.0
4,Lãi gộp,31812040994.0,2431920298.0,-18193570451.0,4853310178.0,31406441397.0,73119780059.0,82608772061.0,88801278817.0,124649844133.0,133958542997.0
5,Thu nhập tài chính,133957827647.0,3808040872.0,87098138894.0,3603215843.0,163100769439.0,21967082032.0,16050663333.0,21617690966.0,25782214917.0,25807524065.0
6,Chi phí tài chính,-140760909845.0,-26044512964.0,-29230162885.0,-108468995.0,-20965161284.0,-9791781474.0,-15564241638.0,-12166336539.0,-17491938099.0,-38145560484.0
7,Trong đó: Chi phí lãi vay,-44561016243.0,-9351830642.0,-7053468392.0,-8201129030.0,-5338921960.0,-8006195219.0,-15934267134.0,-19289168405.0,-14808210750.0,-16076218284.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,1766908465.0,-4507017500.0,2594418400.0,8833929825.0,5087608793.0,2117153532.0,1012486550.0
9,Chi phí bán hàng,-5471258754.0,-1645716453.0,-1620515089.0,-1140611503.0,-1650563100.0,-4779385260.0,-11755619441.0,-12098885021.0,-16001135997.0,-24882103171.0
10,Chi phí quản lý doanh  nghiệp,-22382723655.0,-28779598843.0,-26122506301.0,7830668683.0,-26111588813.0,-39887747804.0,-48176717219.0,-44019723064.0,-40252673374.0,-38968957826.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-2845023613.0,-50229867090.0,11931384168.0,16805022671.0,141272880139.0,43222365953.0,31996786921.0,47221633952.0,78803465112.0,58781932131.0
12,Thu nhập khác,27326842403.0,60080643936.0,2839194772.0,6887431250.0,3659064719.0,407786255.0,989506261.0,2318383736.0,6429458347.0,259434174.0
13,Chi phí khác,-1529004673.0,-1652849004.0,-3505805723.0,-3329345278.0,-112733701.0,-5237409556.0,-4619736409.0,-411838081.0,-4949188722.0,-46100778.0
14,"Thu nhập khác, ròng",25797837730.0,58427794932.0,-666610951.0,3558085972.0,3546331018.0,-4829623301.0,-3630230148.0,1906545655.0,1480269625.0,213333396.0
16,Lãi/(lỗ) ròng trước thuế,22952814117.0,8197927842.0,11264773217.0,20363108643.0,144819211157.0,38392742652.0,28366556773.0,49128179607.0,80283734737.0,58995265527.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-403133294.0,-7527523.0,-2247121683.0,-931851442.0,-30422095725.0,-10537099998.0,-11218913292.0,-9301435168.0,-15286419075.0,-10234692037.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,-2839898699.0,2380652432.0,451169811.0,8076457.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-403133294.0,-7527523.0,-2247121683.0,-3771750141.0,-28041443293.0,-10085930187.0,-11210836835.0,-9301435168.0,-15286419075.0,-10234692037.0
20,Lãi/(lỗ) thuần sau thuế,22549680823.0,8190400319.0,9017651534.0,16591358502.0,116777767864.0,28306812465.0,17155719938.0,39826744439.0,64997315662.0,48760573490.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,313907315.0,7869261441.0,14736486525.0,15790743093.0,18656653874.0,29889164419.0,22803846818.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,22549680823.0,8190400319.0,9017651534.0,16277451187.0,108908506423.0,13570325940.0,1364976845.0,21170090565.0,35108151243.0,25956726672.0
23,Lãi cơ bản trên cổ phiếu,884.0,321.0,353.0,604.0,4258.0,512.0,31.0,737.0,1058.0,669.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,1058.0,0.0
